"","estc_ids","title_1","title_2","pub_year","work_id"
"1","R170535","['The Holy Bible']","NA",1657,NA
"2","R176096","['An act of renouncing and disannulling the pretended title of Charls Stuart . . . 27 November 1656']","NA",1657,"113182-an act of renouncing and disannulling pretended title of charls stuart 27 november 1656 "
"3","R175006","['An act for altering the leather-market in Leaden Hall London from Munday to Tuesday in every week.']","NA",1656,"5555-private acts 1697 anno 8 and 9 guil iii c5"
"4","R172763","['The Holy Bible']","NA",1656,NA
"5","R473871","['The New Testament of our Lord and Saviour Jesus Christ.']","['Newly translated out of the original Greek ...']",1652,NA
"6","R179215","['The key of true policy, or, A free dispute concerning the conservation of lately-obtained liberty.']","['In reference to the Parliament of England, not onely for securing liberty already obtained, but also for enlarging the same. /']",1652,NA
"7","R171966","['An act for the taking away of purveyance . . . 9 June 1657']","NA",1657,"113181-an act for taking away of purveyance 9 june 1657 "
"8","R176453","['An act for holding an assize for . . . Lancaster . . . 5 August 1659']","NA",1659,"113179-an act for holding assize for lancaster 5 august 1659 "
"9","R179407","['Orbis miraculum, or the Temple of Solomon,']","['pourtrayed by scripture-light: wherein all its famous buildings, the pompous worship of the Jewes, with its attending rites and ceremonies; the several officers employed in that work, with their ample revenues: and the spiritual mysteries of the gospel vailed under all; are treated of at large.']",1659,"2903-orbis miraculum or temple of solomon pourtrayed"
"10","R213026","['Ovids Metamorphosis']","['translated grammatically, and also according to the propriety of our English tongue, so far as grammar and the verse will well bear. Written chiefly for the good of schools, to be used according to the directions in the preface to the painfull schoole-master, and more fully in the book called Ludus literarius, or the Grammar-school, Chap. 8.']",1656,"23-metamorphoses"
"11","R23700","['An exposition upon the ten first chapters of the Gospel of Jesus Christ, according to Matthew.']","['Written by Christopher Blackwood, preacher to a church of Christ in the city of Dublin in Ireland.']",1659,"138938-an exposition upon ten first chapters of gospel of jesus christ according to matthew"
"12","R207680","['Expositions and sermons upon the ten first chapters of the Gospel of Jesus Christ, according to Matthew. Written by Christopher Blackwood, preacher to a Church of Christ in the city of Dublin in Ireland.']","NA",1659,"138940-expositions and sermons upon ten first chapters of gospel of jesus christ according to matthew"
"13","R31317","['The second part of the reports of Sir George Croke Knight,']","['late one of the justices of the Court of Kings-Bench, and formerly one of the justices of the Court of Common-Bench; of such select cases as were adjudged in the said courts, during the whole reign of the late King James: collected and written in French by himself; revised and published in English by Sir Harebotle Grimston Baronet, one of the Benchers of the Honourable Society of Lincolns-Inn. With an exact table of the principal points of law, argued and resolved therein.']",1659,"633-reports"
"14","R212089","['An Act for continuance of a former Act for setling the militia of this Common-vvealth·']","NA",1651,NA
