"","estc_ids","title_1","title_2","pub_year","work_id"
"1","R37774","['Index rhetoricus et oratorius,']","['scholis &amp; institutioni tenerioris ætatis accommodatus. Cui adjiciuntur formulæ oratoriæ, et index poeticus. Opera &amp; studio Thomæ Farnabii.']",1654,"422-index rhetoricus"
"2","R215600","['Index rhetoricus et oratorius, scholis &amp; institutioni tenerioris ætatis accommodatus.']","['Cui adjiciuntur formulæ oratoriæ, et index poeticus. Opera &amp; studio Thomæ Farnabii.']",1659,"422-index rhetoricus"
"3","R214466","['These books following are to bee sold by Philemon Stephens at the Gilded Lion in St. Pauls Church yard.']","NA",1657,"91397-these books following are to bee sold by philemon stephens at gilded lion in st pauls church yard "
"4","R207220","['A discourse touching the Spanish monarchy.']","['Laying down directions and practises whereby the king of Spain may attain to an universal monarchy. VVherein also we have a political glasse, representing each particular country, province, kingdom, and empire of the world, with wayes of government by which they may be kept in obedience. As also, the causes of the the rise and fall of each kingdom and empire. VVritten by Tho. Campanella. Newly translated into English, according to the third edition of this book in Latine.']",1654,"4295-de monarchia hispanica discursus"
"5","R203087","['The labouring saints dismission to rest.']","['A sermon preached at the funeral of the Right Honourable Henry Ireton Lord Deputy of Ireland: in the Abbey Church at Westminster, the 6th. day of February 1651. By John Owen, minister of the Gospel. Licensed and entered according to order.']",1652,"38325-labouring saints dismission to rest sermon preached at funeral of right honourable henry ireton lord deputy of ireland in abbey church at westminster 6th"
"6","R4487","['The synagogue, or, The shadow of the temple.']","['Sacred poems, and private ejaculations; in imitation of Mr. George Herbert.']",1657,"4229-synagogue or shadow of temple sacred poems and private ejaculations"
"7","R209056","['The vvay to life and death.']","['Laid down in a sermon, 1629. before the Lord Major of London then being. By N. Waker M.A. late minister of Jesus Christ at Lawndon in Buckinghamshire. Now published for the reasonableness of the advice therein given, touching the five controverted points, viz. predestination, general redemption, freewill, conversion, and perseverance of the siants. Directing a safe way for the practice of private Christians, as confessed by the disputants on both sides.']",1655,"44489-vvay to life and death laid down in sermon in year 1629"
"8","R207019","['Thomas Gataker B.D. his vindication of the annotations by him published']","['upon these words, Thus saith the Lord, learn not the way of the heathen, and be not dismayed at the signes of heaven, for the heathen are dismayed at them, Jer. 10. 2. Against the scurrilous aspersions of that grand imposter Mr. William Lillie; as also against the various expositions of two of his advocates, Mr. John Swan, and another by him cited, but not named: together with the annotations themselvs. Wherein the pretended grounds of judiciary astrologie, and the Scripture-proofes produced for it, are discussed and refuted. Imprimatur, Edm. Calamy. April 12. 1653.']",1653,"8010-vindication of annotations"
"9","R228981","['A discourse touching the Spanish monarchy.']","['Laying down directions and practises whereby the king of Spain may attain to an universal monarchy. VVherein also we have a political glasse, representing each particular country, province, kingdom, and empire of the world, with wayes of government by which they may be kept in obedience. As also the causes of the rise and fall of each kingdom and empire. VVritten by Tho. Campanella. Newly translated into English, according to the third edition of this book in Latine.']",1654,"4295-de monarchia hispanica discursus"
"10","R206508","['Gods presence with a people, the spring of their prosperity;']","['with their speciall interest in abiding with Him. A sermon, preached to the Parliament of the Commonwealth of England, Scotland, and Ireland, at Westminster, Octob. 30. 1656. A day of solemn humiliation. By John Owen, D.D. a servant of Jesus Christ, in the work of the Gospel. Printed by Order of Parliament.']",1656,"73907-gods presence with people spring of their prosperity with their speciall interest in abiding with him"
"11","R210127","['An useful tractate to further Christians of these dangerous and back-sliding times, in the practice of the most needful duty of prayer.']","['Wherein are discoverd the nature, necessity and successe of fervent prayer: many objections answered, several practical cases of conscience resolved; and all briefly applied from this text, viz. James 5. 16. The effectual fervent-prayer of a righteous man availeth much. Being the substance of several sermons preached in the town of Columpton in Devon. By William Crompton M.A. minister of that part of Christs Church there.']",1659,"80507-an useful tractate to further christians of these dangerous and back-sliding times in practice of most needful duty of prayer wherein are discoverd nature necessity and successe of fervent prayer many objections answered several practical cases of conscience resolved and all briefly applied from this text viz"
"12","R207554","['Oi ele⁻emonez ele⁻ethesuntai, or Gods mercy for mans mercy.']","['Opened in a sermon at the spittle, March 31. 1657. before the Right Honourable the Lord Major, the aldermen, &amp;c. By Thomas Jacomb minister of the Gospel at S. Martins Ludgate, London.']",1657,"75719-oi ele⁻emonez ele⁻ethesuntai or gods mercy for mans mercy opened in sermon at spittle march 31"
"13","R181597","['Ptwxofarmakon, seu Medicamen miseris, or, Pauperum pyxidicula salutifera.']","['Help for the poor, collected for the benefit of such as are not able to make use of physitians and chirurgions, or live remote from them. Also an appendix concerning letting bloud in the small pox. B Robert Pemel, physitian of Crane-brook in Kent.']",1653,"61078-ptwxofarmakon seu medicamen miseris or pauperum pyxidicula salutifera help for poor collected for benefit of such as are not able to make use of physitians and chirurgions or live remote from them"
