"","estc_ids","title_1","title_2","pub_year","work_id"
"1","R173944","['The lives of sundry modern English divines']","NA",1651,"196704-lives of sundry modern english divines "
"2","R22003","['A divine message to the elect soule:']","['delivered in eight sermons upon seven severall texts. By that laborious and faithfull messenger of Christ, Mr. William Fenner B.D. Sometime Fellow of Pembroke Hall in Cambridge, and late minister of Rochford in Essex.']",1647,"2472-divine message to elect soule"
"3","R176006","['The second part of Gangræna: or a fresh and further discovery of the errors, heresies, blasphemies, and dangerous proceedings of the sectaries of this time.']","['As also a particular narration of divers stories, speciall passages, letters, an extract of some letters, all concerning the present sects: together with some corollaries from all the fore-named premisses. A reply to the most materiall exceptions made by Mr, Saltmarsh, Mr Walwyn, and Cretensis, against Mr. Edwards late book entituled Gangræna. As also brief animadversions upon some late pamphlets; one of Mr. Bacons, another of Thomas Webs, a third of a picture made in disgrace of the Presbyterians. A relation of a monster lately born at Colchester, of parents who are sectaries. The copie of an hymne sung by some sectaries in stead of Davids psalms. By Thomas Edvvards minister of the Gospel.']",1646,"6188-gangraena"
"4","R170292","['Prima, the first things']","NA",1654,"1210-prima media and ultima"
"5","R201443","['New-Englands Jonas cast up at London: or, A relation of the proceedings of the court at Boston in New-England against divers honest and godly persons,']","['for petitioning for government in the common-wealth, according to the lawes of England, and for admittance of themselves and children to the sacraments in their churches; and in case that should not be granted, for leave to have ministers and church-government according to the best reformation of England and Scotland. Together with a confutation of some reports of a fained miracle upon the foresaid petition, being thrown over-board at sea; as also a breif sic answer to some passages in a late book (entituled Hypocrisie unmasked) set out by Mr. Winslowe, concerning the independent churches holding communion with the reformed churches. By Major John Child.']",1647,"169535-new-englands jonas cast up at london or relation of proceedings of court at boston in new-england against divers honest and godly persons for petitioning for government in common-wealth according to lawes of england and for admittance of themselves and children to sacraments in their churches and in case that should not be granted for leave to have ministers and church-government according to best reformation of england and scotland"
"6","R216950","['The second part of the young clerks guide: or a second collection of choyce English presidents']","['for indentures of settlements, letters of licence and composition, assignments, letters of atturney, conditions, obligations in English, and sundry others. Compiled by Sir R.H. and perused by a judicious practiser, very useful and necessary for all.']",1652,"399-young clerks guide"
"7","R204104","['Vaticinium causuale.']","['A rapture occasioned by the late miraculous deliverance of His Highnesse the Lord Protector, from a desperate danger. With, a noverint universi, in the close. By Geo: Wither, Esq;']",1654,"104593-vaticinium causuale rapture occasioned by miraculous deliverance of his highnesse lord protector from desperate danger"
"8","R30573","['Arōnophēgmata']","['an ephemeris for the year of Christ, 1651 ... calculated exactly for the meridian of the towne and port of Sandwich in the county of Kent ... / by Henry Harflete.']",1651,NA
"9","R221546","['Eikōn basilikē']","['the pourtraicture of His Sacred Majestie, in his solitudes and sufferings.']",1649,"43-eikon basilike"
"10","R209496","['Autarkeia, or The art of divine contentment. By Thomas Watson M. of A. of Emmanuel Colledge in Cambridge, and now pastor of Stephens Walbrook. Lond.']","NA",1653,"1520-autarkeia or art of divine contentment"
