"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16"
"1","act","church","act","sermon","sermon","french","church","sermon","act","sermon","act","sermon","great","sermon","sermon","sermon"
"2","proclamation","preachd","parliament","several","preachd","present","john","preachd","almanack","several","majesties","church","god","several","queen","preachd"
"3","gracious","sermon","house","church","church","true","preachd","church","majesties","church","letter","john","london","church","majestys","poem"
"4","parliament","letter","majesties","john","right","reverend","account","majesty","sermon","john","proclamation","preachd","parliament","john","life","english"
"5","majesties","majesty","french","preachd","queen","act","poem","honourable","preachd","preachd","parliament","england","honourable","preachd","answer","life"
"6","seamen","great","majesty","england","life","history","general","reverend","gracious","england","queen","religion","present","england","whole","death"
"7","continuing","french","poem","account","reverend","sermon","discourse","england","christ","account","comedy","time","reverend","account","chaplain","church"
"8","whereas","present","sir","lord","honourable","queen","rector","chaplain","psalms","lord","theatre","holy","act","lord","use","letter"
"9","granting","reverend","jamess","new","majesty","majestys","house","act","proclamation","new","answer","minister","history","new","death","gospel"
"10","annæ","queen","humble","english","act","life","religion","publishd","metre","english","sir","divine","majestys","english","bishop","account"
"11","anne","thanksgiving","speech","containing","rector","answer","holy","english","rising","containing","acted","original","life","containing","thomas","john"
"12","holland","description","commons","letter","answer","whole","minister","french","god","letter","servants","preached","answer","letter","several","country"
"13","called","acted","honourable","right","letter","chaplain","divine","bishop","john","right","lords","grace","sermon","right","royal","remarks"
"14","britannicus","quakers","proclamation","majesty","bishop","use","original","preached","testament","majesty","almanack","request","publishd","majesty","church","shewing"
"15","reginæ","lately","temporal","william","preached","bishop","preached","right","hopkins","william","reformation","lord","chaplain","william","duke","true"
"16","hundred","illustrated","execution","king","request","thomas","grace","added","sternhold","king","relation","george","use","king","majesties","reflections"
"17","ancient","queens","right","great","majesties","royal","christ","house","meridian","great","gracious","christ","bishop","great","sir","henry"
"18","quakers","address","queen","god","shewing","duke","shewing","history","chaplain","god","houses","charles","thomas","god","christian","richard"
"19","almanack","1710","duke","london","sir","christian","charles","ordinary","duties","london","intituled","publick","duke","added","book","people"
"20","duties","richard","majestys","added","christian","book","useful","majestys","songs","added","address","lords","majesties","parliament","poem","dialogue"
"21","presented","1703","special","parliament","publick","poem","publick","original","table","parliament","last","collection","sir","french","state","set"
"22","navy","high","convocation","french","poem","state","lords","parliament","illustrated","french","honourable","1706","christian","honourable","general","ordinary"
"23","assembled","necessary","poor","honourable","house","general","collection","majesties","special","honourable","dissenters","order","book","present","discourse","bishop"
"24","whitehall","subjects","almanack","present","parliament","discourse","done","sir","leap-year","present","thereunto","1702","poem","true","house","vindication"
"25","encouragement","principles","presented","true","remarks","rector","1706","1706","rector","true","lover","nature","state","reverend","last","christ"
"26","france","large","commissioners","reverend","religion","house","relating","london","francis","reverend","meridian","remarks","general","together","preachd","friend"
"27","angelus","exact","command","together","minister","last","lord","poem","cathedral","together","reign","1708","rector","act","religion","sermons"
"28","bible","january","lord","act","court","religion","nature","scotland","ephemeris","act","entituled","observations","house","history","holy","french"
"29","thereunto","spiritual","gracious","history","henry","time","remarks","nature","eclipses","history","session","command","last","concerning","minister","poems"
"30","woodhouse","parish","assembled","concerning","majestys","holy","1708","last","queen","concerning","acts","world","religion","queen","divine","forth"
"31","tongues","vicar","houses","queen","treatise","minister","observations","queen","jesus","queen","humble","others","holy","majestys","original","character"
"32","mail","samuel","general","majestys","chaplain","divine","command","present","whole","majestys","speech","english","minister","life","preached","truth"
"33","scotland","churches","law","life","books","original","world","almanack","spiritual","life","temporal","letters","original","answer","persons","college"
"34","humble","since","arts","answer","clergy","preached","others","kings","bissextile","answer","sarum","city","preached","whole","grace","songs"
"35","houses","laws","lords","whole","duty","persons","letters","city","setting","whole","whereas","westminster","persons","parts","request","minister"
"36","aid","appointed","white","parts","order","grace","city","westminster","laying","parts","white","ordinary","grace","publishd","george","every"
"37","people","special","sacheverell","publishd","relation","request","westminster","march","use","publishd","satyr","county","request","chaplain","england","fellow"
"38","liberatus","union","tryal","chaplain","love","george","ordinary","france","ordinary","chaplain","poem","march","george","use","christ","concerning"
"39","merlinus","young","address","use","earl","christ","county","ireland","apart","use","proceedings","glorious","christ","death","charles","added"
"40","diligently","practical","whereas","death","gospel","shewing","short","royal","calculated","death","noble","henry","shewing","bishop","publick","paris"
"41","scotch","jamess","proceedings","bishop","november","charles","henry","1707","tables","bishop","considerations","france","charles","thomas","lords","days"
"42","brown","manner","statutes","thomas","duke","useful","people","november","visitation","thomas","presented","people","useful","royal","1706","funeral"
"43","landmen","proclamation","satyr","royal","m.a","publick","1707","1701","father","royal","twenty","1707","publick","duke","order","age"
"44","enlarging","servants","bishop","duke","particular","collection","sermons","duke","churches","duke","held","sermons","lords","majesties","relating","7th"
"45","regni","ancient","kingdom","majesties","funeral","done","treatise","m.a","corrupting","majesties","vindication","country","collection","sir","1702","man"
"46","arrived","happy","preventing","sir","command","1706","1701","modern","tend","sir","gospel","1701","done","christian","nature","occasiond"
"47","service","june","thereunto","christian","original","order","method","funeral","solace","christian","true","method","1706","book","remarks","speeches"
"48","partridge","speech","bissextile","book","persons","1702","1709","father","comfort","book","people","1709","order","poem","account","charles"
"49","humbly","preface","spiritual","poem","letters","church","set","britain","sun","poem","following","set","relating","state","1708","discourse"
"50","new","justice","thursday","state","fellow","nature","modern","fellow","canterbury","state","pamphlet","according","1702","general","observations","divine"
"51","rather","christians","laws","general","thanksgiving","1708","viz","thanksgiving","1703","general","contained","scotland","remarks","discourse","command","hymns"
"52","speech","society","following","discourse","friend","observations","books","manners","moreover","discourse","law","viz","1708","rector","court","preached"
"53","tanner","case","danger","rector","true","command","1705","queens","reginæ","rector","drury-lane","books","observations","house","world","court"
"54","carrying","gracious","saturday","house","acted","world","best","address","seven","house","tragedy","1705","command","last","others","gentleman"
