"","X1","X2","X3","X4","X5","X6","X7"
"1","termino","moste","byble","moste","yere","god","moste"
"2","henrici","churche","churches","churche","moste","yere","henrici"
"3","man","englande","iohn","englande","englande","lorde","englande"
"4","michaelis","michaelis","maister","henry","maiestie","moste","termino"
"5","boke","imprimendum","vsed","newly","reigne","churche","kynges"
"6","octaui","subiectes","letters","henrici","irelande","englande","yere"
"7","god","concernyng","declared","maner","actes","henry","henry"
"8","doctor","oure","order","necessary","westminster","man","reygne"
"9","parlyament","honorable","cure","termino","fraunce","christen","reigne"
"10","hen","byble","counsaill","godly","session","euery","statutes"
"11","worlde","priuilegio","maiestie","parlyament","curates","newly","churche"
"12","scripture","london","basille","hen","holden","henrici","maner"
"13","christian","corrected","edward","acte","realme","maner","maiesties"
"14","henry","common","ceremonies","parliament","octaui","necessary","vi"
"15","betwene","henry","redde","proclamation","noble","termino","tyme"
"16","london","westminster","agaynst","prayers","proclamacion","godly","realme"
"17","iohan","notable","wyth","famous","parlyament","kyng","england"
"18","holye","furth","persones","appoynted","parliament","holy","irelande"
"19","sermon","vse","ihon","worlde","proclamation","wherin","actes"
"20","howe","thys","life","court","appoynted","gathered","michaelis"
"21","pasche","begynneth","rites","mayster","present","maiestie","subiectes"
"22","treatyse","dyuers","vse","tyll","daye","iohn","concernyng"
"23","doctrine","session","proclamacion","fourth","parte","newe","fraunce"
"24","taken","curates","prayer","foloweth","vsed","kynge","dyuers"
"25","eyght","mooste","englyshe","profitable","gracious","hys","session"
"26","regis","betwene","christian","kinges","byble","reygne","euery"
"27","begynneth","holden","theodore","regni","maiesties","daye","holden"
"28","reygne","supreme","house","father","kyng","maiesties","supreme"
"29","englysshe","sexti","protector","olde","honour","called","sexti"
"30","fyrst","frenche","messe","treatise","continued","tyme","kyng"
"31","christen","sermons","administracion","lesse","daie","thomas","octaui"
"32","learne","octaui","appoynted","redde","royall","reigne","letters"
"33","basille","places","sermons","bothe","highnes","statutes","noble"
"34","newely","articles","whych","body","fayth","whiche","lorde"
"35","tyll","sayd","copy","vsed","doctrine","realme","regis"
"36","regni","letters","psalter","gracious","counsaill","grace","proclamacion"
"37","lesse","agaynst","certain","concernynge","certain","scripture","parlyament"
"38","names","sermon","somerset","declaration","heade","vi","hen"
"39","annexed","doctor","contento","persones","bee","compyled","parliament"
"40","domini","necessarye","kalendario","christian","sonday","noble","proclamation"
"41","tricesimo","eyght","patet","table","england","howe","prayers"
"42","imprimendum","regis","prout","profytable","grace","englyshe","duke"
"43","shal","knowe","formam","bokes","basille","england","newely"
"44","concernynge","proclamacion","continens","cure","hygh","present","profitable"
"45","priuilegio","drawen","libellus","maiestie","worthy","irelande","regni"
"46","christ","sacrament","paruus","iohn","defence","actes","englysh"
"47","wherin","prayer","accomptes","iohan","folowynge","churches","present"
"48","masse","kynges","others","holye","brief","good","psalmes"
"49","short","parlyament","souereigne","honour","maiesty","great","gracious"
"50","becon","hen","sent","continued","edward","michaelis","persones"
"51","courte","acte","ryghte","daie","high","imprimendum","kynge"
"52","hym","parliament","homilies","royall","anthony","subiectes","set"
"53","chrysten","proclamation","godly","dayes","hyghnes","concernyng","ryght"
"54","fyrste","prayers","suche","highnes","drad","oure","thynges"
"55","theodore","duke","edwarde","copy","ceremonies","honorable","continued"
"56","mooste","famous","whole","sette","declared","priuilegio","daie"
"57","profytable","appoynted","certayne","christe","set","london","royall"
"58","daye","worlde","booke","fayth","eyght","christ","highnes"
"59","necessary","court","heauenly","pasche","compiled","moost","copy"
"60","lately","mayster","skelton","treatyse","kynges","corrected","partes"
"61","agaynst","tyll","courtes","doctrine","churches","common","certayne"
"62","luther","fourth","realmes","taken","tricesimo","westminster","common"
"63","urynes","foloweth","prophet","preached","commons","fraunce","pasche"
"64","wrytten","kinges","bothe","blessed","furthe","notable","namely"
"65","last","regni","lord","women","singuler","furth","latyn"
"66","february","father","dauid","maister","ireland","vse","edwarde"
"67","erudition","olde","churche","lawes","peace","thys","booke"
"68","xxxiiii","englysh","new","namely","ende","begynneth","people"
"69","godly","suche","thomas","latyn","saye","dyuers","curates"
"70","honour","reader","oure","edwarde","ordeyned","session","westmynster"
"71","whych","redde","euery","supper","rites","people","weale"
"72","theyr","shal","instruction","whole","lorde","theyr","vnder"
"73","forth","parte","godlye","englysshe","acte","curates","church"
"74","compiled","bothe","saye","fyrst","duke","mooste","counsaill"
"75","called","body","sacramentes","westmynster","good","betwene","certain"
"76","leafe","lord","houper","gospels","hym","holden","bible"
"77","loue","vsed","poete","augmented","theodore","supreme","imprynted"
"78","hole","gracious","recordo","weale","assembled","sexti","heade"
"79","truly","dauid","hundredum","vnder","gospelles","frenche","somerset"
"80","uryne","concernynge","vnum","counsaill","faith","octaui","introduction"
"81","prynted","declaration","persone","certain","tertio","lately","sonday"
"82","matter","persones","gouernor","bible","moone","places","basille"
"83","enacted","henrici","vncle","excellent","dominions","articles","forthe"
