"","X1","X2","X3","X4"
"1","termino","termino","termino","maner"
"2","henrici","henrici","henrici","roberti"
"3","michaelis","vi","kynge","herbes"
"4","yere","dyaloge","michaelis","gyueth"
"5","regis","thomas","begynneth","signifye"
"6","lorde","dyuers","hillarii","vryn"
"7","regni","kynges","realme","vvhitintoni"
"8","statutes","euery","primo","sekenesses"
"9","holden","lorde","xxiiii","florentissima"
"10","treatise","treateth","die","vt"
"11","moste","foloweth","body","nat"
"12","kynge","betwene","laten","auicenna"
"13","vi","syr","knyght","practysed"
"14","thomas","olde","tonge","syllabarum"
"15","dyuers","roberti","regis","mediarum"
"16","pasche","pasche","vicesimo","academia"
"17","breuium","breuium","lawes","lyce"
"18","edwardi","edwardi","anglie","oxoniensi"
"19","parliament","parliament","added","distichon"
"20","present","certayne","deuoute","erasmo"
"21","henry","erasmus","corrected","scholijs"
"22","god","reigne","goodly","verborum"
"23","reigne","concernynge","parlyament","bytwene"
"24","concernynge","sayd","daye","treatyse"
"25","sexti","new","prorogation","wyse"
"26","session","englyshe","honour","body"
"27","iohan","newe","proclamation","called"
"28","dyaloge","lytell","octaui","euery"
"29","hillarii","yere","hen","psalme"
"30","realme","sexti","grace","scholæ"
"31","primo","session","agaynst","surgery"
"32","xxiiii","iohan","bokes","handwarke"
"33","great","howe","put","treueris"
"34","kyng","rede","clerke","vnderstandynge"
"35","vicesimo","mery","saynt","parfyte"
"36","betwene","latyn","persones","maysters"
"37","olde","moost","regni","created"
"38","good","hillarii","sheweth","mysfortune"
"39","parlyament","realme","natura","dyseases"
"40","daye","primo","souerayne","hele"
"41","prorogation","xxiiii","soueraygne","welfare"
"42","honour","great","table","prosperous"
"43","proclamation","kyng","mayster","vnderstandyng"
"44","octaui","die","statuta","parfyt"
"45","hen","body","sermon","herball"
"46","taken","englande","honorable","brefly"
"47","frenche","laten","churche","qualites"
"48","lerne","knyght","doctour","præceptoris"
"49","boke","christen","talys","jest"
"50","holy","lyfe","gracyous","morall"
"51","certayne","moche","knowlege","hystory"
"52","sheweth","tonge","reygne","opusculum"
"53","natura","lady","worlde","laureati"
"54","souerayne","vicesimo","nominum","lichfeldiensis"
"55","soueraygne","lawes","booke","hexastichon"
"56","table","father","thynges","recogniti"
"57","mayster","anglie","syon","auctis"
"58","statuta","added","forth","creature"
"59","sermon","deuoute","trinitatis","complaynt"
"60","honorable","corrected","soule","fabellæ"
"61","churche","goodly","moste","nominibus"
"62","emperour","thre","play","nominum"
"63","priuilegio","parlyament","purgatory","booke"
"64","man","daye","purgatorye","right"
"65","new","prorogation","tercii","wyth"
"66","famous","honour","carta","expert"
"67","play","proclamation","tenures","cure"
"68","purgatory","octaui","returna","worke"
"69","purgatorye","hen","xiiii","know"
"70","tercii","taken","dradde","come"
"71","carta","frenche","westmynster","erasmi"
"72","tenures","grace","actis","rome"
"73","returna","agaynst","conquestum","prynted"
"74","xiiii","bokes","weale","compyled"
"75","dradde","clerke","soueraigne","lytell"
"76","westmynster","saynt","dei","moche"
"77","actis","scripture","peace","whiche"
"78","conquestum","persones","fyrste","suche"
"79","weale","kynge","acte","mesure"
"80","soueraigne","michaelis","englisshe","religyous"
"81","dei","begynneth","counsayle","substance"
"82","peace","sheweth","temporall","apparant"
"83","fyrste","natura","ordre","waters"
"84","acte","souerayne","fourme","alexander"
"85","englisshe","soueraygne","vertues","phisike"
"86","counsayle","table","herbes","paulinæ"
"87","temporall","mayster","gyueth","magistratibus"
"88","eight","statuta","nouembris","lucubrationes"
"89","diuers","sermon","thyrde","quad"
"90","ordre","honorable","signifye","full"
"91","kynges","churche","vryn","scholiis"
"92","jesus","emperour","vvhitintoni","generall"
"93","prester","doctour","dyuerse","ende"
"94","whych","talys","brother","latter"
"95","thys","reygne","set","tabull"
"96","order","nominum","sir","seyens"
"97","interlude","thynges","wyse","moo"
"98","germen","necessary","theyr","qualities"
"99","takynge","forth","places","ther"
"100","ordynaunce","golden","law","contens"
