"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29"
"1","sermon","treaty","condé","comedian","davies","blundering","bickham","kick","promoting","geftleman","germaniques","head-lands","aditus","philanthropos","edlin","act","quakers","almanack","whitefield","baptism","canibalss","und","fresnoy","epistle","list","comedy","internally","legis","blank"
"2","watts","grays-inn","recueil","high-court","merriest","sejanus","penmans","jenny","mary-le-bow","quallification","militaires","soundings","templum","gift","distiller","county","letter","bissextile","pembroke","quakers","believer","dedicata","drawing","satire","knights","moliere","metalline","communis","bevill"
"3","request","stebbing","passé","othman","chaloners","masquerader","junr","contest","seized","plaees","litteraires","pilot","path-way","theophilus","concubinage","repairing","repeal","leap-year","savannah","perversions","osmin","signora","gerard","letter","burgesses","theatre-royal","texture","expositorius","higgons"
"4","preachd","welby","mémorable","cibber","salve","cordelia","geo","eleventh","possessed","stuffs","allemans","capes","south-weston","student","learnedly","reign","plea","hopkins","oxford","barclays","chronicle","illustrissima","lairesse","poem","abode","shakespear","abortive","ignorami","fisher"
"5","preached","tansur","regnes","apology","sore","philaret","specimens","female","charity-schools","act","également","sea-coasts","hampton-poyle","seraphick","viewing","majesty","lillo","sternhold","impotency","bs","albert","bey","ornamenting","horace","lucerne","opera","fluxions","lamentatio","academician"
"6","salters-hall","treatys","royaume","brady","chaloner","vows","engravd","merry","incorporated","perpetuate","utile","navigators","new-years","tenderd","regarded","passed","remarks","ephemeris","george","forster","passeran","hohen","rooms","pope","meet","ballad","ratios","translationem","reciding"
"7","john","logarithms","sous","colley","encourager","scene","ayres","edition","educated","abscond","officiers","marine","vulgat","maidstone","narzanes","gracious","adjusted","metre","a.b","letterd","story","di","carwitham","dodsley","boroughs","acted","retaining","latino","successions"
"8","ordination","sectione","lhistoire","tate","ingenuity","downfall","snell","added","inventory","classicks","beaux-esprits","keel","aust","convert","muci","road","answer","planets","kennington-common","flail","stories","nuova","alluring","toy-shop","sheep","amours","visc","anglicum","freethinker"
"9","sermons","melody","servir","manors","straights","loves","shelley","sapho","thomson","wanted","lune","amazones","westbury","parochial","dalbert","effectual","dispute","astrological","college","calld","piece","edizione","minor","friend","insolvents","drury-lane","kilmory","dedicatione","gallows"
"10","samuel","bangor","memoires","clarke","checks","jest","snow","pastime","fancourts","scools","lautre","describing","lutterworth","physick","book-binder","granted","dissenters","rising","sermon","prosecutions","comical","malpas","sixty-two","convention","hessian","alexis","quick-silver","dulmannum","quadruple"
"11","gravel-lane","logistical","françois","tindal","restrains","exemplifyd","brooks","divertisements","chattels","bastard","critiques","bays","1378","immortal","book-printer","parliament","enquiry","psalms","virginity","people","select","ariosto","herman","verses","clay","tragedy","convey","præfatione","florence"
"12","gill","foster","contenant","mayor","highway-men","punch","stutely","tranquillity","trust","brave","ouvrage","able","præfixt","catalogue","book-seller","enlarging","reason","perkins","preached","vindication","true","phoenix","rigging","seasonable","cows","servants","sick-bed","curtesium","fotus"
"13","hebden","sion","charles","rector","foot-pads","brothers","pescod","translate","tenements","therewith","françoises","harbours","hunter","kent","dispersd","term","corporation","wing","weld","shillings","calld","stackhouse","there-with","great-britain","stirling","musick","stair","lectorem","declard"
"14","death","robinson","france","eclipse","shop-listers","revivd","penmanship","valetude","hereditaments","classica","françois","actual","preparative","soul","finchley","majestys","occasiond","lunations","awakened","lichfield","religion","boyd","heel","wool","births","trick","blood","iocupletissimus","lucretius"
"15","wright","anthems","sapho","supposed","horse-stealers","ball","copy-book","crede","lucis","twenty-nine","reflexions","hudsons-bay","wiclif","library","tryals","proclamation","revelation","moreover","blackheath","pickworths","taken","scarce","aft","dramatick","seed","dec","demonstration","voccs","buckinghamshire"
"16","drama","betwixt","pastime","sequel","gibraltar","masque","alphabets","habes-","parish-church","refuse","lettres","ports","mergate","sixth","adultery","better","tythe","ungodly","gibraltar","besse","count","pifferi","longboats","humbly","clover","tree","epode","locupletissimus","brest"
"17","yn","heresy","divertisements","waltham","hampton","play","jno","church-mens","charity","relief","nation","sands","malton","love","divorce","session","pamphlet","tend","christ","manifested","modern","montagna","sloops","sugar","alphabetical","millers","mechanically","angliæ","womb"
"18","marforio","compleat","tranquillity","version","minority","concluding","excerpted","damnation","meeting","mentiond","sapho","unit","collegiate","parish","discussed","continuing","truth","nourishing","whitefields","coventry","command","che","abstracts","aspersions","trefoyle","vanelia","empty","usitatas","throne"
"19","doddridge","gloria","translate","cumberlands","incendiaries","warning","curray","firmly","singular","testaments","pastime","10000","propagating","town","polygamy","amending","ministry","godly","phalaris","infant-baptism","lovers","andarono","directed","dialogue","grasses","life","curse","exponens","madrid"
"20","guyse","patris","valetude","clonfert","enormous","distinction","stourton-caundle","openly","millar","vexatious","divertisements","secants","burton","third","seriously","intituled","girard","solace","nervous","examination","twelve","sonare","epitomizd","house","grasiers","monsieur","nascent","explanans","pregnant"
"21","ministers","enterprizes","crede","wherwell","aud","comical","sherborn","sanctions","cockman","served","tranquillity","10,000,000","invention","books","goodwins","mentioned","importance","corrupting","salvation","falshood","inscribed","furono","boats","commons","troops","performd","evanescent","opere","subscription"
"22","god","hymns","habes-","losses","house-breakers","fair","masters","blanket","university-college","vernon","translate","furnished","solemn","christian","presided","within","religion","allowed","bristol","rectified","truth","sonati","section","porteous","cities","lady","anylist","voces","reigns"
"23","lecture","preacher","church-mens","contributors","extempore","humours","frightful","pontifs","society","debtors","valetude","expert","b.d","sapho","couchd","therein","member","apart","orrery","josiah","added","ragionamento","sea-faring","handed","temporal","excise-bill","mercurial","una","persia"
"24","reverend","psalmody","damnation","assurances","flights","dedicated","rescuing","goodwood","ollyffe","tillage","crede","moussons","s.t.p","pastime","delay","preventing","european","robin","continuation","called","discourses","cesellio","perspective","windsor-castle","citizens","copy","metal","adjicitur","shilling"
"25","regio","military","firmly","guild-day","shipping","thursday","hands","satirs","reformation","land-tax","habes-","west-coast","gift","divertisements","celsus","granting","reasons","ballads","heinous","reply","account","filomastige","improved","transparent","double","admirals","soliloquy","index","article"
"26","teatro","psalms","openly","new-elected","home","grand","chambers","bingley-church","unbelievers","geographia","church-mens","milton-abbas","reward","tranquillity","plante-amour","river","addressed","aspects","moravian","burts","government","risposta","halls","honourable","improvements","silvia","purse","sapho","1688"
"27","thomas","tund","sanctions","saram","increase","calld","distracted","haworth","sepulchres","imprisonment","damnation","stumbling-block","john","translate","macky","leading","entituled","setting","crawfurd","confused","liberty","quattro","floors","citizen","soils","nose","punch","pastime","renowned"
"28","rappresentarsi","troy","blanket","jephthahs","residence","entertaining","hang","kighley","easter-week","born","firmly","foolishness","parishioners","valetude","hurlothrumbo","acts","tythes","southing","mdccxxxix","burythorpe","royal","sermoni","floor","posture","intelligencer","byng","mitchell","divertisements","vienna"
"29","spinckes","wars","pontifs","israels","trades","seven","hood","abridger","children","better","openly","despised","devotion","crede","important","highways","pastoral","olympia","wesley","sewels","concerning","pubblicati","atlas","member","kalendar","composto","introducing","tranquillity","alliance"
"30","wrentham","1674","goodwood","holbrook","humble","ladies","hoods","invited","anniversary","frivolous","sanctions","west-india","colony","habes-","pain","bridge","liberty","dōmata","boyles","superfine","sapho","mezzo","castles","paragraph","chubb","chippenham","dress","translate","rochester"
"31","ford","magnificat","satirs","parva","christendom","january","selectæ","parent","societies","describd","blanket","ship","testament","church-mens","removing","enable","barnwell","merlinus","eustace","subscribd","pastime","stampe","monsieur","soc","broughton","maids","native","valetude","incidents"
"32","notcutt","attaining","bingley-church","cudworth","satyrs","acts","ollyffe","algebraically","encroachments","arise","pontifs","carrying","printing","damnation","new-theatre","saint","carini","liberatus","necessity","completed","divertisements","ginevra","prospects","ble","wheat","sir","essential","crede","dutchess"
"33","humphreys","disorders","haworth","bulk","shoreham","last","sailor","hollands","wishart","aid","goodwood","navigation","rector","firmly","proposals","regis","modest","partridge","journal","tace","tranquillity","passato","disposition","cochran","beans","memoirs","operation","habes-","revolution"
"34","charity-school","1706","kighley","4000","proposal","country","robin","buils","prescience","tithes","satirs","occurring","queens","openly","mat","law","applying","sung","hearers","sowle","translate","sotto","familiar","charming","horse-houghing","court","invented","church-mens","physical"
"35","worship","lincolnshire","abridger","ludlow","turns","persons","schools","fancies","whatsoever","landlords","bingley-church","nations","abraham","sanctions","distilling","georgii","concerning","vice","duty","raylton","valetude","seguente","vernon","batchelors","manures","marriage","quantities","damnation","received"
"36","harris","christopher","invited","aberley","school-master","whole","clark","hants","goods","porto","haworth","rivers","church","blanket","philanthropos","eighth","offerd","motions","hear","hinde","crede","titolo","whereby","receipt","calves","comedie","propositions","firmly","historical"
"37","newman","henry","parent","lotti","rendering","present","artists","abyssins","disaffected","bello","kighley","senses","establishing","pontifs","principally","securing","thoughts","comfort","georgia","cambrays","habes-","sectani","cut","inscribd","conjugal","husband","elements","openly","academy"
"38","bayes","pensions","algebraically","martis","joseph","history","sudden","unfrequented","synod","took","abridger","rendered","trustees","goodwood","desiring","duties","intitled","diary","watson","grievous","church-mens","fil","youth","excises","peers","france","newtons","sanctions","preservative"
"39","church","croydon","hollands","deus","fancy","added","sentences","1625","separated","process","invited","english","prebendary","satirs","charless","king","test-acts","latitude","walbrook","vincennes","damnation","graecvlorvm","study","twickenham","distinctions","jests","submitted","blanket","papists"
"40","heard","parish-church","buils","sol","guilty","sapho","ornamental","expulsion","divinities","compound","parent","slighted","editions","bingley-church","fools","thousand","christmas","meteorological","elisabeth","stick","firmly","hvivs","ship","essay","invented","comedians","fashion","pontifs","authentic"
"41","complete","revolutions","fancies","scutum","security","pastime","lamentable","nile","archbishoprick","arrests","algebraically","crucified","print","haworth","comet","twelfth","case","conjunctions","tyrant","soot","openly","aetatis","tutor","barbadoes","votes","arbor","properties","goodwood","divines"
"42","southwark","1702","hants","paderborn","sussex","divertisements","proportional","inundations","stricturæ","fleet","hollands","radius","oxon","kighley","offerd","payment","considerations","speculum","paterson","apologetic","sanctions","litteratvra","bickham","pill","counties","secret","treatise","satirs","merchant"
"43","saints","ombre","abyssins","osnabrug","hartley","tranquillity","sweet","differtations","conjecture","action","buils","gibralter","lewis","abridger","stackhouse","punishing","ch","clocks","lulworth-castle","stiles","blanket","gaivm","useful","present","meliorating","majestys","last","bingley-church","translation"
"44","pasquin","game","unfrequented","minden","whilst","translate","amusement","legrand","working-schools","ancients","fancies","information","worship","invited","healths","regulating","defence","fair-sex","cohabitation","misinterpretations","pontifs","salmorivm","summer","occasioned","brineing","d-ke","bodies","haworth","protestants"
"45","taylor","various","1625","critically","crimes","valetude","bland","in-woman","propagation","charges","hants","architecture","exemplified","parent","searching","statutes","entitled","churches","un-consummated","self-contradictory","goodwood","degli","introduction","addressd","rottenness","steele","enlarged","kighley","manuscripts"
"46","desire","corrected","expulsion","yardley","upwards","crede","sententiæ","spen","1731-2","appear","abyssins","names","saviour","algebraically","dukedoms","parish","consideration","deg","diverces","quaker-testimonies","satirs","avanzi","sister","scarborough","rabbits","theatre","manner","abridger","select"
"47","faith","chapter","nile","dignitary","sincere","habes-","practisd","magdeburg","concerned","kept","unfrequented","dictionary","thomas","hollands","dawson","cyder","distillery","moon","effected","pietas","bingley-church","dellantica","acquainted","abroad","cythisus","took","preparation","invited","drawn"
"48","earth","1672","inundations","seek","trade","church-mens","joy","squard","prayers","glorious","1625","vulgat","translations","buils","medicines","thirteenth","bane","lord","poultry-compter","promota","haworth","opra","porto","insolvents","wedding-ring","ar","answers","parent","thoughts"
"49","november","greece","differtations","paraphrase","poet","damnation","comprized","crathorn","corresponding","board","expulsion","aust","virtue","fancies","reconciling","ships","ecclesiastici","stars","whitaker","novissima","kighley","postuma","bello","ode","happening","politics","medicines","algebraically","fifth"
"50","meditation","glocester","legrand","tiverton","defence","firmly","catherine","cleaveland","knowledge","equity","nile","westbury","georgia","hants","septuagint","making","modernizd","gadbury","black-heath","verba","abridger","bonaventura","harbour","legation","summond","joe","a.m","hollands","italian"
"51","northampton","affect","in-woman","stewards","entirely","openly","regulated","apostolic","19th","exportation","inundations","lutterworth","bible","abyssins","topographical","allowing","heats","fitting","camerton","sectae","invited","overbeke","principles","corporis","mass","vade-mecum","honourable","buils","controversy"
"52","goodwin","chanting-tunes","spen","kings","past","sanctions","utmost","thirty-three","clergymen","admiral","differtations","1378","hopkins","unfrequented","reconcile","mum","fau","parkers","air-pump","anglos","parent","pittore","engravd","trevor","commons","bons","hitherto","fancies","chiefly"
"53","hallaton","deum","magdeburg","laureat","growth","blanket","judicious","unheard","fanatical","parishes","legrand","præfixt","sternhold","1625","amsterdam","town","fum","hour","moorefields","vulgò","algebraically","cittadino","practice","webber","longitude","mots","isaac","hants","dialogue"
"54","yarmouth","jubilate","squard","attributes","little","pontifs","renders","shipwrecks","annexed","tenants","in-woman","sines","metre","expulsion","supposd","malt","occasion","imprimatur","bexley","quakeri","hollands","tradotta","plans","manufactories","representatives","elijah","addressed","abyssins","imitation"
"55","turpin","deo","crathorn","samuel","kingdoms","goodwood","collected","perilous","personal","elections","spen","tangents","thursday","nile","injurd","explain","false","anni","indwelling","appellantur","buils","varie","easy","angria","hackney","marryd","right","unfrequented","civil"
"56","eve","dimittis","cleaveland","statute","excise","satirs","pieces","brussels","mission","repealing","magdeburg","shoals","america","inundations","dissected","tenth","dragon","laying","thyself","pauca","fancies","osservazioni","thro","whitehead","hertfordshire","fitz-maurice","smith","1625","heads"
