"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12"
"1","ballad","minister","prynne","kairō","symbol","cocker","bissextile","beimg","hammond","logica","act","commons"
"2","baxter","preached","bencher","logoū","weakness","engraven","almanack","millis","italian","apply","people","proclamation"
"3","kederminster","sermon","swainswick","hæresium","urines","flourishes","meridian","bow-lane","gent","collings","called","1660"
"4","pleasant","pastor","lincolns","sclatero","obstinacies","distilld","calculated","elect","schisme","declination","scobell","assembled"
"5","minister","reverend","inne","eâdem","overtures","limbeck","leap-year","token","neve","hieroclis","truth","act"
"6","richard","london","secluded","pridèm","discernable","intricacies","prognostication","chandlers","romance","navigation","forthwith","tonnage"
"7","song","polyglotta","sworne","posteà","oile","unimagined","latitude","personal","originally","triangles","parliament","reynolds"
"8","associated","syriacæ","members","exonienses","signe","inke","creation","forerunner","charta","autore","ordered","musick"
"9","1670","orientalium","freemen","collomptonenses","chymical","transcendencie","vaux","muggleton","brington","carmina","light","parliament"
"10","married","divines","lincolnes","nùnc","signification","pens","aspects","separate","primate","kata","council","disbanding"
"11","wife","learned","legal","tandèm","zodiack","copy-book","anni","transcendent","shirley","aurea","forth","miltoni"
"12","dulcina","jacombe","juncto","vulgʿo","quaking","invented","referred","shop","englished","resolving","testimony","1659"
"13","agreement","samaritanæ","montelion","londinensi","esoptron","teacheth","planets","clouds","physick","fuller","priests","poundage"
"14","brave","chaldaicæ","privileges","vico","astrologikon","adorned","motions","reprobate","carlell","expert","highness","treble"
"15","merry","æthiopicæ","forcibly","necessitate","abstruse","brain","worlds","lower","taylor","transacted","spirit","jessop"
"16","preacher","persicæ","birthright","regalis","horoscope","labyrinth","moon","lodowick","bernard","patriarchæ","hen","monck"
"17","ladies","arabicæ","subverted","socio","mathematicians","knots","speculum","reeve","jer","accessere","quakers","anglicano"
"18","godly","colledge","pendennis","petrum","johann","height","pigot","lane","vices","ferrarii","17th","defensionem"
"19","abby","choice","satyrs","civitate","regiomontanus","receipt","partridge","messenger","serene","pagina","declaration","regiam"
"20","dance","maries","sate","comitatu","defenders","faire","leap","brown","acted","d-es","lord","joannis"
"21","mansfield","honourable","soveraign","ecclesiâ","vrines","mode","seth","baker","magna","adriano","name","ayres"
"22","courteous","textus","councils","doctore","maniford","invention","christ","speak","necessity","hebdomēkonta","september","easter"
"23","wooing","calamy","irrefragably","cantabrigiæ","arabian","south","redemption","eternity","rector","voces","clerk","exact"
"24","pyrate","biblia","rights","mariæ","authourities","chain","composed","thousands","cleopatra","compasses","false","majesty"
"25","hone","cases","memorial","vocato","perjuries","pauls","dade","page","ecclesiasticum","apparelling","seed","subsidy"
"26","florus","versionum","excluded","naturâ","sacrilegious","dwelling","physick","hear","gesta","marwood","calls","defensio"
"27","tom","tabulis","murther","concionatore","morton","copies","serve","heavenly","britannorum","upton","god","common"
"28","coot","indicibus","destructive","academiâ","impudency","conduct","pole","treatise","francesco","peterburgh","given","house"
"29","billing","adjecta","1648","broadstreet","aristotles","edward","yeer","appearing","heraclitus","spherical","ordinance","salmasii"
