"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34"
"1","act","act","act","act","act","act","act","act","act","act","act","act","act","act","act","act","rev","act","act","observations","act","act","act","letter","rev","act","act","act","england","act","rev","act","act","act"
"2","majesty","new","new","law","containing","rev","majesty","new","new","new","rev","new","new","new","majesty","new","present","new","new","lord","majesty","new","rev","containing","present","certain","majesty","new","preached","rev","act","john","containing","majesty"
"3","certain","john","complete","list","present","england","thousand","john","john","rev","royal","john","john","john","sermon","john","london","john","containing","right","parliament","john","french","french","london","thousand","certain","john","thomas","present","william","containing","new","present"
"4","parliament","containing","address","certain","london","parliament","church","containing","containing","present","preached","present","containing","containing","preached","containing","great","containing","present","church","certain","present","royal","rev","general","hundred","county","containing","observations","account","sermon","rev","observations","certain"
"5","britain","rev","time","agriculture","general","history","certain","rev","rev","london","thomas","london","rev","rev","certain","rev","french","rev","great","britain","great","london","letter","new","great","life","june","rev","lord","sermon","letter","present","france","reign"
"6","present","london","use","majesty","great","added","hundred","present","present","general","church","general","present","present","church","london","history","present","french","majesty","law","general","five","history","french","age","granting","present","right","letter","preached","london","account","thousand"
"7","reign","general","certain","making","french","law","sermon","london","london","great","britain","great","london","london","duties","general","added","london","history","public","session","great","theatre","observations","william","reign","intituled","london","church","general","lord","general","parliament","commissioners"
"8","duties","great","various","scotland","history","life","preached","general","general","french","majesty","french","general","general","rev","great","royal","general","added","english","public","french","thomas","addressed","added","trial","parliament","general","society","right","church","great","acts","county"
"9","county","history","1796","granting","william","letter","within","great","great","history","english","history","great","great","sunday","french","account","great","account","county","parish","history","india","account","royal","present","duties","great","britain","french","majesty","french","performed","duties"
"10","acts","william","june","commissioners","added","british","acts","french","french","william","county","william","french","french","commissioners","william","sermon","french","letter","house","subjects","william","different","english","account","noble","thousand","french","majesty","society","public","history","present","parliament"
"11","right","added","ireland","duties","royal","letters","intituled","history","william","added","house","added","history","history","granting","added","letter","history","england","british","preached","added","essay","thomas","sermon","making","reign","history","public","britain","london","william","added","majestys"
"12","making","royal","whole","reign","letter","complete","chapel","william","added","account","british","account","william","william","chaplain","royal","england","william","thomas","george","register","royal","session","man","letter","prize","july","william","several","public","state","added","complete","songs"
