"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21"
"1","act","theatre-royal","leglise","poem","japan","organist","sheeles","massey","honori","mary-le-bow","ballad","pilot","almanack","ganesburgh","vigil","serpents","copy-book","regio","plain-scale","shire","sermon"
"2","repairing","provokd","succincte","letter","londons","croft","harpsicord","botolph","sacellum","charity-schools","farting","capes","necklace","secrecy","michis","serpent","sizes","rappresentarsi","sector","galloway","watts"
"3","county","vanbrugh","linquisition","satyr","marie","anthems","spinnett","caleb","æt","incorporated","fundament-all","head-lands","anodyne","wherewith","archi","insect","italian-hand","arabian","genoa","shires","preachd"
"4","proclamation","gay","procedures","conspirators","reine","composer","sky","malefactors","trevor","parish-church","fizle","hudsons-bay","gratis","sums","28ʿ","allure","minums","teatro","edenburgh","argyleshire","death"
"5","road","acted","comme","case","stone-heng","score","arie","livery","terror","sepulchre","sidney-college","amazones","sternhold","loans","septembris","whale-fishery","joyning","horses","tangents","perthshire","salters-hall"
"6","passed","115,000","italie","journal","restored","psalm-book","stromenti","eliza","whitehead","propagation","inquird","sea-coasts","hopkins","confiscated","magnb̆ritanni","beasts","size","reale","construction","atlas","reverend"
"7","parliament","cibber","represente","quakers","diocese","merry-musician","dedicate","grays-inn","alphage","royalty","fart","sands","metre","manufactuures","1687","fishes","langton","accademia","sines","contains","funeral"
"8","session","beggars","cas","impartially","descosse","figured","excellenza","danvers","grey","anniversary","protests","ebbing","psalms","aiders","hirst","insects","central","musica","lines","herman","departed"
"9","leading","ouverture","particuliers","murder","bradley","batten","sigr","novel","brotherly","meeting","obadiah","flowing","leap-year","consederates","trusty","whereon","round-hand","nel","currents","penmanship","ministers"
"10","mentioned","opera","ajouté","catiline","lorraine","cantus","duca","altham","settle","quarter-sessions","wonder","west-india","sign","skreen","well-beloved","bird","capitals","drama","bearings","wigton","evans"
"11","reign","comedy","authentique","humbly","thuanuss","winton","queensberrij","bishopsgate","assurance","jury","hando","bays","bissextile","charged","merttins","beast","duration","sultaness","artificial","kirkendbright","christ"
"12","effectual","115,000l","legendes","gentleman","favour","consisting","fortunato","newgate","sion-college","zu","puff-indorst","navigators","pair","removed","visitations","birds","quantity","di","commodious","lothian","heard"
"13","making","musick","hierome","credit","draining","tunes","kelleri","haywood","muses","whitson-week","congress","charts","stairs","committee","banson","animals","formidable","spinckes","solar","bute","ordination"
"14","acts","list","barthelemi","merry","materials","measures","cantate","wonderfull","1721-2","auss","posteriori","delineating","teeth","reports","charity-money","engraved","glocester","galland","problems","inverness","request"
"15","gracious","servants","italien","jesuss","britayne","moderate","lark","ombre","congratulatory","grand","hireling","havens","gleet","south-sea","dorothea","fish","eclipse","indies","minuets","sutherland","guyse"
"16","bridge","song","naissance","bacon","chancellour","voice","spectators","promotions","elegy","educated","apocalyptical","shoals","chamberlen","mismanagements","savelli","capacities","appear","aubin","rigadoons","orkneyshire","gravel-lane"
"17","sixth","settled","autresois","cadenus","middletoni","taught","suits","chronological","apostle","preached","signor","anchorage","book","complaining","cori","describd","visible","hickes","11.1724","geographer","john"
"18","amending","midwifery","prosesseur","vanessa","addressing","parts","lessons","fortunes","14th","charity","polly","cuba","tobacco","sub-governours","walliss","extracted","middle","told","briefly","friers","lecture"
"19","continuing","majesté","philosophie","great","deposited","composd","odes","companies","forth","einer","dorst","hispaniola","broken","deputy-governours","lisle-street","just","total","waterland","plainly","working","scripture"
"20","majesty","jamaica","theologie","paper","houghton","select","con","removals","dunstans","predigt","in-taild","barbados","ephemeris","directors","feast","read","exeter","angling","happen","navigation","charity-school"
"21","georgii","tunes","delegues","proud","infidelity","music","di","births","march","schloss-capelle","vented","porto-rico","nourishing","cranmer","lessons","curiously","salisbury","tartars","eclipse","projection","peirce"
"22","better","score","maintenant","rod","corn","different","composd","lower","8th","vorgestellet","her-fart-shire","bahama","corrupting","naggs","sons","adapted","sun","nights","example","moll","earle"
"23","duties","lincolns-inn-fields","proselyte","political","1673","spleen","hymns","bodys","philips","anthon","groom","newsound-land","allowed","celibacy","mayor","especially","bristol","tradesman","demonstrated","west","helens"
"24","regis","fielding","anglicane","publick","farm","musick","musick","relation","set","wilhelm","stool","new-york","solace","mentiond","comprehended","plates","beginning","entertainments","uses","valuing","faith"
"25","seven","lucerne","pratique","lawyers","fens","supplement","divine","tyburn","north","bôhmen","sardinia","soundings","ungodly","allowance","brideoake","children","copies","cathedral","numbers","monasticon","wright"
"26","enlarging","dnum","extrait","billings","cambridge","delight","taken","cardinals","arrival","work-houses","writer","secants","temple-bar","sharpe","ab-church","hundred","small","vicar","contrived","abbats","sermons"
