"","X1","X2","X3","X4","X5","X6","X7","X8"
"1","queene","english","english","queene","great","iohn","maiestie","english"
"2","proclamation","sundrie","god","statutes","king","french","life","god"
"3","statutes","briefe","true","maiesties","according","english","death","true"
"4","almanacke","honourable","french","realme","sermons","true","christ","french"
"5","realme","whole","king","proclamation","maiesties","christian","excellent","king"
"6","prognostication","gent","set","reigne","bookes","last","preached","lord"
"7","reigne","lords","booke","iustices","sundrie","newly","earle","set"
"8","iustices","william","iohn","liberties","lords","vvith","honorable","booke"
"9","liberties","sir","great","orders","containing","honorable","gathered","iohn"
"10","holden","strange","last","elizabeth","strange","death","england","diuers"
"11","orders","word","certaine","lords","french","sermons","queene","great"
"12","conferred","forth","england","queenes","earle","pleasant","famous","last"
"13","dutch","downe","containing","voyces","vvith","gentleman","learned","certaine"
"14","maiesties","citie","maiesties","lib","lord","preached","letters","england"
"15","cittie","whereunto","thomas","languages","loue","bookes","kings","containing"
"16","elizabethæ","seuerall","london","holden","saint","sundrie","duke","maiesties"
"17","leape","man","death","places","dutch","containing","seuerall","thomas"
"18","queenes","places","christian","peace","spanish","briefe","lord","london"
"19","aswell","necessarie","right","sermons","maister","thomas","seruants","death"
"20","countries","loue","gentleman","greeke","holy","whole","1591","christian"
"21","officers","1591","christ","reginæ","proclamation","booke","noble","right"
"22","vntill","collected","discourse","titles","robert","right","children","gentleman"
"23","answere","dutch","queene","faith","george","gathered","almanacke","christ"
"24","peace","short","newly","priuie","knight","discourse","principall","discourse"
"25","high","foure","sundry","religion","good","historie","great","queene"
"26","estates","proclamation","according","commanded","realme","sermon","proclamation","profitable"
"27","elizabeth","godly","good","enlarged","honorable","word","pleasant","newly"
"28","ships","added","life","highnesse","gods","learned","notable","sundry"
"29","faithfully","robert","honorable","execution","countries","man","augmented","vvith"
"30","bale","lately","together","christi","high","gent","student","according"
"31","testament","description","gathered","temple","concerning","loue","last","good"
"32","reginæ","italian","sermons","corrected","persons","saint","historie","life"
"33","persons","third","concerning","officers","soule","short","lately","honorable"
"34","maior","france","pleasant","psalmes","pleasant","good","iesus","together"
"35","commanded","common","sermon","testament","english","life","seuen","gathered"
"36","flesh","famous","church","gracious","true","foure","acted","sermons"
"37","bread","gods","time","followeth","preacher","godly","sermon","concerning"
"38","van","taken","treatise","translations","sent","robert","reigne","times"
"39","restraint","corrected","generall","hard","annexed","together","direction","pleasant"
"40","cases","countries","preached","ireland","certaine","italian","daughter","annexed"
"41","quarter","richard","bookes","heretofore","sermon","annexed","newes","historie"
"42","table","doctor","vse","next","church","gods","officers","excellent"
"43","seruing","persons","new","morley","smith","treatise","1600","sermon"
"44","priuie","soule","maiestie","professor","since","doctor","hereunto","church"
"45","continued","statutes","order","newly","preached","soule","done","time"
"46","kept","manner","sundrie","whereunto","right","manner","taken","treatise"
