"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29"
"1","act","new","john","containing","rev","new","new","several","new","act","act","new","complete","england","act","act","act","containing","act","act","new","act","public","new","act","act","containing","new","act"
"2","majesty","containing","added","act","law","act","containing","account","containing","within","john","act","lord","english","parliament","john","john","complete","within","several","act","several","present","act","john","certain","act","containing","parliament"
"3","reign","act","history","john","parts","john","act","parliament","act","intituled","county","parliament","whole","act","england","several","parliament","public","reign","account","several","new","great","complete","parliament","reign","john","act","public"
"4","britain","john","public","several","court","several","john","england","john","therein","sermon","use","use","containing","great","account","history","history","county","parliament","parliament","parliament","london","law","england","town","several","john","lord"
"5","history","several","letter","account","time","parliament","several","history","several","better","preached","rev","general","complete","english","parliament","present","correct","majesty","added","added","present","state","offices","history","almanack","account","several","rev"
"6","certain","account","state","parliament","thomas","added","account","public","account","mentioned","christ","sermon","rev","present","royal","england","great","letter","certain","england","england","great","royal","rev","public","intituled","parliament","account","sermon"
"7","majestys","parliament","letters","added","together","england","parliament","present","parliament","certain","intituled","law","sermon","offices","variety","history","london","added","better","public","present","state","letters","register","present","therein","england","parliament","law"
"8","acts","added","act","england","britain","history","added","great","added","reign","certain","observations","william","remarks","acts","present","letter","revenue","therein","present","london","old","complete","correct","london","making","history","added","royal"
"9","great","england","rev","history","life","public","england","english","england","importation","rev","church","law","parliament","sir","great","state","plan","limited","london","english","performed","whole","parliament","english","majesty","great","england","letters"
"10","performed","history","sermon","present","city","great","history","state","history","granting","therein","present","preached","state","baronets","london","years","baronets","importation","english","gentleman","corrected","general","revenue","letter","importation","london","history","preached"
"11","intituled","public","william","great","every","london","public","royal","public","limited","importation","britain","church","different","religion","english","old","rev","christian","letter","lists","royal","rev","houses","state","majestys","english","public","church"
"12","therein","present","law","london","offices","english","present","letters","present","signor","james","state","parts","letters","laws","letter","performed","remarks","almanack","state","address","variety","sermon","manner","complete","limited","letter","present","court"
"13","theatre","great","preached","letter","right","letter","great","complete","great","psalms","granting","offices","collection","essay","reign","state","royal","state","session","royal","language","acts","william","list","general","amend","state","great","offices"
"14","county","london","celebrated","state","america","royal","london","lord","london","city","george","royal","court","correct","particular","letters","variety","royal","granting","complete","god","sir","law","view","rev","miss","royal","london","majestys"
