"","X1","X2","X3","X4","X5","X6"
"1","prognostication","king","preached","dutch","children","statutes"
"2","leape","proclamation","sermon","death","containing","vn"
"3","almanacke","realme","hieron","malcontent","indies","cases"
"4","meridian","whereas","crosse","flyer","minister","touts"
"5","rectified","angl","pauls","discipline","preacher","law"
"6","serue","parliament","surueying","past","summe","choses"
"7","neue","hybern","siuill","epitaph","scripture","magna"
"8","latitude","scotiæ","i.h","conuerted","word","charta"
"9","reigate","forasmuch","protestant","truely","christians","conteinus"
"10","viole","blank","reuerend","murther","admirall","chaucer"
"11","seruing","franc","diuinitie","newes","prayers","blundeuile"
"12","pole","weale","hall","merry","wife","ouesque"
"13","lute","publique","ios","wittie","duties","roy"
"14","musicke","followeth","world","handes","fa","table"
"15","generally","next","receiuing","saide","fought","lawes"
"16","calculated","wee","occupation","mirth","majestie","temps"
"17","phisicke","subiects","chaplaine","netherlandish","repentance","force"
"18","alleyn","enacted","authour","fraunce","spaine","nouiter"
"19","surrey","vntil","question","positions","times","facilment"
"20","south","pleasure","saluation","banquet","iohn","contenus"
"21","practitioner","defender","maxey","gentleman","manner","institutions"
"22","composed","officers","diuinity","ostend","discourse","henrici"
"23","statutes","⁰","eight","derry","acted","roigne"
"24","pond","holden","christian","sophy","plaine","dit"
"25","brittaine","xliij","word","learnedly","profitable","breefe"
"26","viols","gracious","desire","election","instruction","disagreement"
"27","meeter","reigne","cambridge","albertus","vses","fulbecke"
"28","tend","begun","popish","newly","chapman","apres"
"29","burials","regis","brittayne","hapned","nevves","ycel"
"30","artick","proroged","ioseph","forces","godlie","icy"
"31","sing","grace","largely","towne","french","leet"
"32","almanack","iacobi","saint","life","losse","impressi"
"33","practicioner","orders","liue","strange","verses","queux"
"34","new","counties","father","gentlemen","blacke","missæ"
"35","voices","testament","point","lodowik","ecclesiasticall","othoman"
"36","eleuation","scotland","foure","lloid","sinnes","theoriques"
"37","yarmouth","soueraigne","differences","pericles","ben","planets"
"38","ieffery","continued","otherwise","claudius","mans","secular"
"39","bretnor","reg","fellow","zealously","faithfull","coke"
"40","president","restraint","visitation","maisters","comfortable","ciuile"
"41","prognosticators","administration","loue","rules","william","matters"
"42","directly","almightie","benefit","conceites","chapter","plainely"
"43","1610","febr","fayth","want","patient","titles"
"44","corrupting","translations","directorie","bin","societie","statutis"
"45","astronomie","vvestminster","diocesse","mightie","dutche","antiquis"
"46","sternhold","infection","contayned","course","mdcii","recentibus"
"47","basse-viole","ireland","answere","ministers","gowries","animo"
"48","solace","greeke","maner","sonne","seruants","tenendis"
"49","lord","killing","hardening","cittie","spirituall","diligentia"
"50","dade","eating","policy","know","tragedie","emendata"
"51","numbers","xxxvij","sermons","supplication","authors","correcta"
"52","computation","suburbs","gods","prouidence","august","nonnulla"
"53","third","victuals","preaching","prouinces","rates","statuta"
"54","alone","almighty","manifested","foole","shippes","tipis"
"55","booke","highnesse","decads","voiage","nottingham","ædita"
"56","others","france","spayne","craige","wonders","ans"
"57","moreouer","seuenth","heavenly","vayne","sent","nouelment"
"58","rudston","put","popery","diuersitie","teaching","corrige"
"59","basse-viols","england","greater","broughton","wherevnto","troueres"
"60","euening","high","bishop","mucedorus","captaines","yceux"
"61","hopton","maiesties","bookes","valentia","age","auxy"
"62","amplified","conceiued","rome","amadine","declaration","compose"
"63","supputated","nuper","preacher","mouse","murther","ashe"
"64","norfolke","iesuitarum","practise","playing","path-way","charges"
"65","sussex","pontificiorum","esquire","edification","field","motions"
"66","sung","exempt","poore","mal-content","common-wealth","knolles"
"67","1607","lieutenants","amongst","legatine-arrian","errors","historical"
"68","withall","percy","libell-like","familist","ierusalem","travels"
"69","apart","prorogue","excellencies","canterburie","friends","inhabitation"
"70","articke","elizabethæ","going","dyed","dignitie","peopling"
"71","freedome","xxvij","new-yeeres","frost","ionson","governors"
"72","leero","dissolution","equiuocation","lotterie","relation","rulers"
"73","parts","almoner","erre","iests","whereunto","dardanus"
"74","report","prorogation","party","romanista","paules","lynche"
"75","collected","contentment","churchyard","libertinus","called","collection"
"76","1609","xxj","traytours","wonderful","sermons","inne"
"77","ballads","execution","salues","hapened","christian","iustices"
"78","nourishing","session","manurance","pernaw","true","digested"
"79","vngodly","liberties","tenements","atchiued","last","regis"
"80","chelmsford","within","i.n","assistance","royall","abridgement"
"81","gerrard","flesh","vengeance","ouerthrew","1602","adiecta"
"82","malynes","bene","peruerted","turkish","vvith","reportes"
"83","christnings","westminster","dodson","euphrates","honorable","deuant"
"84","chirurgery","vntill","digges","nimmegen","beene","thomam"
"85","auncient","faith","wrote","decease","plowing","repealed"
"86","play","care","barnerd","penniles","looking-glasse","expired"
"87","arte","vnlawfull","tenne","threed-bare","conscriptum","ordained"
"88","houses","following","vnthankfull","vvhereas","displayed","duetie"
"89","mathematickes","graine","couell","vnderstande","discerned","sherifes"
"90","leap","rites","fitting","nevell","interpreters","coroners"
"91","mathew","primo","electors","fair","timber","bailifes"
"92","kinges","duo","imploying","pouertie","virginea","customers"
"93","kindes","arraignments","oxoniensis","professoris","change","leets"
"94","city","speedy","iehouah","bush","philosophicall","editum"
"95","britaine","affaires","sixtus","pynace","nauigation","mandatum"
"96","apt","statute","infant","lamborne","departed","pulton"
"97","songs","apologia","papist","institution","sicke","brooke"
"98","psalmes","corporate","ordinary","deprived","nights","plees"
"99","petworth","vve","rochester","sufficiency","fruite","corone"
"100","mayor","starch","princes","sweden","gallants","principal"
