"","X1","X2","X3","X4","X5","X6"
"1","brief","byble","henry","ioanne","basille","johan"
"2","aduent","testament","yere","lelando","theodore","lowys"
"3","gospelles","englyshe","parlyament","antiquario","christen","letters"
"4","singuler","content","reygne","autore","old","chartuary"
"5","prestes","vse","holden","candidos","hye","obligacions"
"6","curates","scrypture","octaui","lectores","lately","quitaunces"
"7","namely","bysshop","daye","tou","new","paymente"
"8","parte","reuerende","westminster","iōannou","prepared","lysence"
"9","epistles","largest","session","bononia","great","supplication"
"10","termino","greatest","henrici","noui","ful","complaynts"
"11","sexti","workes","grace","ioannis","pleasaunt","saufconduyt"
"12","postil","cantorbury","irelande","fatum","ioyfull","abbreuyacyon"
"13","richard","apoynted","acte","bononiæ","sclaunderers","councellys"
"14","commoditie","nicolas","continued","morinorum","saynte","grecia"
"15","michaelis","bisshop","proclamation","ground","chrisostom","germania"
"16","easter","saye","kynge","artes","prouinge","italia"
"17","somer","erasmus","moste","worke","hurte","gallia"
"18","sermons","holy","eyght","arithmetike","submissyon","maire"
"19","smyth","accordynge","honour","moch","oneyll","belges"
"20","drawen","fathers","parliament","states","grenewych","hystoryograffer"
"21","learned","roterodame","kyng","easyer","september","french"
"22","good","iniunctions","englande","exacter","raygne","ann"
"23","imprimendum","sondayes","apryll","sorte","delyuered","1519"
"24","regis","appoynted","actes","hytherto","wrytyng","gowgh"
"25","tyll","auctorysed","lorde","partly","subscrybed","herof"
"26","tauerner","commaundemente","reigne","appeare","hande","priuilege"
"27","lowe","henrye","doctrine","recorde","fascyon","ensewynge"
"28","wynter","frequented","prorogation","expedicion","potacion","lumbarstrete"
"29","recognized","former","drad","hyghnys","drinkynge","stockys"
"30","regni","geuen","statutes","armye","lent","market"
"31","diuerse","behalfe","defender","conduit","comfortable","wryte"
"32","priuilegio","ouersene","concernynge","hertforde","penitent","bylles"
"33","cōmoditie","perused","kynges","kykneion","synners","sale"
"34","cokery","rochester","breuium","asma","defense","exchaunge"
"35","daies","tenour","fraunce","cygnea","charter","protections"
"36","trinitie","therinto","tricesimo","cantio","heuyn","certificat"
"37","bee","maister","hygh","naeniae","blys","prynter"
"38","sonday","yt","courte","mortem","standeth","dwellynge"
"39","forth","oure","god","thomæ","remission","dedycated"
"40","richardi","great","maiesty","viati","synnes","lytylton"
"41","christians","wyth","sayde","equitis","penytent","testamente"
"42","erra","people","court","incomparabilis","hertes","makynge"
"43","postyl","olde","fyrste","assertio","popysh","1539"
"44","praiers","newe","tertio","inclytissimi","collusyon","tenures"
"45","setforth","gathered","contynued","arturij","lyuyng","english"
"46","hand","latyn","erudition","britanniae","englyssh","wyll"
"47","compendiously","prologe","begon","hagiois","tong","lerne"
"48","recognised","father","february","chrysostomou","neither","gracyous"
"49","garden","churches","next","homiliai","addyng","domini"
"50","wytty","names","offycers","duo","dymynysshyng","agaynst"
"51","sayenges","churche","returna","ēuē","fro","indentures"
"52","persons","moost","urynes","prōton","turned","forme"
"53","gospels","euer","common","entypōtheisai","accostomed","generall"
"54","postyll","cuthbert","soueraygne","kai","save","kynge"
"55","cyrurgyens","duresme","present","pros","matrimonye","persons"
"56","sondaye","1539","realme","tēs","entend","copy"
"57","moone","new","helde","anglias","liue","imprynted"
"58","testamente","basille","iune","epiphanestaton","quietly","yeres"
"59","incipit","forth","establysshed","basileia","wedlock","excellent"
"60","annus","patentes","faith","henrikon","true","sayd"
"61","emendatus","gatherynge","faythe","ogdoon","godly","compyled"
"62","booke","dioses","auctoritie","rhōmaian","newly","maner"
"63","pasche","excestre","royall","glōssan","noble","necessary"
"64","necessarye","thacustomed","highnes","metagraphtheisai","moost","kyng"
"65","hen","dutye","commons","hypo","dauids","kynges"
"66","henrici","fabryke","assembled","khēkou","harpe","newly"
"67","christen","cathedrall","enacted","kantabrigieōs","armony","holden"
"68","newly","exoniensis","obserued","chrysostomi","strynged","god"
"69","jewe","texte","fees","homiliæ","theadore","lorde"
"70","borne","cronicle","kepte","duæ","pathway","henrici"
"71","jewery","phisycke","mayres","lucem","tidynges","henry"
"72","bodye","iesus","put","æditæ","victory","jewe"
"73","declareth","syrach","noble","sereniss","capitayne","borne"
"74","study","making","maiestie","latinæ","marcquis","jewery"
"75","borned","instrumentes","hen","factæ","delgasto","bodye"
"76","burned","commodyous","almyghty","â","frenchmen","declareth"
"77","west","pystels","begonne","cheko","captaynes","study"
"78","symyth","portiforium","victorious","cantabrigiensi","ouercome","borned"
"79","ageinst","vsum","die","gallo","destroyed","burned"
"80","glotony","impressum","high","mastix","valeant","west"
"81","dronkennes","hebrue","fyrst","lavdem","salerne","symyth"
"82","twoo","expert","soueraigne","felicissimi","another","ageinst"
"83","fruitfull","hys","eyghte","victoris","tidinges","glotony"
"84","desiryng","archbysshop","furthe","anglici","shewyng","dronkennes"
"85","stande","termes","westmynster","francici","barbarossa","twoo"
"86","comoditie","gentlemen","temporall","scottici","leuetenat","fruitfull"
"87","epitome","almanack","baron","hibernici","admiral","desiryng"
"88","winter","norwicensis","lete","novvum","army","stande"
"89","epi-stles","blank","souerayne","testamentum","galleyes","comoditie"
"90","postill","dioc","profytable","latinum","heare","epitome"
"91","low","housholde","kepe","antiquissima","yemooste","winter"
"92","fruitful","practysed","vnder","græcorum","cruell","epi-stles"
"93","catechisme","chronicle","concord","exemplaria","tyraunt","postill"
"94","epi-","pronostication","king","diligentissime","ouer","low"
"95","stles","ende","taken","castigatum","enemies","fruitful"
"96","new-","playnly","deuysed","latinam","publique","catechisme"
"97","ly","oute","begun","phrasim","yeares","epi-"
"98","byrch","exposicyon","prorogations","transfusum","gyfte","stles"
"99","phisike","chapitre","causes","idiotismi","precious","new-"
"100","borde","blode","modus","græci","embrased","ly"
