"","X1","X2","X3","X4","X5"
"1","termino","termino","queene","termino","god"
"2","henrici","god","maiestie","queene","set"
"3","seene","parliament","lady","regis","queene"
"4","iohn","yere","enacted","michaelis","queenes"
"5","thomas","englande","subiectes","regni","termino"
"6","allowed","queenes","realme","sexti","english"
"7","regis","michaelis","soueraigne","quarti","henrici"
"8","michaelis","westminster","holden","edwardi","yere"
"9","according","continued","parliament","foloweth","iohn"
"10","regni","raigne","weale","pasche","according"
"11","christian","according","grace","elizabeth","order"
"12","gathered","soueraigne","westminster","reginæ","englishe"
"13","true","holden","raigne","elizabethe","thomas"
"14","newly","moste","yere","lady","allowed"
"15","sexti","regni","fraunce","proclamation","realme"
"16","quarti","maiestie","proclamation","maiestie","fraunce"
"17","called","regis","fayth","queenes","parliament"
"18","order","sexti","elizabethe","fayth","seene"
"19","english","quarti","publique","raigne","regis"
"20","french","excellent","elizabeth","henrici","grace"
"21","holy","edwardi","irelande","dissolution","england"
"22","profitable","foloweth","continued","publique","forth"
"23","set","irelande","hygh","enacted","soueraigne"
"24","new","weale","dissolution","vntyll","holden"
"25","pasche","domini","vntyll","soueraigne","lorde"
"26","death","queene","common","gratious","certaine"
"27","1570","pasche","reginæ","vi","englande"
"28","christ","necessarie","agaynst","xiij","regni"
"29","prognostication","newe","die","priuilegio","maiestie"
"30","discourse","present","pleasure","begunne","booke"
"31","edwardi","treatise","foloweth","hygh","church"
"32","necessary","maner","honour","defendour","maiesties"
"33","minister","reginæ","begunne","secundo","london"
"34","noble","henrici","englande","kyng","michaelis"
"35","englished","order","defendour","ireland","westminster"
"36","preached","actes","prayers","pleasure","gathered"
"37","table","pleasure","defender","marie","french"
"38","sermon","lady","god","xiiij","lord"
"39","learned","foorth","queenes","testament","continued"
"40","moste","great","almightie","grace","raigne"
"41","octaui","realme","xiij","mary","true"
"42","pleasant","lorde","ende","prayer","called"
"43","almanacke","iniunctions","eyght","orders","good"
"44","diuinitie","octaui","vsque","copie","lady"
"45","life","briefe","sundry","continued","great"
"46","religion","certayne","noble","trinitatis","christian"
"47","annexed","learned","places","octauo","diuers"
"48","daye","profitable","rebellion","maiestatis","iniunctions"
"49","henry","entituled","kyng","regiæ","holy"
"50","time","statutes","geuen","kept","learned"
"51","maister","elizabethe","gratious","fraunce","common"
"52","vvith","imprinted","diem","next","profitable"
"53","gentleman","enacted","kynge","gods","moste"
"54","sent","king","parte","within","elizabeth"
"55","treatise","maister","viij","conquestum","new"
"56","collected","vvith","psalmes","mariæ","churche"
"57","lorde","hygh","seen","rates","newly"
"58","howe","dissolution","concernyng","almightie","enacted"
"59","wherin","frenche","canons","citie","king"
"60","godly","euery","almyghtie","almyghtie","sexti"
"61","onely","howe","apryll","sermon","quarti"
"62","beginning","1573","spayne","englande","fayth"
"63","lord","added","duke","last","euery"
"64","1571","1575","daye","past","subiectes"
"65","englishe","primo","persons","fyrst","excellent"
"66","whole","eyght","spirituall","subiectes","discourse"
"67","contained","sayde","specially","decimus","time"
"68","tongue","vntyll","highnesse","songes","ende"
"69","better","containing","lowe","vvestminster","ireland"
"70","sermons","time","moste","quene","edwardi"
"71","worthy","kept","beyng","effect","necessary"
"72","verse","august","ireland","brother","foloweth"
"73","arte","gratious","countrey","hands","irelande"
"74","student","contained","begun","lawes","weale"
"75","exposition","honour","flaunders","lowe","domini"
"76","past","perfect","maiestatis","read","sundry"
"77","forth","truely","regiæ","1574","pasche"
"78","right","begunne","folowyng","preached","death"
"79","briefe","iones","christi","philip","1570"
"80","bishop","comedie","new","put","christ"
"81","doctor","lotterie","princes","tyme","prognostication"
"82","drawen","dauid","actes","parliament","daye"
"83","conteyning","tres","bookes","certayne","henry"
"84","edward","prorogati","bathes","hyll","last"
"85","worke","tragicall","confession","eduardi","necessarie"
"86","bee","firste","profite","song","newe"
"87","workes","commons","conscience","catechismus","appointed"
"88","letter","reygne","confutation","tyrol","present"
"89","together","henrye","van","counties","treatise"
"90","bene","kepte","best","brabant","collected"
"91","pleasaunt","preseruation","papistes","millaine","godly"
"92","diuers","fulke","bull","dukes","maner"
"93","intituled","monstrous","ianuary","austria","reginæ"
"94","enterlude","summe","angli","spaine","princes"
"95","epistles","plagues","annum","hierusalem","1571"
"96","cambridge","ballad","mariæ","offices","actes"
"97","little","admonition","temporall","plague","father"
"98","vi","history","till","statute","lawes"
"99","robert","sorts","accessit","bible","publique"
"100","gospell","cantabrigiensis","intituled","matters","pleasure"
