"","X1","X2","X3","X4","X5"
"1","henrici","fabellæ","testament","richard","play"
"2","yere","scholijs","englyshe","smyth","beloued"
"3","holden","sapientum","right","gospelles","talys"
"4","parlyament","auctis","six","brief","mery"
"5","reygne","roberti","languages","aduent","iohan"
"6","termino","florentissima","jhon","singuler","mayster"
"7","kynge","academia","rome","curates","priuilegio"
"8","session","erasmi","byble","tauerner","new"
"9","kynges","puerorum","hye","namely","tenures"
"10","daye","aesopi","=","drawen","englysh"
"11","regis","phrygis","saye","prestes","olde"
"12","henry","vita","content","commoditie","set"
"13","reigne","maximo","learnynge","christians","louer"
"14","statutes","planude","linguarum","forth","brother"
"15","honour","desumpta","talen","lettre","roterdame"
"16","regni","interpretes","couerdale","fro","newe"
"17","grace","hadrianus","new","learned","forth"
"18","prorogation","barlandus","churches","epistles","preest"
"19","realme","gellius","latyn","newely","exposicyon"
"20","octaui","crinitus","epistle","master","chapitre"
"21","vi","antonius","lande","ghost","blode"
"22","soueraygne","campanus","sent","tyll","offyce"
"23","present","index","decrees","good","dialoge"
"24","moste","indicabit","almayne","diuerse","septembre"
"25","hen","addite","exposition","garden","enterlude"
"26","eyght","selecte","newe","wysdom","heywood"
"27","acte","florentini","copye","gather","players"
"28","continued","oratoris","patentes","pleasaunt","reyn"
"29","die","remors","gatherynge","flowres","dyaloge"
"30","westminster","conscyence","dioses","proper","gentylman"
"31","lorde","louers","excestre","wytty","myller"
"32","primo","catonis","thacustomed","quycke","lyttylton"
"33","defender","moralia","dutye","sayenges","diuersyte"
"34","statuta","interprete","fabryke","philosophers","chartuary"
"35","drad","ausonium","exoniensis","grekes","hundrede"
"36","god","recogniti","nat","postil","germen"
"37","howe","institutum","epistell","easter","interlude"
"38","apryll","hominis","texte","somer","order"
"39","concernynge","carmine","hebrue","cōmoditie","nature"
"40","irelande","walter","therinto","study","prester"
"41","actis","tryumphe","archbysshop","borned","pure"
"42","soueraigne","caleys","cantorbury","symyth","ghostly"
"43","dradde","bulleyn","vse","meditacions","court"
"44","michaelis","whitintoni","bible","winter","bokes"
"45","churche","distichon","teuthonice","epi-stles","chrysten"
"46","parliament","hexastichon","gallice","postill","lady"
"47","euery","erasmum","hispanice","low","goodly"
"48","weale","roterodamum","italice","fruitful","names"
"49","fraunce","lichfeldiensis","anglice","catechisme","syr"
"50","vnder","laureati","dilucidissimus","byrch","ryght"
"51","temporall","guystarde","dictionarius","phisike","betwene"
"52","auctoritie","scholiis","mirum","borde","famouse"
"53","next","oxoniensi","necessarius","paumflet","ioh"
"54","christe","quad","studiosis","g.c","bysshop"
"55","kepe","lyce","vocabulaer","prayenge","regali"
"56","courte","lucubrationes","sesterley","growe","named"
"57","englande","magistratibus","vocabulario","honest","forme"
"58","supreme","moche","scix","accorde","godly"
"59","vicesimo","lytell","languaies","flores","loue"
"60","edita","dialogi","vocabulista","sententiarum","knyght"
"61","fourme","otherwyse","sci","variis","courtes"
"62","prorogations","cryste","lingue","collecti","oute"
"63","sayde","laureate","vocabulary","scriptoribus","iustyce"
"64","assembled","bytwene","paul","flovvers","whych"
"65","enacted","christiani","duke","sencies","tullius"
"66","hillarii","mimi","myles","sundry","reade"
"67","edwardi","complaynt","vp","wryters","mannes"
"68","clerkes","poete","congregation","englished","chryst"
"69","deuoute","tonge","dutch","libello","answere"
"70","vsque","deuout","wyliam","male","1539"
"71","souerayne","necessarye","turner","connuenient","payne"
"72","actes","wyfe","espaignol","uersi","curate"
"73","boke","begynneth","prologe","principal","exercyse"
"74","heed","nominibus","psalmes","customes","great"
"75","lord","heteroclitis","treatise","vre","fyrste"
"76","christes","defectiua","englysh","togither","crede"
"77","iune","casu","reuerende","benefit","people"
"78","octavi","numero","scrypture","louing","lerne"
"79","proclamation","fors","holy","subiects","latyn"
"80","uppon","laterem","byshop","recognised","erasmus"
"81","modus","latere","cathedrall","cyrurgyons","eyghte"
"82","tenendi","paedologia","high","mountpyller","rede"
"83","curiam","petri","pestilence","came","takynge"
"84","nouembris","mosellani","italy","artificiall","vppon"
"85","commons","protegensis","1536","articulerly","wherin"
"86","maiestie","usum","medycynes","obstreperous","baron"
"87","copy","conscripta","expert","obgannynges","vertuous"
"88","obserued","aucta","see","w.g","doctour"
"89","offycers","pueriles","declaryng","euometyd","housholders"
"90","kepte","christophori","letter","vituperacion","dayly"
"91","westmynster","hegendorphini","scripture","trollynge","syon"
"92","ciuitate","lepidi","people","repercussed","ordynaunce"
"93","diem","æque","christen","redolent","begynnynge"
"94","tercii","docti","names","rotounde","trewe"
"95","xxiiii","iucundissimæ","excellent","rethorician","reader"
"96","lordes","bi","poore","annotacions","poete"
"97","act","guillielmus","roterodame","mellifluous","wyllyam"
"98","begonne","goudanus","dauid","misticall","done"
"99","victorious","roterodamus","seconde","mynterne","saint"
"100","vvherin","aulus","letters","marked","ymages"
