"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21"
"1","literature","horns","abrégé","heroic","mémoire","willows","adultery","logarithmic","charity-schools","frequented","lists","shopkeepers","bells","penalties","death","deliberation","act","disappointments","galic","balsam","cuts"
"2","politics","beast","lecriture","chambers","quil","cxxxvii","vision","logarithm","promoting","middle-temple","register","terrestrial","esteemed","committee","rev","coachmans","certain","successes","shaw","ordnance","embellished"
"3","history","plummer","sainte","list","mylord","wept","adul","amazones","educated","shenstone","court","lie","plays","tenia","departed","footmans","county","kiltearn","dialects","liverymen","interpolations"
"4","view","stationer","infant","elaborate","entre","wasted","ld","capes","parish-church","oliver","calendar","globe","theatre","subscription","sermon","superannuated","reign","ross-shire","celtic","bohemia","translators"
"5","f.r.s","rising-sun","ancienne","changes","depuis","desart","serpents","logarithms","mary-le-bow","village","gentlemans","coasting","consisting","sung","preached","warley","within","sides","extremes","capitally","editors"
"6","national","stationary","grecs","revenue","exposé","doleful","mademoiselle","delineating","society","goldsmith","city","dilworth","comedies","-the","god","haunts","therein","springs","usury","receipts","expunged"
"7","causes","spake","romains","kalendar","conduite","owls","deon","headlands","incorporated","miscellaneous","new","celestial","cibber","trespassers","christian","fraternity","majesty","murray","kiltearn","farrier","distinctly"
"8","read","fenchurch-street","supérieurs","correct","joly","dwell","determination","sherwins","meeting","occasions","addition","carriers","reay","huddlestone","believers","edification","intituled","robertson","ross-shire","sentence","complete"
"9","performed","profession","a.j","favourable","valier","dance","gs","walliss","yearly","inscribed","royal-exchange","ordinances","earls","difference","divine","shakespeare","better","newcastle","dispensation","housewifes","noted"
"10","observations","crowns","roustan","surveys","dinfantrie","captive","kgs","101000","preached","revised","navy","schoolmaster","dukes","tape","hembury","spoken","mentioned","evangelical","fanatical","gurious","vain"
"11","poem","dragon","catechisme","comptroller","quitté","regaind","loveliness","multipliers","christ-church","poems","ésakaristān","assistant","tragedies","morat","christ","month","granting","harry","libertine","trussed","clearly"
"12","palladium","revelations","demandes","epistle","venir","babylon","healthily","dellawar","sermon","gentleman","nahvı̄-yi","barges","wits","elisha","toplady","artist","limited","rise","voice","verjuice","accompt-book"
"13","addressed","cool","leglise","offices","offrir","hung","sweeter","meridional","christian","corrected","zabān-i","explication","vanbrugh","levi","wallin","pearce","regulating","rev","robertson","catchup","desk"
"14","original","lowest","quartier","enriched","majesté","harps","lovelier","sines","propagation","subjects","pārsı̄","coaches","colley","wynne","ministers","coalition","importation","impartial","a.m","collection-of-the-most","compendious"
"15","cure","luthers","préface","officers","contient","yea","e-l","suns","schools","various","tasnı̄f-i","goods","b-l","kill","broad","theatres-royal","amend","minister","loans","elixir","every"
"16","society","galations","dessein","public","maurepas","required","sapphick","pilot","stonhouse","poem","yūnus-i","problems","s-h","composed","gospel","characters","saint","discourses","commentaries","turlingtons","countries"
"17","natural","warehouses","dépens","pinchbeck","haye","midst","eel","maryland","markham","william","ūkstūrdı̄","quarter","f-x","theatre-royal","baptism","agriculture","allowing","political","evangelical","sticking","measuring"
"18","price","blasphemy","consistoire","bowless","auprès","ver","electrical","tangents","anniversary","shebear","army","sedgers","performed","spilsbury","gill","sonnets","majestys","progress","harry","plaster","journal"
"19","anticipation","arose","dite","gulf","yorck","isaiah","prolonging","falck","knowledge","admirality","companies","boats","retaliation","subject","john","detail","almanack","a.m","desertion","lip-salve","divisions"
"20","college","lamb","eglise","baronets","événements","creatures","adieu","altitudes","exhortation","opium","assurance","standard","s-","covent-garden","occasioned","joint","purposes","war","mutiny","yorkes-receipt","misses"
"21","colman","wholesale","redress","performance","arrivés","wild","exaltation","altitude","london","roebuck","improvements","solutions","sketches","game","ryland","shakespeares","paving","practical","punishing","brackens","easy"
"22","war","sells","ambiguily","america","lannée","mourning","noses","accuracy","welch","pulished","kitāb-i","stand","rowe","legislature","happy","course","lighting","subjects","scotch","tooth-ach","conjectures"
"23","burke","reasonable","misconstruction","election","leures","fatyrs","court","virginia","reverend","keith","dar","wapping","honorable","trios","worship","sixteen","exportation","james","analysis","warts","ladies"
"24","antiquities","nephew","rigour","military","résultats","1,2,3","counting","vessel","commonable","jago","wanting","passengers","cu-d","weeks","meeting-house","substance","duties","various","fatal","corns","daily"
"25","drawings","saw","insidious","administration","pzix","satyrs","regard","degree","scholars","vega","rates","stairs","gr-n","duets","jesus","approbation","parish","america","advantage","suffocated","concise"
"26","amendment","keep","custom-house-officers","complete","difficultés","heavenly","epistle","hudsons","michaelmas","lindsay","mortality","write","w-h","vernon","hitchin","fresh","preventing","history","support","feijoo","pocket"
"27","theatre-royal","attend","lamerique","colonels","survenues","away","desireable","newfoundland","decent","alness","annual","wharfs","k-l","indubitable","truman","commencing","thousand","several","correspondence","overan","kingdoms"
