"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17"
"1","statutes","lywodraeth","mechanics","club","chaplain","almanack","letter","act","bangor","ganesburgh","dunton","martis","quakers","whipping-tom","petiver","titus","immersion"
"2","cases","ufudd-dod","hydrostatics","arabian","dnum","sternhold","ministers","majesties","snapes","wherewith","mad","die","tender","rod","collectanea","andronicus","midwifery"
"3","laws","chariadoldeb","optics","addison","possessed","hopkins","exon","proclamation","benjamin","secrecy","nothing","⁰","whitehead","bundled","auctori","goths","arithmetic"
"4","courts","mewn","hawksbees","shire","anthems","ephemeris","considerd","passed","bishop","removed","neck","lewen","warning","feeling","communicata","ravishment","maubray"
"5","pleadings","adroddwyd","air-pump-glasses","sultaness","eusden","diary","peirce","repairing","ashley","sums","athenian","stracey","elementary","quick","forisque","lavinia","dipping"
"6","possessed","pawl","vream","containing","robin","metre","dissenters","gracious","reverend","skreen","high-church","annoq","holme","satyr","regia","empresss","sprinkling"
"7","law","yng","pneumatical","crusoe","seized","leap-year","case","mentioned","clarke","loans","duntons","garter","bellers","politicians","naturæ","valiant","psalms"
"8","seized","ngardd","experimental","shipwreck","right","di","occasiond","necklace","sykes","confiscated","oade","mayor","dread","follies","jacobo","fights","catholic"
"9","lands","myneich","physico-mechanical","told","scholæ","bissextile","paper","making","dry-drayton","complaining","loyal","forthwith","fury","knavery","societatis","lamentable","tribes"
"10","appeals","ddydd-gwyl","vitious","strangely","vicar","regio","salters-hall","better","jamess","manufactuures","save","lessons","break","merry","domi","hoods","floyer"
"11","chronological","dydd","factious","marry","inventory","rappresentarsi","remarks","duties","arthur","aiders","passing-bell","ordered","barcroft","proud","londini","scarlet","prophecy"
"12","precedents","cyntaf","precise","shires","june","reale","present","preventing","father","consederates","buried","georgii","salutation","cloaks","socio","foe","pendulum"
"13","inventory","fawrth","letcher","galland","johns","teatro","bill","effectual","hugh","reports","dutchies","trusty","baptism","voluntiers","papilionum","sons","eugenius"
"14","exact","oflaen","insiatiate","un-inhabited","chattels","psalms","poem","continuing","boulter","charged","pulpit-lunaticks","well-beloved","servant","c-ers","britanniĭcones","moor","version"
"15","tenements","anrhydeddus","rambling","perished","mangey","musica","pamphlet","parliament","leglise","south-sea","madding-day","merttins","labours","cynick","nomina","sword","prophecies"
"16","estate","wyr","comitted","disloyalty","collegii","vice","member","anodyne","lord","sub-governours","hazard","dorothea","doings","hoop-petticoats","butter-flies","licensd","psalmody"
