"","X1","X2","X3","X4"
"1","roberti","herbes","right","termino"
"2","vvhitintoni","maner","psalme","henrici"
"3","vryn","wyth","epistle","michaelis"
"4","signifye","waters","lerned","yere"
"5","vt","apparant","treatise","regis"
"6","florentissima","mesure","declaryng","regni"
"7","body","auicenna","saint","holden"
"8","bytwene","nat","excellent","statutes"
"9","verborum","profyte","forme","kynge"
"10","scholijs","cure","nat","vi"
"11","erasmo","gyueth","wysdome","thomas"
"12","distichon","knowlege","ar","present"
"13","oxoniensi","pardon","churches","moste"
"14","lyce","nr","rome","lorde"
"15","academia","aues","ymages","dyaloge"
"16","mediarum","similar","englyshe","parliament"
"17","syllabarum","cut","miserere","edwardi"
"18","treatyse","reversed","deus","breuium"
"19","nominum","xylogrpahic","fountayne","pasche"
"20","nominibus","vertuose","springe","henry"
"21","fabellæ","distyllacyon","swete","reigne"
"22","creature","fygures","consolations","iohan"
"23","auctis","styllatoryes","troubled","session"
"24","recogniti","thyrte","consciences","sexti"
"25","hexastichon","labour","rent","xxiiii"
"26","lichfeldiensis","connynge","despeyre","primo"
"27","laureati","phisyke","aduersite","realme"
"28","opusculum","iherom","trouble","hillarii"
"29","hystory","bruynswyke","ploughmans","olde"
"30","jest","duyche","bitwene","betwene"
"31","præceptoris","synguler","playntife","vicesimo"
"32","qualites","helpe","defendaunt","kynges"
"33","brefly","surgyens","wylliam","dyuers"
"34","scholæ","phisycyens","caluerley","hen"
"35","erasmi","pothecaryes","whyles","octaui"
"36","come","parfytely","towre","proclamation"
"37","know","dewe","loued","honour"
"38","worke","dystyll","four","prorogation"
"39","sekenesses","remedy","reuelations","daye"
"40","called","infirmytees","birget","parlyament"
"41","wyse","vnderstande","constitucyons","god"
"42","gyueth","better","prouynciall","new"
"43","begynneth","testefyeth","legantines","concernynge"
"44","dethe","canon","introductorie","churche"
"45","mannes","saynge","pronounce","honorable"
"46","otherwyse","medicynes","speake","sermon"
"47","cryste","vsed","high","statuta"
"48","grammatices","febleth","gracious","mayster"
"49","sapientum","aged","followeth","table"
"50","opus","weke","collyn","soueraygne"
"51","wherof","directory","clout","souerayne"
"52","lytell","conscience","spoken","natura"
"53","numero","tymorous","answerynge","sheweth"
"54","puerorum","ferfull","peticyon","good"
"55","christophori","impressyon","history","temporall"
"56","hegendorphini","instant","boccus","counsayle"
"57","aesopi","another","sydracke","englisshe"
"58","phrygis","devout","confoundyd","acte"
"59","vita","dyscrypcyon","syght","fyrste"
"60","maximo","meruaylles","dronke","peace"
"61","planude","scyences","stronge","dei"
"62","desumpta","gramayre","venym","soueraigne"
"63","interpretes","rethorike","name","weale"
"64","hadrianus","memorye","trinite","conquestum"
"65","barlandus","logyke","dyd","actis"
"66","gellius","geometrye","hurt","westmynster"
"67","crinitus","standarde","diuynyte","dradde"
"68","antonius","weyght","noe","xiiii"
"69","campanus","sholde","profycyes","returna"
"70","index","londe","aungell","tenures"
"71","indicabit","borde","answeris","carta"
"72","addite","tymber","questions","tercii"
"73","selecte","arsmetryke","natural","purgatorye"
"74","florentini","accountes","worldly","purgatory"
"75","oratoris","rekenynges","contayned","play"
"76","remors","cyfres","noumber","die"
"77","synfull","musyke","ccc.lxv","great"
"78","capystranus","astrnomye","caumpeden","boke"
"79","metrical","plesant","subuention","glasse"
"80","romance","commodytes","helping","domini"
"81","asked","yeres","deuysed","defender"
"82","sacrarum","full","cytie","courte"
"83","professoris","study","hypres","lordes"
"84","eximij","master","flaunders","assembled"
"85","exposicyons","translate","auctorised","auctoritie"
"86","popes","dysseases","approued","enacted"
"87","profytes","fourth","facultie","spirituall"
"88","louers","substance","diuinitie","uppon"
"89","humiliabit","maketh","dauid","quarto"
"90","calumniatorem","fathers","purely","cases"
"91","catonis","request","texte","modus"
"92","moralia","religyous","felyne","curiam"
"93","interprete","arte","hauynge","e.iiii"
"94","ausonium","compyled","brefely","law"
"95","mimi","profytable","thentente","places"
"96","institutum","crede","epistell","certayne"
"97","hominis","herball","christofer","corrected"
"98","carmine","parfyt","basyle","lawes"
"99","additis","vnderstandyng","forbedynge","newe"
"100","cura","prosperous","eatynge","iure"
