"","X1","X2","X3","X4","X5","X6","X7","X8"
"1","french","french","termino","maiestie","queene","queene","set","termino"
"2","set","loue","sir","queene","termino","termino","christian","booke"
"3","christian","death","verie","god","proclamation","past","booke","regis"
"4","booke","seene","englande","discourse","regis","regis","great","diuinitie"
"5","church","delight","bookes","seene","regni","parliament","maiesties","libri"
"6","great","people","treatise","gods","edwardi","france","right","di"
"7","maiesties","duke","regis","england","libri","king","sermon","edwardi"
"8","right","pleasant","worke","lord","michaelis","realme","treatise","downe"
"9","discourse","prognostication","parliament","true","elizabeth","proclamation","queenes","reigne"
"10","sermon","spanish","queenes","religion","quarti","di","england","prognostication"
"11","treatise","towne","god","declaration","henrici","sent","maiestie","perused"
"12","godly","executed","short","king","statutes","regni","preached","regni"
"13","queenes","right","proclamation","preacher","reigne","edwardi","lord","lately"
"14","england","christians","euerie","realme","armes","execution","certaine","psalmes"
"15","london","bee","plaine","citie","spanish","last","queene","michaelis"
"16","maiestie","notable","1586","termino","bible","death","profitable","gathered"
"17","preached","discourse","regni","church","reginæ","nouember","christ","queene"
"18","lord","king","articles","prince","testament","michaelis","king","quarti"
"19","certaine","1588","edwardi","englande","collected","maiesties","thomas","henrici"
"20","queene","historie","lawes","past","touching","1583","diuers","common"
"21","profitable","knight","principall","letters","almanacke","sir","briefe","proclamation"
"22","christ","sayd","read","whole","psalmes","comfort","time","statutes"
"23","king","gentleman","reigne","compiled","vntill","life","necessarie","sundry"
"24","thomas","vertues","prognostication","1588","greeke","quarti","gentleman","good"
"25","diuers","gentlemen","london","di","prognostication","henrici","allowed","holden"
"26","excellent","necessary","yere","regis","conteining","number","sundrie","reader"
"27","briefe","paris","ireland","report","grace","declaration","according","almanacke"
"28","time","rare","christian","parliament","peace","statutes","concerning","sermon"
"29","order","lord","treasons","allowed","townes","letter","together","ende"
"30","learned","practise","gent","sent","george","declaring","seene","office"
"31","necessarie","greene","betweene","elizabeth","sexti","court","vse","papists"
"32","gentleman","perfect","newlie","letter","languages","lamentable","gathered","preached"
"33","allowed","almanacke","michaelis","maye","doctor","lordes","called","epistle"
"34","sundrie","warres","large","ouerthrow","meridian","medicines","euery","godlie"
"35","according","frauncis","seruice","spaniards","die","rare","word","meditations"
"36","concerning","taken","queene","meanes","defender","vnder","last","accompanied"
"37","together","1590","examples","deuill","order","places","honorable","set"
"38","seene","adioyned","reginæ","estates","soule","gratious","added","diuers"
"39","vse","theyr","quarti","speciall","gratious","admonition","good","tending"
"40","gathered","happened","henrici","esquire","disposed","house","short","christe"
"41","gods","taking","testament","dauid","conteyning","martin","foorth","appertaining"
"42","called","declared","intituled","wordes","best","long","sir","prima"
"43","euery","sent","religion","sexti","newly","league","religion","authoritie"
"44","word","prince","profitable","vttered","ailgna","taken","vvherein","speciall"
"45","present","maister","elizabeth","tragicall","titles","vsed","holy","serue"
"46","last","children","statutes","rather","conferred","vvritten","declaration","sexti"
"47","honorable","onely","bunny","prouidence","session","latelie","touching","composed"
"48","added","a.m","r.p","discoursed","collection","greeke","verie","churche"
"49","good","cause","moste","glasse","elizabethæ","thinges","william","master"
"50","short","newes","authore","againe","shewing","breefe","sermons","allowed"
"51","foorth","kingdome","order","counsell","briefe","french","diuinitie","giuen"
"52","sir","george","1581","pretended","hand","duke","godlie","profitable"
"53","religion","repentance","supper","familiar","commentarie","reigne","preacher","lady"
"54","vvherein","wonderfull","tables","churches","point","apt","necessary","bunny"
"55","holy","saluation","court","togither","holie","continued","realme","r.p"
"56","declaration","noble","particular","writing","faithfully","inne","maister","authore"
"57","touching","brought","discipline","charles","declaration","seminarie","man","faith"
"58","verie","principles","quæ","according","translations","obedience","citie","william"
"59","william","romish","william","1581","golde","fortune","children","sermons"
"60","sermons","copie","notable","high","tertij","priuie","termino","meridian"
"61","diuinitie","gods","march","meridian","morall","diseases","forth","almightie"
"62","godlie","english","matters","friend","comprehending","vvherein","annexed","tunbridge"
"63","preacher","honorable","wherin","papistes","become","pleasant","spanish","weale"
"64","new","foorth","italian","worlde","proued","beene","faith","francisco"
"65","necessary","vvherein","right","place","head","townes","life","iohn"
"66","realme","age","example","victorie","liber","siluer","gentlemen","exposition"
"67","maister","1585","bible","die","generally","old","newly","within"
"68","man","called","deuided","tower","office","august","vvith","newly"
"69","citie","famous","exhortation","conteyned","ireland","prima","conteining","tables"
"70","children","read","beza","visitation","stubbes","copie","christians","vs"
"71","termino","betweene","mans","almightie","specially","prayer","common","fulke"
"72","forth","maye","christians","defender","summarie","lords","god","titles"
"73","annexed","ouerthrow","common","expressed","certeine","paris","sundry","session"
"74","spanish","spaniards","godlie","officers","angliæ","betweene","vnder","selues"
"75","faith","sonne","euery","knowne","verborum","1588","persons","knowe"
"76","life","profession","almanacke","conteined","dei","ouerthrow","downe","psalme"
"77","gentlemen","london","bishop","dutch","auctore","sonne","whereunto","another"
"78","minister","true","catechisme","trueth","translation","valiant","death","training"
"79","newly","manner","practised","weale","gentilis","wordes","englande","preacher"
"80","vvith","vvith","phillip","francisco","maner","sexti","places","conteining"
"81","conteining","contayning","subiects","professoris","places","prouidence","france","maiesties"
"82","christians","examples","named","doctrine","publique","counsell","containing","iniunctions"
"83","common","found","contayning","prayer","continued","body","famous","orders"
"84","prince","meridian","excellent","iesus","inne","concerning","knight","bible"
"85","sundry","edmund","realme","kings","partes","treasons","past","execution"
"86","vnder","friend","greeke","ailgna","scripture","table","read","foure"
"87","collected","sonnes","generally","presented","corrected","die","lately","exercise"
"88","seuerall","time","breefe","ballad","third","almightie","taken","saied"
"89","persons","nowe","effect","frenche","soueraigne","force","robert","saide"
"90","downe","shewing","sometime","authour","tongue","ouer","bookes","ianuarie"
"91","whereunto","knowledge","pacification","apologie","raigne","knowne","people","translations"
"92","death","worthy","containing","pars","conuersation","dutch","noble","tertij"
"93","englande","arte","holden","golden","deuils","weale","others","daungerous"
"94","places","phisicke","honorable","ordinarie","deuised","professoris","letters","summe"
"95","france","shewed","countrie","confession","enacted","within","fraunce","become"
"96","containing","bunny","vvilliam","ladie","pasche","iune","pleasant","rogers"
"97","famous","r.p","verse","borne","paschæ","sea","gent","vse"
"98","knight","ailgna","continued","countreyes","hillarii","earle","loue","godly"
"99","past","regarded","inne","fulke","consent","presented","whole","newe"
"100","read","perfection","entituled","acte","autore","ballad","betweene","worde"
