"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20"
"1","lesly","love","proclamation","goodlove","hale","borough","almanack","patrick","emertons","royal-exchange","fisher","straw-hives","instant","sonnatas","jerusalems","æuropean","præparantur","indulgences","bench-bar","receipts"
"2","attornies","r.p","majesties","layed","contemplations","dictionary","leap-year","barrow","managers","new-gate","sepulchral","bank","whipt","viollins","unbelief","mac","venalia","unmaskʿd","hunts","salve"
"3","abrahams","pleasant","diligently","painter","moral","tongue","bissextile","ordinary","delegates","dulness","intombed","hazard","transported","organ","faded","flecknoe","prostant","retaining","ill-court-favourite","library"
"4","sorcerer","lovers","translations","informer","brasse","church","creation","tillotson","sheriffs","divested","grandchild","fund","proceedings","harpsecord","coltons-field","absalom","medicamentorum","jestures","unhappiness","hovell"
"5","dives","new","act","hodge","matthew","history","calculated","chaplain","depending","fore-head","publick-spirited","accept","sessions-house","composer","renownd","hood","londinensium","24,25,26,27","cursd","bealy-colledge"
"6","metaphrazed","kind","tongues","practises","dno","whether","meridian","preached","ansvvers","westminster-hall-gate","freke","m.l","execution","chappell","legrand","genlteman","aulâ","accomplishing","sercumstances","pen-knife"
"7","wittering","song","king","lewd","archi-episc","white","royal","symon","plato","ald","compleatly","bee","account","purcell","epicurus","robinn","pharmacopœorum","denouncd","dubling","victualler"
"8","northampshier","young","revised","freeman","reverendissimo","curiosities","theatre","peterburgh","briefly","hang-man","tombes","transparent","tryals","basse","gale","doteing","exacta","rect","g.h","bednal-green"
"9","sodoms","robin","command","heraclitus","box","rome","preached","trinity","electing","charing","neale","boxes","confession","organist","gloucester-shire","true-blew-protestant","spagyricorum","cardiffe","indigested","throug"
"10","sacrificing","maid","compared","vvith","ley","pictures","sermon","sermon","stated","coud","patriot","rusden","narrative","royall","theophilus","achitophel","aulam","unlocked","approachin","bigg"
"11","beginnings","fair","bible","open","gilberto","enlarged","eclipses","goodman","unfolded","mould","inscriptions","bee-master","burnt","composed","philosopher","allin","pharmaceuticæ","galatia","succesion","foulks"
"12","advances","hood","testament","character","ferry-hill","miege","highness","dean","distemper","britannica","sheet","matrons","old-bayly","sacred","cooke","dale","approbatione","compostella","brandenburg","incensed"
"13","pewsey","delight","whereas","advice","domesticis","doctrine","acted","quakerism","legal","discust","monuments","humphryes","tyburn","henry","composd","pittying","nicolai","ancangelo","rectifying","standeth"
"14","pw","merry","former","poem","roy","modern","moon","isaac","endeavour","dissipated","sister","bees","burnd","ordinary","vertues","acknowledgement","staphorst","tortello","chosen","marter"
"15","epilogues","lamentation","newly","dialogue","brook","england","sensible","college","character","awarded","major","proposals","true","parts","tears","took","oper","apparently","mischievous","civilly"
"16","duffett","loves","parliament","friend","domino","neville","worlds","græcismis","successor","imaginary","antiquities","colonies","prisoners","majesty","divine","satyr","dict","basis","exclusion","ravishing"
"17","watson","maidens","gracious","metaphrazed","pretentions","admirable","serve","difficultate","discover","pillory","sir","continual","truth","metaphrazed","print","muse","societatis","mammon","massacring","maiden-child"
"18","executrices","maids","apprehending","wittering","lucians","pauls","wales","period","ensuing","stand","visible","accrue","tryal","wittering","ruine","admired","pharmacopoeorum","fopperies","howard","pulld"
"19","administratrices","heart","original","northampshier","antonius","apothecaries","southing","gallen","politick","wear","memorable","improvements","hand","northampshier","ground","robin","consilio","sidway","mistakes","divel"
"20","pollicies","wife","defender","sodoms","alderly","method","rising","bates","redivivus","dethrone","rendred","kirkby","notorious","sodoms","pleasure","princely","exhibitum","antick","beheaded","throwd"
