"","X1","X2","X3","X4","X5","X6"
"1","proclamation","statutes","prognostication","acted","sweden","gore"
"2","king","touts","meridian","gent","numb","vvay"
"3","translations","ouesque","almanacke","house","continuation","wenden-lofts"
"4","diligently","references","bissextile","vvritten","avisoes","vvas"
"5","compared","cases","leape","applause","taking","understanding"
"6","testament","reports","calculated","presented","duke","preacher"
"7","tongues","margent","britaine","tragedy","since","lathocker"
"8","former","entries","serue","yn","army","morall"
"9","commandement","registers","pole","comedy","particulars","weemse"
"10","bible","treated","lord","servants","forraine","glory"
"11","maiesties","residue","almanack","mary","imperialists","rector"
"12","speciall","expired","latitude","shirley","amongst","supper"
"13","newly","repealed","god","parishes","passages","difficult"
"14","appointed","fardinando","great","heyvvood","weekely","expositions"
"15","reuised","pulton","longitude","drury-lane","present","cambridge"
"16","originall","materiall","serve","historicall","forces","house"
"17","old","abridgement","generally","nations","continvation","preston"
"18","read","altered","allestree","nabbes","tilly","colledge"
"19","holy","expressing","creation","seuerall","conteining","writers"
"20","revised","branches","degrees","diuine","curranto","emanuel"
"21","churches","sessions","referred","drury","following","gospell"
"22","nevv","common-wealth","sofford","learning","swedish","elegant"
"23","prohibiting","titles","perkins","kingdomes","bohemia","chaplaine"
"24","prizing","hereunto","1631","fire","proceeding","distinctions"
"25","importation","collection","third","rested","betwixt","cleared"
"26","abuses","worn","1637","sealed","norimberg","dom"
"27","tobacco","concern","1633","malta","given","stoughton"
"28","original","kalender","leape-yeere","anatomie","silesia","kindnesse"
"29","containing","frequent","computation","initiation","pappenheym","exercitations"
"30","commanding","cest","ancient","blaxton","newes","private"
"31","vvines","conteinus","artick","osmington","b.d","divine"
"32","majesties","longe","white","dorcet-shire","emperour","representing"
"33","commandment","quinto","especially","ar","swedens","interpreter"
"34","olde","edwardi","citie","renowned","maestricht","robbin"
"35","euill","quarti","articke","memory","bavaria","plants"
"36","making","nouelment","honourable","mighty","saxon","depend"
"37","administration","imprimée","woodhouse","lane","saxony","schoolemen"
"38","restraine","corrigée","1640","martiall","imperiall","desire"
"39","new","addes","vaux","contayned","matters","tragedy"
"40","ordering","chescun","london","root","something","iohn"
"41","subiects","cited","dade","neer","confirmation","sundry"
"42","declaring","alphabeticaly","city","earthquake","states","questions"
"43","restrain","vn","1632","high","franckford","moderne"
"44","manufactures","liures","1639","private","moment","vulgarly"
"45","preuention","darreine","psalmes","power","defeat","tithes"
"46","execution","tresreuerend","new","yong","preparation","vvell-doing"
"47","restraint","iudge","neue","heywood","townes","fidei"
"48","within","coke","horizon","severall","italy","pithily"
"49","aswell","cheualier","deg","curranto","germanie","treasurers"
"50","healing","iadis","sublimity","articles","armies","mercators"
"51","appointing","banke","brittaine","iames","successe","atlas"
"52","restraining","yceux","neve","live","orange","cosmographicall"
"53","preuenting","conteynus","covenant","expressed","low","fabricke"
"54","ninth","puissont","minutes","princes","hessen","hondy"
"55","better","facillement","1636","hollander","ditto","generosus"
"56","realme","estre","sternhold","land","weekly","oxoniæ"
"57","trade","troues","hopkins","enquired","holland","mayd"
"58","transportation","deux","brethren","manner","august","epistles"
"59","shee","catalogues","leape-yeare","history","century","already"
"60","commission","lun","notes","castles","overthrow","positions"
"61","command","principal","langley","opinion","victory","ceremoniall"
"62","resort","lauter","durham","noble","commanders","iudiciall"
"63","corporation","naturallement","properly","quality","besides","law"
"64","thorowout","surdant","rectified","hundred","horne","iames"
"65","butter","hors","forraigne","vvas","mentz","shirly"
"66","inhibiting","dits","serving","holland","ayde","sermons"
"67","selling","ashe","philomath","profitable","walsteyn","instrument"
"68","disease","grais","parts","beene","ovr","diverse"
"69","due","leet","leap-yeere","delightfull","boores","sometime"
"70","wearing","thos","sensible","tragedie","whereupon","languages"
"71","easter","concerne","errour","exercise","french","scriptures"
"72","departed","books","1634","rarities","proceedings","divers"
"73","line","table","whole","roberts","spaine","treatises"
"74","northern","use","seruing","miraculous","remarkable","exposition"
"75","wines","general","demands","peculiar","february","iewes"
"76","putting","lavves","pearson","corporations","october","industry"
"77","england","resolutions","professors","presentment","generall","presented"
"78","reforming","lincolnes","worlds","tuesday","orleans","lively"
"79","forrain","notes","indifferently","fifty","marquis","explanation"
"80","clothes","iustices","mathematicks","signes","arch-dutchesse","mundi"
"81","starre-chamber","practice","mounted","authority","moneth","studious"
"82","newlie","doderidge","leap","queenes","weeke","vvenden-lofts"
"83","forbidding","bench","monarchie","found","aprill","belong"
"84","soape","abstracted","elevation","variety","rome","demonstrated"
"85","priuie","inferiour","penned","comedie","troubles","greeke"
"86","stafford-shire","alphabetical","practised","reflecting","list","h.c"
"87","engrauen","inne","meeter","i.w","goodvvin","excellencie"
"88","ditty","vse","well-willer","fact","gustavus","divinity"
"89","maiestie","persons","behold","posterity","germany","worthy"
"90","ouer","esquire","bowker","poemata","siege","edition"
"91","kings","book","wheate","charitable","side","spirituall"
"92","dominions","annexed","foresaid","selectorum","iuly","lane"
"93","licence","jurisdiction","famous","paradise","magdenburgh","servants"
"94","vsed","practizer","1635","combats","commaunders","crosse"
"95","trent","ore","mathematickes","nobilitie","twixt","drury"
"96","province","rights","error","aiax","hurt","sometimes"
"97","decree","woemen","almost","achilles","duties","oxford"
"98","conteyning","lavvyer","southerne","expence","saints","godly"
"99","infected","brooke","sorts","laborious","letter","dictionarie"
"100","proportion","justice","iohn","pageants","november","mans"
