"","X1","X2","X3"
"1","interlude","philippus","lorde"
"2","straunge","mulart","regis"
"3","yf","decretorum","regni"
"4","wyl","doctor","god"
"5","conteyne","sacri","libellus"
"6","hour","apostolici","nominibus"
"7","matrimony","spiritus","achademia"
"8","mayster","hospitalis","hillarii"
"9","matter","frater","reygne"
"10","parte","people","prothouatis"
"11","mery","ther","maner"
"12","dyuers","porche","howe"
"13","magnificence","cathedrall","statuta"
"14","goodly","hareforde","holden"
"15","deuysed","trewe","statutes"
"16","skelton","encountre","boke"
"17","poete","batayle","theyr"
"18","laureate","lately","kynges"
"19","deceasyd","scotlande","heteroclitis"
"20","life","ballade","ordinis"
"21","new","scottysshe","ciuitate"
"22","iuterlude","doctrynall","grace"
"23","nature","symple","fraunce"
"24","element","commaundementes","royalme"
"25","declarynge","sacrementes","enacted"
"26","proper","medytacyons","ordynaunces"
"27","poynt","playnely","presentes"
"28","phylosophy","sheweth","termino"
"29","landys","booke","daye"
"30","effects","hereafter","editio"
"31","causis","ensue","lucubrationes"
"32","hole","betwene","nominum"
"33","playd","treateth","lyfe"
"34","space","table","tertii"
"35","halfe","saxia","quadragesimo"
"36","lyst","pylgrymage","christifidelibus"
"37","leue","man","conquest"
"38","muche","sancti","irlande"
"39","sad","knowen","westmester"
"40","messengers","vrbe","profyte"
"41","experyens","romana","assent"
"42","depend","foloweth","lordes"
"43","conuenyently","good","temporall"
"44","wyll","dyuers","assembled"
"45","paste","whiche","ordeyned"
"46","quarters","cristen","viij"
"47","length","englande","tenir"
"48","linacri","churche","michaelis"
"49","progymnasmata","folowynge","begynneth"
"50","social","kynge","anglie"
"51","benefits","regis","london"
"52","dec","lorde","souerayne"
"53","1518","magnificence","moost"
"54","identifying","goodly","called"
"55","wyllyam","deuysed","soule"
"56","skeuigton","skelton","quantitate"
"57","beynge","poete","saynt"
"58","master","laureate","indulgence"
"59","caualari","deceasyd","graunted"
"60","bethleem","life","opusculum"
"61","commendations","new","verborum"
"62","impedimente","iuterlude","whitintoni"
"63","thynged","nature","letters"
"64","curates","element","iesu"
"65","bounde","declarynge","uniuersis"
"66","declare","proper","singulis"
"67","oftentymes","poynt","domini"
"68","parishens","phylosophy","moste"
"69","emprented","landys","honoure"
"70","instaunce","effects","commons"
"71","polydore","causis","fourme"
"72","vergil","hole","roberti"
"73","arche","playd","sayd"
"74","deaken","space","pardon"
"75","welles","halfe","commento"
"76","verse","lyst","syllabarum"
"77","naturall","leue","fratrum"
"78","mater","muche","iherusalem"
"79","specifying","sad","pars"
"80","dated","messengers","great"
"81","sir","experyens","father"
"82","iohannes","depend","pope"
"83","fratres","conuenyently","leo"
"84","graunde","wyll","prima"
"85","abridgement","paste","compyled"
"86","whyche","quarters","vitam"
"87","lawe","length","englysshe"
"88","vulgaria","linacri","syr"
"89","thre","progymnasmata","dei"
"90","letter","social","rome"
"91","confraternity","benefits","septimo"
"92","custos","dec","sexti"
"93","domus","1518","kyng"
"94","beate","identifying","auctoryte"
"95","whiche","wyllyam","peruenerint"
"96","knyght","skeuigton","m.d.xx"
"97","magister","beynge","holy"
"98","hospitalis","master","oure"
"99","thomas","caualari","patentes"
"100","spirituall","bethleem","assygned"
