"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12"
"1","discourse","fraunce","iohn","god","sermons","set","god","queene","queene","holden","queene","great"
"2","iohn","england","god","iohn","weale","queene","iohn","termino","god","queene","england","parliament"
"3","termino","excellent","treatise","queene","briefe","christian","english","lady","queenes","parliament","grace","henrici"
"4","tongue","according","forth","christian","howe","profitable","set","elizabeth","fraunce","westminster","holden","english"
"5","according","necessary","holden","profitable","comfortable","queenes","queene","foloweth","holden","realme","realme","termino"
"6","maister","order","parliament","booke","citie","learned","christian","publique","moste","christian","parliament","continued"
"7","seene","diuers","christ","queenes","princes","discourse","profitable","fayth","englande","enacted","maiestie","regis"
"8","learned","church","booke","gathered","greeke","gathered","booke","quarti","maiesties","knight","henrici","raigne"
"9","howe","seene","french","fraunce","booke","fraunce","queenes","elizabethe","realme","reginæ","lady","french"
"10","english","thomas","henrici","englishe","frenche","england","french","regni","parliament","weale","westminster","fayth"
"11","englishe","great","westminster","england","regni","excellent","learned","edwardi","soueraigne","continued","termino","sermon"
"12","pleasant","allowed","king","excellent","1571","according","discourse","booke","lord","maiestie","elizabeth","soueraigne"
"13","bee","treatise","termino","according","arte","necessary","gathered","englande","maiestie","libri","yere","queene"
"14","minister","common","certaine","necessary","iniunctions","order","fraunce","regis","henrici","publique","continued","preached"
"15","set","grace","bookes","order","wherin","diuers","englishe","pleasure","lady","princes","regis","statutes"
"16","moste","holden","fraunce","church","worthy","church","england","michaelis","westminster","raigne","ireland","added"
"17","profitable","godly","englishe","seene","foloweth","seene","excellent","queenes","booke","soueraigne","forth","enacted"
"18","briefe","collected","continued","true","daye","true","according","notes","termino","fayth","pleasant","holden"
"19","famous","time","places","thomas","epistle","thomas","necessary","sexti","elizabeth","learned","others","weale"
"20","thomas","moste","church","great","famous","great","order","pasche","euery","people","statutes","fraunce"
"21","knight","englande","set","allowed","reginæ","allowed","diuers","effect","yere","grace","collected","realme"
"22","comfortable","realme","regis","right","description","right","church","enacted","continued","mans","enacted","william"
