"","X1","X2","X3","X4","X5","X6"
"1","proclamation","proclamation","proclamation","proclamation","king","word"
"2","prognostication","prognostication","god","king","god","gods"
"3","almanacke","almanacke","word","forces","great","preacher"
"4","serue","meridian","preached","charles","new","count"
"5","meridian","calculated","sermons","concerning","preached","true"
"6","calculated","king","preacher","maiesties","word","duke"
"7","lord","serue","almanacke","high","iohn","newes"
"8","maiesties","bissextile","christ","diligently","sermon","minister"
"9","new","realme","prognostication","reuised","true","iohn"
"10","bissextile","new","minister","come","lord","sermons"
"11","leape","leape","meridian","maiestie","last","relation"
"12","leape-yeare","testament","sermon","count","gods","christian"
"13","latitude","queene","bishop","gabor","london","prognostication"
"14","pole","leape-yeare","faith","affaires","together","numb"
"15","realme","latitude","commandement","bohemia","church","french"
"16","compared","pole","doctor","compared","preacher","death"
"17","virginia","translations","maiestie","translations","english","last"
"18","generally","britaine","serue","speciall","maiesties","forces"
"19","1625","lord","bissextile","souldiers","containing","together"
"20","diligently","compared","gods","emperour","diuers","gabor"
"21","composed","whereas","romish","appointed","present","proceedings"
"22","brittaine","south","churches","last","prince","bethlem"
"23","translations","within","leape-yeare","brunswicke","duke","mansfield"
"24","within","almanack","former","past","newes","particulars"
"25","citie","restraint","parts","newes","christian","nevves"
"26","reuised","diligently","reuised","taylor","france","states"
"27","newly","grace","compared","number","count","serue"
"28","nundinis","white","translations","relation","good","seuerall"
"29","england","according","1619","testament","seuerall","emperour"
"30","degrees","statutes","testament","diuers","french","meridian"
"31","almanack","referred","calculated","restraint","death","betweene"
"32","restraint","maiesties","holy","bethelem","minister","almanacke"
"33","whereas","vienna","seruant","queenes","concerning","preparations"
"34","london","gataker","diuinity","highnesse","proclamation","palatinate"
"35","city","neue","essex","sacred","england","comfort"
"36","tongues","browne","saint","worthy","relation","1623"
"37","commandement","pleasure","realme","palatinate","certaine","towne"
"38","statutes","originall","lord","proceedings","parts","since"
"39","referred","reuised","meditations","touching","thomas","calculated"
"40","testament","ranger","learned","rome","sermons","christians"
"41","set","gilden","latitude","queene","generall","english"
"42","neue","woodhouse","diligently","vvith","christ","preached"
"43","browne","ireland","pastor","commandement","set","taking"
"44","behold","citie","epistle","acted","kings","relating"
"45","ranger","queenes","diuinitie","spaniards","william","monsieur"
"46","gilden","defender","master","duke","betweene","strange"
"47","faire","commandement","maiesties","mansfield","diuinitie","betwixt"
"48","sauiour","aswell","originall","countries","vse","countries"
"49","westminster","speciall","1622","court","time","deliuered"
"50","citty","london","bible","saxony","right","bohemia"
"51","1620","plague","iesus","hollanders","treatise","estate"
"52","smith","nundinis","faithfull","turke","places","pleasant"
"53","creation","bible","whereas","sir","maiestie","added"
"54","maiestie","tables","rich","vienna","prognostication","generall"
"55","god","duties","chapter","nouember","lately","life"
"56","south","honorable","newly","spaine","numb","third"
"57","seruing","rotherhith","divers","prince","life","pastor"
"58","queene","1625","vvherein","old","faith","forth"
"59","bible","1616","famous","breda","according","princes"
"60","flesh","note","historie","emperor","1622","generally"
"61","neuer","brittaine","paul","lords","doctor","diuers"
"62","sorts","former","south","verse","letters","whereunto"
"63","infected","articke","nundinis","thence","holy","sermon"
"64","articke","notes","whereunto","going","forces","whole"
"65","denison","computation","dayes","merry","former","italy"
"66","computation","1624","third","parliament","gabor","church"
"67","dom","mathematickes","garden","diuerse","emperour","mansfields"
"68","notes","worlds","charge","kings","proceedings","doctrine"
"69","iohn","generally","peter","seruants","religion","present"
"70","better","1621","workes","meeting","bethlem","orange"
"71","horizon","subiects","pole","pleasant","mansfield","brunswicke"
"72","noui","tongues","prayers","betweene","shewing","exposition"
"73","designatio","horizon","computation","truth","almanacke","world"
"74","1618","franciæ","songs","prohibiting","rome","pauls"
"75","properly","latter","sundry","yeares","bohemia","loue"
"76","collection","bethelem","mans","called","added","particular"
"77","physicke","properly","white","france","master","continuation"
"78","ireland","dancre","restraint","bethlem","particulars","worthy"
"79","dade","infection","properly","happy","princes","godly"
"80","leap","orders","spirituall","september","man","emperours"
"81","prodierunt","regis","described","prouinces","nevves","bissextile"
"82","auctiores","state","gospell","granted","states","dutch"
"83","emendatiores","dade","whole","lately","newly","composed"
"84","librorum","leap","directions","excellent","within","gent"
"85","vernalibus","hiberniæ","needfull","saint","famous","manner"
"86","francofurtensibus","humble","citie","reigne","whole","reformed"
"87","forraigne","redemption","queenes","prague","honourable","holland"
"88","specially","granted","1618","command","saint","briefe"
"89","merchants","councell","statutes","strange","serue","discourse"
"90","iames","concerning","referred","low-countries","1623","likewise"
"91","speciall","chariot","course","loue","towne","copie"
"92","noble","rectified","flesh","christendome","since","sent"
"93","councell","great","fourth","fathers","booke","1622"
"94","supper","citty","paris","mysterie","times","man"
"95","chariot","priuate","fellow","denmarke","kingdome","state"
"96","eating","england","1617","passages","citie","especially"
"97","apt","germany","william","warre","briefe","famous"
"98","psalmes","seale","subiects","sunday","vvith","william"
"99","hauing","allestree","sauiour","low","meridian","prince"
"100","1619","longitude","answere","neere","excellent","vp"
