"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17"
"1","linnen","pocket-library","act","soho","honourable","almanack","gospel","hood","midwifes","clare","hayward","di","song","courts","criminals","metropolitical","plank"
"2","save","kainophilus","proclamation","dremelius","servants","leap-year","minister","ballad","charleville","warner","undeniably","principessa","calld","quakers","tyburn","halley","damageable"
"3","shower","rambler","granting","murtherd","fellow","bissextile","yn","love","vermiculars","sister","undone","organist","playhouse","wake","speeches","york","stuff"
"4","deseases","top-knots","duties","shot","acted","rising","justification","called","valleys","embraceing","shed","j.s","allowance","fees","dying","cuthberts","unnecessary"
"5","coleman-street","cradle","whereas","drawer","preachd","meridian","christ","enterd","ceased","quiting","gates","albert","hark","jeremy","executed","peter","altogether"
"6","cure","intermixt","parliament","inquest","chaplain","calculated","keach","robin","amazing","gravling","sinners","durer","excellent","white","behaviour","novemb","milld-lead-sheathing"
"7","lucas","round","majesties","murther","auction","eclipses","burgess","pleasant","worms","sister-in-law","courtship","crofts","marry","divan","confession","cathedral","boards"
"8","sorts","parable","diligently","committed","ordinary","creation","beverley","people","begging","vvarner","agony","spinett","farwell","arabick","wednesday","sunday","paying"
"9","stephens","contains","continuing","newgate","sold","setting","sermons","acted","whitneys","parham","aluas","music-prize","scowering","bugg","friday","1695","experience"
"10","fowl","wits","twentieth","watch","white-hall","planets","reformation","testimony","prodigious","catholic","caiaphas","parte","shipboard","cat","confessions","george","provd"
"11","bones","universities","payment","eliz","majestys","aspects","concerning","theatre","hills","s.j","scourged","sonate","dishonorably","undiscoverd","last","preached","bringing"
"12","ray","rare","majesty","remonstrance","novels","moon","pastor","fair","boys","catholick","scorned","violone","fox-hall","spy","true","church","charge"
"13","plentifully","adventures","gracious","procuerer","tragedy","authority","baxter","lamentable","dreadful","rigorous","spitefully","cimbalo","new","snake","condemned","sermon","plainly"
"14","fish","divided","carrying","substitutes","bullord","conjunctions","sermon","daughter","dunstan","nephew","reviled","altezza","entirely","todington","account","rector","reason"
"15","ink","discoveries","preventing","impieties","cathedral-church","suns","discourse","song","lilli-bolero","mental","pardoning","serenissima","chains","constantinople","instant","m.a","ashmoliana"
"16","brew","15th","certain","joyce","charles","sun","ministers","lovers","hogan","sacrifice","thief","electorale","dyer","1682","condemnd","ashmoliana","genealogies"
"17","shoes","kinds","better","majestie","coffee-house","ephemeris","funeral","order","mogan","mass","pleasantness","sofia","hearted","turkish","dromelius","genealogies","heraldry"
"18","soap","essays","former","particulerly","rose","indifferently","sherlock","durfey","assemble","r.f","paths","charlotta","stone-bridge","meditations","berg","heraldry","diemerbroeck"
"19","exercitatio","voyage","mentioned","lifted","queen","moons","among","lady","abdicate","declard","felicities","electrice","contract","commoners","martels","diemerbroeck","utrect"
"20","martini","moral","tongues","pulling","command","morning","chap","licensd","pudding","offer","injoyed","brandenburgo","young","avoyd","hickson","utrect","stiling"
"21","notable","travels","rates","rope","sermon","worlds","yr","sale","besieged","ends","barbarity","brunswich","aurea","bedfordshire","sixtus","stiling","philadelphians"
"22","washing","learning","war","vaste","auctio","fairs","opened","fame","wheel-wrights","life","blood-thirsty","luneburgo","injured","whitehead","20th","philadelphians","nicest"
"23","angling","recommended","houses","thickness","cree-church","goldsmith","believers","comedy","huy-and-cry","renderd","grevesend","duchessa","ladys","common","sep","nicest","novelties"
"24","liquor","lover","payable","cress","books","student","unity","lamentation","trooper","gentleman","tilt-boat","prusia","admiral","especially","novem","novelties","revolutiions"
"25","morbis","historical","gulielmi","cresss","theatre-royal","woodhouse","bates","servants","drummer","motives","blackwall-wheries","magdeburgo","promised","discovering","munday","revolutiions","leaguing"
"26","family-worship","never","aid","naggs","ode","serve","preached","noble","non-jurors","lady","tipt","cleves","russels","bray","july","leaguing","britanick"
"27","signification","work","session","white-cross","dyals","mail","athenian","ladys","mistriss","become","angelo","giuliers","pleasant","order","van","britanick","termino"
"28","manner","done","translations","micheal","talbot","papacy","danger","quakers","betrayd","husband","constantini","berga","couple","licensed","1700","termino","vvars"
"29","two-pence","method","importation","burgh","bentleys","mails","plunging","young","mallancolly","method","player","stetino","clavis","gregory","19th","vvars","truces"
"30","horse-beans","divine","revised","catherin","yes","astrology","wallis","flying","stabed","suffolk","comedians","pomerania","lass","grass","paper","truces","peaces"
"31","beautifie","world","acts","truet","winchester-college","elevated","trinity","r.b","kinsman","religion","a.r","cassubia","chacones","weeks","delivered","peaces","exclude"
"32","spend","whole","king","trne","rector","high-ways","grand","mistress","amaize","abridgment","praises","devandali","banister","feme","pullen","exclude","enjoying"
"33","coffe","licensed","sarum","chatam","dean","lord","benjamin","jerusalem","bartholomew-gfair","composd","precious","silesia","ro","delusions","december","enjoying","charleton"
"34","medicinales","order","speech","febrifugium","theatre","southing","toward","example","winam","roman","sexes","crossen","safely","collier","27th","charleton","conserving"
"35","agitur","according","scotiæ","lymons","afternoon","deliverance","congregation","loves","tendin","elizabeth","scaramouche","burgravia","yonder","translator","18th","conserving","portugall"
"36","textus","english","franciæ","acquisitions","librorum","came","willielmi","licensed","rippon","added","passengers","norimberg","magpye","leaders","1695","portugall","reveneus"
"37","recalls","several","hiberniæ","stringer","reasonableness","psalms","civitat","delightful","quarrel","easie","deplorableness","halberstatt","cage","celebration","23rd","reveneus","tortures"
"38","samuel","ashmoliana","gilbert","laboratory","college","advices","letter","sweet","threatning","francis","thorough","minden","comodes","antichristian","trunet","tortures","exquisit"
"39","cutting","genealogies","ninety","foundery","rolls","lunations","prove","valiant","victuals","prayer","wisdoms","camin","hindring","prayers","gerhardt","exquisit","inflicting"
"40","powders","heraldry","tunnage","betlmettal","poem","sensible","stated","willoughby","poisonous","calld","accused","contessa","bulling","presbyterian-government","bergen","inflicting","suspicions"
"41","cheap","diemerbroeck","apprehending","mettalick","rival","horizon","reflections","gallant","relaation","sorts","lost","hohenzollern","baffled","vestry","truerniet","suspicions","rigor"
"42","muscles","utrect","compared","parry","comedy","gardening","daniel","according","bog","happy","manifested","ravensburg","hard-hearted","practick","harts-hor","rigor","absolved"
"43","lister","stiling","appointed","allso","lincolns-inn-fields","kalendar","righteousness","mechanick","pasture-land","practical","ways","ravenstein","northen","plea-side","brew-house","absolved","penitents"
"44","leigh","philadelphians","wares","willful","royal","month","grace","renowned","microscope","children","chiromancy","lauenburge","batchellor","detected","martell","penitents","dungeons"
"45","nova","nicest","securing","vaughns","italian","configurations","mayor","passion","pulvis","edition","betrayed","buttau","excellant","ecclesiastical","behaviours","dungeons","intollerable"
"46","disputation","novelties","father","norfolks","arwaker","ingress","church","truth","devonshire-street","jesus","herod","archangelo","mewsic","grays-inn","28d","intollerable","ballanced"
"47","master-piece","revolutiions","bible","holy-trinity","pauls","astrological","gan","calld","scorne","poor","judas","corelli","ding-dangs","lived","merchand","ballanced","indulgences"
"48","methodo","leaguing","newly","comitted","granada","wales","doctrine","friends","puding","faith","palmestry","fusignano","ginkles","whole","bailey","indulgences","knowlege"
"49","moderator","britanick","effectual","hounslow-heath","guise","pole","new-england","tender","talmash","four","hells","constitutiones","sellar","immorality","pedler","knowlege","rebate"
"50","slater","termino","prorogations","jonathon","orrery","incarnation","suffolk","married","vvound","third","pilate","clericorum","hand-basket","stanhope","swarm","rebate","purchases"
"51","societies","vvars","worcester","hartcourt","lambe","high","liberties","brown","thigh","mary","jerusalem","sæcularium","stabing","church","caterpillers","purchases","gaging"
"52","fevers","truces","bishop","guines","york","degrees","occasioned","bass","camerett-bay","persons","blood","communi","injurd","george","margaertsic","gaging","aqueducts"
"53","longer","peaces","burials","lewes-dors","poems","leap","enquiry","wonderful","perswading","death","redemption","viventium","pættys","secrets","margaert","aqueducts","beginner"
"54","figures","exclude","assembled","silve","poetry","quarters","parable","exposed","sinking","according","physiognomy","sanctiff","robby","kindness","caswell","beginner","proverbial"
"55","know","enjoying","imported","cheif","english","referred","union","exactly","motion","french","impious","innocentio","lycensd","episcopacy","west-smithfield","proverbial","capping"
"56","curiosities","charleton","esquire","nienburg","dryden","minutes","arguments","hoods","turned","ashmoliana","maidstone","stæbilitæ","vvinchester","g.k","26st","capping","themes"
"57","portsmouth","conserving","requiring","sloans","bibliotheca","burning","timothy","flute","womans","genealogies","gallants","sæcularis","ovres","kent","casvvell","themes","declamations"
"58","baits","portugall","begun","robb","toms","according","fleming","maid","began","heraldry","usd","anglicani","southwarke","errors","merchant-men","declamations","divelley"
"59","inch","reveneus","service","aisleby","millingtonum","well-willer","edwards","tragical","limerick","diemerbroeck","crucified","temporum","affrightful","europe","conjuncture","divelley","dorastus"
"60","dayes","tortures","ships","red-lyon-square","winchester","angelus","necessity","whale","slight","utrect","flames","circumstantiis","pursuing","julian","choosing","dorastus","fawnia"
"61","salters-hall","exquisit","bentley","cozenss","church-yard","equinoctial","trepidantium","bonny","bettwe","stiling","applyed","accomodatæ","congden","inferior","qualitys","fawnia","heir"
