"","X1","X2","X3"
"1","paules","quene","termino"
"2","treatise","foloweth","henrici"
"3","excellente","continued","regis"
"4","maister","fraunce","regni"
"5","catholyke","reigne","michaelis"
"6","containyng","mariæ","edwardi"
"7","mayster","highnes","pasche"
"8","reade","maiestie","quarti"
"9","doctour","dissolution","octaui"
"10","loue","grace","almanacke"
"11","myles","holden","knowe"
"12","huggarde","actes","begynneth"
"13","indifferent","parliament","maner"
"14","breuiat","irelande","boke"
"15","brute","westminster","statutes"
"16","pouerte","begon","addicions"
"17","diuinitie","proclamation","trinitatis"
"18","called","austria","askham"
"19","seuen","dukes","corrected"
"20","sarum","counties","right"
"21","waye","flaunders","prognostication"
"22","conteining","begonne","annus"
"23","rychard","aduise","moone"
"24","whether","kinge","herbes"
"25","expedient","naples","henry"
"26","chronicles","burgondie","whiche"
"27","interlude","haspurge","tertii"
"28","notable","next","breuium"
"29","compiled","ireland","songes"
"30","furth","moneth","sonettes"
"31","gathered","fayth","haward"
"32","within","ladye","honour"
"33","phisike","october","kynge"
"34","teach","acte","imprinted"
"35","prayse","philippi","augmented"
"36","whetstone","enacted","earle"
"37","hundred","ensuing","surrey"
"38","vniuersall","jerusalem","annexed"
"39","vnitie","defendours","euery"
"40","entitled","spayne","m.d.li"
"41","displaying","soueraygne","natura"
"42","protestantes","soueraigne","cases"
"43","matter","proclamacion","decimus"
"44","fruictefull","ensuynge","magna"
"45","ladie","england","urynes"
"46","assaultes","quenes","anthony"
"47","mense","beynge","generall"
"48","debated","supreme","added"
"49","eye","beyng","holy"
"50","approue","kept","time"
"51","fayeth","primo","wherunto"
"52","chapiters","daie","newly"
"53","greatly","gratious","beginneth"
"54","fruitfull","prosperous","commons"
"55","cathedrall","counsail","domi"
"56","welles","princes","health"
"57","marriage","saied","named"
"58","priestes","englande","richardi"
"59","ioanne","tyroll","plees"
"60","wicamensis","head","parliamenti"
"61","longe","marche","edita"
"62","contaynyng","queene","presidentes"
"63","conquerour","faith","uryne"
"64","mayors","mary","assyse"
"65","camelles","cycilie","times"
"66","salisburye","archedukes","xiiii"
"67","præstantioribus","myllayn","rules"
"68","naturæ","braband","howe"
"69","virtutibus","maiesties","man"
"70","prynce","earth","olde"
"71","insignis","seconde","euer"
"72","plaine","lady","mans"
"73","christ","marye","sexti"
"74","concerninge","regiæ","weale"
"75","parte","maiestatis","faithful"
"76","description","forth","mannes"
"77","authore","daye","quarters"
"78","oxforde","elizabethe","water"
"79","shorte","proroged","prophet"
"80","women","vntill","mycha"
"81","john","millaine","antony"
"82","diuers","souuereine","gilby"
"83","vs","defendour","helth"
"84","1558","fyrste","oyles"
"85","marie","furthe","woman"
"86","conteyninge","souereigne","incipit"
"87","doctoure","secundo","secundus"
"88","treasure","parlament","abatementes"
"89","instruction","reginæ","saide"
"90","reader","vntyll","declaracions"
"91","quenes","defender","barres"
"92","wherin","edwarde","vicesimo"
"93","people","sette","anni"
"94","herbes","london","accesserunt"
"95","perfection","monies","primus"
"96","holsome","queenes","noua"
"97","doctryne","vnderstandyng","examinata"
"98","touchynge","defendoure","groundes"
"99","bee","execution","colleccion"
"100","home","brabant","carta"
