"","X1","X2","X3","X4","X5","X6"
"1","newes","saint","taylor","prognostication","eadmeri","proclamation"
"2","weekly","donne","pleasant","almanacke","monachi","king"
"3","low-countries","preached","anne","meridian","historiæ","maiesties"
"4","continuation","supper","briefe","serue","nouorum","translations"
"5","gataker","acted","dyed","calculated","sæculi","compared"
"6","numb","chapter","past","bissextile","gestas","testament"
"7","rome","diuinity","merry","leape-yeare","modò","diligently"
"8","rotherhith","word","ditty","leape","spectator","realme"
"9","italy","deliuered","flower","latitude","diligens","reuised"
"10","ios","robert","emperour","pole","actor","commandement"
"11","ovr","naturall","sector","lord","plerunque","restraint"
"12","france","prittlewell","copyhold","generally","interfuit","queene"
"13","duke","meditations","gabor","god","guilielmis","maiestie"
"14","particulars","mysterie","night","south","regibus","speciall"
"15","pastor","preacher","pattents","referred","salutis","queenes"
"16","germany","loue","vienna","almanack","mlxvi","whereas"
"17","rous","pauls","ballad","brittaine","mcxxii","bible"
"18","spaine","diuerse","chariot","composed","potissimùm","former"
"19","count","discerne","betweene","neue","complexi","tongues"
"20","generall","vvherein","complaint","gilden","cottoniana","hiberniæ"
"21","warlike","verse","yeares","ranger","emisit","originall"
"22","hall","sermon","affaires","browne","ioannes","newly"
"23","gabor","truth","bohemia","1625","seldenus","pleasure"
"24","empire","pietie","emperor","computation","notas","franciæ"
"25","continvation","scot","departed","properly","adjecit","eating"
"26","preparations","gods","praise","leap","spicilegium","prices"
"27","concerning","receiuing","eyes","dade","henrico","strictly"
"28","calling","worthy","delectable","articke","nempè","nundinis"
"29","richardson","man","mannors","woodhouse","porrò","aswell"
"30","transylvania","essex","tennants","horizon","bibliotheca","killing"
"31","interest","crosse","number","seruing","comes","reigne"
"32","denmarke","lords","maid","white","cantuariensis","scotiæ"
"33","commentarie","tryall","richly","1619","lucem","ireland"
"34","states","sermons","eternally","leap-yeare","vi","angliæ"
"35","wounded","bifield","normans","longitude","angliæ","subiects"
"36","genoa","adams","south-warke","allestree","libri","defender"
"37","savoy","right","serueth","city","arithmetic","greeke"
"38","bethelem","bachelor","speidell","forraigne","reverendorum","forasmuch"
"39","diuers","learning","remembrance","britaine","prestoni","quenes"
"40","palatinate","sinne","dwelling","creation","caßinensis","within"
"41","princes","smith","prague","priuilegio","greenæi","iacobi"
"42","ludgate","outlandish","saxony","sensible","hispanicæ","original"
"43","vsurie","resoluing","bethelem","london","ordinis","dressing"
"44","purchas","blacke-friers","dutch","degrees","benedicti","commanding"
"45","voyages","vaine","worthy","new","religiosorum","wards"
"46","bartram","hearts","relation","1620","theologæ","flesh"
"47","vienna","irish","conquest","parts","professorum","seale"
"48","emperour","ward","admonishing","1618","beatissimum","seas"
"49","french","vertuous","granting","sofford","patrem","westminster"
"50","affaires","samuel","munster","ieffery","gregorium","plague"
"51","devon","handled","delicate","1621","decimum","holy"
"52","centum","euill","studious","citie","quintum","buildings"
"53","april","younger","warning","rectified","maximum","souereigne"
"54","christian","tenne","hen","psalmes","sanctamq","autumnalibus"
"55","christendome","seruants","ioan","virginia","sedem","nauy"
"56","breda","commentary","present","aboue","apostolicam","gratia"
"57","naples","sauing","exprest","rudston","hill","quene"
"58","health","secondly","buy","according","chest","old"
"59","strange","saluation","vvith","statutes","wounds","lent"
"60","peace","whatsoeuer","englands","honorable","apostumes","england"
"61","proceedings","iesuites","countries","mounted","vlcers","infection"
"62","mansfield","ignorant","sonne","eleuation","fistulaes","priuie"
"63","hieron","gospell","wonderfull","famous","fractures","prohibiting"
"64","lately","benefit","high","notes","dislocations","regis"
"65","letter","declared","elegie","citty","amputation","noui"
"66","bethlem","forces","iigge","euening","scuruie","hereafter"
"67","brunswicke","batchelour","falero","worlds","fluxes","appointed"
"68","relating","arts","lero","indifferently","collica","bearing"
"69","assembly","plainely","safely","bretnor","illiaca","counties"
"70","protestant","sacrament","threescore","norfolke","passio","infected"
"71","fra","conscience","fortune","1624","tenasmus","highnesse"
"72","found","dedicated","maruellous","sternhold","exitus","setling"
"73","prouinces","knights","maidens","errour","ani","deare"
"74","warres","denison","monarchs","mathematicks","callenture","raleigh"
"75","moulin","necessity","pranks","meeter","sal","adiournement"
"76","dancre","secrets","mad-merry","minutes","sulphur","disorderly"
"77","besides","ipswich","wonderful","monarchy","mercury","verge"
"78","marquis","vere","witches","vaux","tearmes","victuals"
"79","armes","deuill","coltish","behold","sea-surgions","francofurtensibus"
"80","course","bishop","staggers","redemption","woodall","librorum"
"81","rochell","sacred","masculine-feminines","third","theological","emendatiores"
"82","last","directing","offence","1623","brings","auctiores"
"83","mariage","occasions","winterton","hopkins","e.v","prodierunt"
"84","explaned","knowledge","calamitie","apart","ravvlinson","orders"
"85","preacher","come","strange","vngodly","extraordinarie","fish"
"86","hearbs","minister","fearefull","tend","entrie","almighty"
"87","katharines","tragedy","hollanders","exalted","obtayning","designatio"
"88","grecian","discourses","bethlem","einer","paradice","dei"
"89","muld","popery","sole","apt","brideling","iames"
"90","sacke","leaue","fredericke","great-britaine","appetites","sauiour"
"91","vvitnesses","triall","bohemian","corrupting","tvvelfth","importation"
"92","halton","arithmatick","leases","1616","overal","making"
"93","fitz-geffry","worthie","chorologicall","error","pavls","catalogus"
"94","raphe","sathan","lo","withall","vnexpert","obserued"
"95","rebate","drunkards","truce","monarchie","traine-men","reforming"
"96","een","fathers","composition","paralell","antichristian","weale"
"97","halfe","maiesty","murder","erasmi","ignatian","episcopo"
"98","wisdome","baptisme","sleepe","iuxon","floods","iesvs"
"99","marquise","bury","asking","great","colleague","publique"
"100","alban","glorious","earle","iohn","conformities","scotland"
