"","X1","X2","X3","X4","X5"
"1","testament","yere","henrici","yere","henrici"
"2","new","henrici","yere","henry","kynges"
"3","newe","god","holden","kynge","boke"
"4","englysh","holden","moste","henrici","parlyament"
"5","forth","lorde","henry","god","holden"
"6","latyn","kynge","kynge","holden","reygne"
"7","names","statutes","statutes","kynges","termino"
"8","compyled","parlyament","parlyament","necessary","session"
"9","erasmus","henry","reygne","vi","regis"
"10","churches","boke","realme","profytable","daye"
"11","loue","reygne","termino","kyng","kynge"
"12","priuilegio","realme","present","xxiiii","reigne"
"13","goodly","moste","kynges","corrected","englyshe"
"14","=","termino","lorde","acte","noble"
"15","olde","man","session","eyght","regni"
"16","set","present","regis","true","honour"
"17","play","treatise","daye","hen","prorogation"
"18","richard","thomas","reigne","new","grace"
"19","namely","session","parliament","put","octaui"
"20","hye","dyuers","soueraygne","rome","vi"
"21","psalmes","kynges","regni","westminster","yere"
"22","rome","olde","honour","courte","weale"
"23","christen","regis","ryght","peace","acte"
"24","englysshe","daye","prorogation","betwene","eyght"
"25","roterdame","concernynge","tyll","die","hen"
"26","people","euery","grace","continued","henry"
"27","iohan","reigne","breuium","christ","westminster"
"28","mery","parliament","octaui","scripture","die"
"29","holy","churche","vi","drad","continued"
"30","scripture","soueraygne","profytable","great","present"
"31","talys","testament","weale","table","god"
"32","beloued","regni","xxiiii","souerayne","drad"
"33","curates","honour","acte","statuta","statuta"
"34","singuler","churches","eyght","fayth","defender"
"35","aduent","wyll","hen","defender","primo"
"36","brief","ordre","put","primo","englande"
"37","gospelles","tenures","westminster","lorde","concernynge"
"38","epistles","scrypture","courte","epistle","apryll"
"39","pronosticacion","abregement","peace","tonge","howe"
"40","almayne","taken","die","sermon","statutes"
"41","jhon","prestes","continued","apryll","euery"
"42","languages","godly","drad","knyght","churche"
"43","six","tercii","souerayne","howe","michaelis"
"44","learned","drawen","statuta","called","dradde"
"45","litle","forme","clerke","englysh","soueraigne"
"46","ar","dyuerse","defender","regali","actis"
"47","ymages","diem","england","michaelis","irelande"
"48","decrees","ciuitate","primo","bysshop","smyth"
"49","saint","named","tonge","emperour","couerdale"
"50","right","natura","apryll","golden","talen"
"51","brother","westmynster","knyght","returna","linguarum"
"52","done","spirituall","howe","lyfe","learnynge"
"53","wyllyam","kepte","smyth","lordes","content"
"54","verse","offycers","christians","nowe","saye"
"55","louer","obserued","commoditie","dradde","academia"
"56","sent","copy","academia","soueraigne","florentissima"
"57","poete","psalme","florentissima","rycharde","roberti"
"58","complaynt","maiestie","roberti","englishe","auctis"
"59","father","th","auctis","actis","mimi"
"60","called","commons","mimi","irelande","sapientum"
"61","drawen","reuerende","sapientum","englyshe","scholijs"
"62","forme","nouembris","scholijs","names","fabellæ"
"63","lady","curiam","christiani","goodly","see"
"64","tauerner","tenendi","bytwene","lady","cryste"
"65","epistle","modus","chryst","famous","go"
"66","good","oure","mannes","added","expert"
"67","smyth","uppon","laureate","gracyous","therin"
"68","christians","hygh","fabellæ","mayster","remedyes"
"69","commoditie","proclamation","preface","booke","medycynes"
"70","exercyse","octavi","cryste","agayne","person"
"71","curate","iune","frere","chrysten","otherwyse"
"72","payne","christes","reade","kepe","book"
"73","couerdale","lord","therin","pater","therafter"
"74","talen","heed","hereafter","fees","dyurnall"
"75","linguarum","hyghnes","person","tyme","1536"
"76","1539","ryght","otherwyse","christe","deuyded"
"77","learnynge","prorogation","yeres","next","chryste"
"78","content","actes","book","common","ihesu"
"79","saye","tyll","therafter","knowe","abbrydgement"
"80","authours","grace","dyurnall","fyrst","myrrour"
"81","letter","play","robert","rede","soule"
"82","answere","richard","lytle","auctoritie","hast"
"83","declaryng","namely","chryste","eyghte","restorynge"
"84","academia","hye","ihesu","bokes","experience"
"85","florentissima","psalmes","hys","temporall","annexed"
"86","roberti","longe","abbrydgement","latyne","xxviij"
"87","dede","causes","a.b.c","court","barres"
"88","auctis","ben","crosrowe","vnder","abatementes"
"89","mimi","prayers","soule","fraunce","plees"
"90","sapientum","gyuen","hast","lytell","contento"
"91","scholijs","ioh","restorynge","lerne","kalendario"
"92","christiani","frenche","dore","lately","patet"
"93","bytwene","dayes","whytforde","byble","prout"
"94","doughter","prologe","commaundement","places","formam"
"95","chryst","exposycyon","annexed","diuers","continens"
"96","mannes","chapters","xxviij","roterdame","paruus"
"97","laureate","werke","barres","lawe","accomptis"
"98","fabellæ","master","abatementes","sheweth","takyng"
"99","newly","famouse","plees","suche","eschequier"
"100","syr","commaundementes","contento","exposition","pore"
