"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13"
"1","proclamation","society","dade","indulgences","rectour","skin","instant","naboths","draw","almanack","contemplations","love","courts"
"2","majesties","patron","brittain","lin","hambleton","tobago","whipt","vinyard","shire","leap-year","ayres","pleasant","law"
"3","king","founder","forreign","thereabout","penal","destrees","prisoners","maybury","towne","calculated","pageants","song","impeachment"
"4","command","royal","privilegio","retaining","patrick","gaining","execution","barnbow","durer","bissextile","worshipful","new","clerks"
"5","translations","hooke","prognostication","fruitful","scroggs","horse-courser","transported","acquittal","ground-work","meridian","morland","young","statute"
"6","diligently","list","island","phelpes","gregory","rogueries","sessions-house","accusation","varnish","creation","simple","lovers","commons"
"7","revised","dryden","behold","returning","antiquitates","ostler","tyburn","gascoigne","diaper","london","soc","maid","court"
"8","compared","conception","1674","horne","exon","sovv","burnd","term","deepen","serve","gauging","lass","atherton"
"9","parliament","lectures","meridian","allhallows","stayley","scull","newgate","trin","glister","preached","musick","maids","report"
"10","testament","antonii","serve","jackler","1583","monky","wednesday","copied","hollars","city","asia","kind","judgments"
"11","tongues","hypothesis","calculated","norfolk","1601","goat","narrative","bolron","handicrafts","minutes","theorbo-lute","complaint","quakers"
"12","defender","acted","leap-year","there-through","connor","monstrosities","burnt","car","hammer","eclipses","bass-viol","merry","parliaments"
"13","bible","regia","gent","excursion","lesly","street","condemnation","bart","stand","planets","thuanus","farewel","notata"
"14","serene","shadwell","almanack","piously","evidence","monstrous","hand","case","albert","rising","playford","heart","entries"
"15","special","illustrantur","state","whittlesey","symon","creature","confession","confinement","prints","sermon","solids","allowance","pleadings"
"16","appointed","renati","william","coleman-street","ordinary","west-indies","true","argued","mixtures","latitude","jordan","fair","cosmographer"
"17","gracious","societate","great","lin-regis","devotions","strangeness","tryal","traytor","picture-drawers","mathematicks","dno","jenny","laws"
"18","newly","chirurgeon","account","22.14","hadham","signe","burglary","shaftsbury","heighten","bishop","gilberto","mind","common"
"19","former","francisci","london","fallibility","chaplain","white-hart","proceedings","lawrence","pastiles","lord","archi-episc","mans","fees"
"20","prohibiting","descartes","new","seperation","reports","losses","lestrange","high-treason","indian-ink","moon","recentiorum","constant","majestys"
"21","prince","mechanical","roi","rush","goodman","north-east","old-bayly","york-shire","receipt","southing","domino","delight","mixt"
"22","houses","willughbeii","commandeé","custom-house","cases","assault","minister","pleading","shires","indifferently","performed","come","votes"
"23","concluded","armigeri","donnećontre","wickednesses","church","smooth","tryals","earl","shadow","degrees","compound","ballad","ogilby"
"24","commanding","aves","hollandoise","egane","justice","smithfield","account","innocent","drawing","worlds","veterum","time","pleas"
"25","apprehending","cognitæ","mai","confessor-general","devout","position","behaviour","abstract","spent","pole","triumphs","loves","clarke"
