"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10"
"1","queene","plantes","daryus","ailgna","prognostication","nothing","gentilis","libri","bunny","termino"
"2","parliament","nievve","thyrde","abuses","almanacke","euphues","billets","francisco","commyng","regis"
"3","reginæ","herball","stipator","phillip","meridian","hurtfull","faggots","tremellio","accompanied","edwardi"
"4","reigne","shapes","thames","stubbes","almanack","regiments","gardiner","testamenti","bee","regni"
"5","statutes","growyng","chichester","worthy","eleuation","vulgar","sing","junio","englishe","quarti"
"6","holden","forrayne","worde","gent","leape","myxed","psalmes","latinum","appertaining","henrici"
"7","maiestie","doutche","vdall","copye","referred","discription","archbyshop","illustrati","deed","michaelis"
"8","testament","almaigne","chyrurgerie","imperfections","svvoord","isle","alberici","accesserunt","knewstub","paschæ"
"9","proclamation","rembert","diligently","anatomie","swearyng","lightnesse","di","ciceronis","conteinyng","sexti"
"10","lady","dodoens","considered","elsewhere","lawful","proffered","notes","sacra","discourse","tertij"
"11","westminster","physition","words","dialogue-wise","oth","lyly","con","hebraeo","tending","cases"
"12","wordes","lyte","heard","vices","manichees","knighthood","scipii","immanuele","shewing","pasche"
"13","bible","fashions","bishop","whetstone","anabaptistes","knightes","rom","vulgo","sermon","hillarii"
"14","enacted","natures","romaynes","corruptions","sweare","souldiers","woodmongers","deo","r.p","octaui"
"15","queenes","realmes","entiteled","executed","rashly","spanish","psalms","academia","pacification","trinitatis"
"16","hir","esquyer","wryter","wicked","customably","delightful","select","libros","papist","nolano"
"17","realme","operations","hugo","kings","vsual","small","calleth","latinè","christian","breuium"
"18","greeke","herbes","coortesse","dutch","leadeth","drake","contemplation","sermone","saied","corrigee"
"19","whereas","kindes","docter","pleasant","periurie","wyt","stephen","veteris","dedicated","nouelment"
"20","print","physicke","summons","fearefull","iuste","delightfull","martyrdome","biblia","become","imprimee"
"21","treasons","vvhole","parentes","countreyes","blasphemers","knight","hopkins","canonici","frampton","secundo"
"22","defender","figures","gyuing","lord","periurers","entreateth","apart","ecclesiae","word","ore"
"23","continued","sortes","preaty","quiet","bannyng","regarded","balades","traditi","edm","anni"
"24","gratious","commonly","enterlude","gallant","execration","deedes","tend","scholiis","accordyng","ans"
"25","large","contayned","pythie","garnished","haruey","offence","corrupting","apocryphi","churche","plees"
"26","elizabeth","straunge","story","ilande","falsly","pathwaie","fam","redditi","gods","imprimendum"
"27","soueraigne","countrie","esdras","iudgementes","astrologie","worst","cathechisme","notis","resolve","xviij"
"28","concerning","emperour","prolocutor","cittie","phisicke","commend","strength","editi","doune","presidents"
"29","theod","henry","importunitie","enlarged","procured","rosicleer","foxe","citatis","gifforde","primo"
"30","statute","whiche","parcialitie","van","happen","wandering","familye","capitum","poets","sixe"
