"","X1","X2","X3"
"1","termino","termino","quene"
"2","holden","henrici","maiestie"
"3","henrici","regis","quenes"
"4","westminster","regni","foloweth"
"5","continued","michaelis","highnes"
"6","foloweth","edwardi","continued"
"7","reigne","maner","mariæ"
"8","regis","herbes","fraunce"
"9","parliament","quarti","dissolution"
"10","regni","pasche","grace"
"11","irelande","almanacke","reigne"
"12","fraunce","octaui","actes"
"13","daye","boke","begon"
"14","englande","treatise","spayne"
"15","sexti","begynneth","irelande"
"16","lorde","prognostication","proclamation"
"17","michaelis","newly","moneth"
"18","vi","called","holden"
"19","actes","man","flaunders"
"20","primo","knowe","counties"
"21","theyr","wherunto","dukes"
"22","grace","whiche","austria"
"23","fayth","added","marye"
"24","yere","time","parliament"
"25","kynge","imprinted","maiesties"
"26","edwardi","corrected","haspurge"
"27","hys","addicions","burgondie"
"28","mariæ","gathered","naples"
"29","session","askham","kinge"
"30","ireland","trinitatis","aduise"
"31","enacted","surrey","begonne"
"32","dissolution","earle","proclamacion"
"33","quarti","booke","next"
"34","pasche","henry","ladye"
"35","certayne","moone","seconde"
"36","statutes","annus","soueraigne"
"37","marche","beginneth","ireland"
"38","daie","collected","october"
"39","octaui","excellente","beyng"
"40","secundo","right","sette"
"41","present","statutes","london"
"42","kepte","augmented","westminster"
"43","philippi","christian","philippi"
"44","places","drawen","acte"
"45","certaine","maister","defendours"
"46","acte","euery","jerusalem"
"47","england","wherin","ensuing"
"48","supreme","honour","furthe"
"49","euerye","haward","england"
"50","reygne","sonettes","princes"
"51","graces","songes","beynge"
"52","quene","breuium","ensuynge"
"53","highnes","tertii","queene"
"54","soueraygne","w.c","kept"
"55","begon","general","enacted"
"56","head","sedes","mary"
"57","knowe","floures","soueraygne"
"58","october","propreties","fayth"
"59","tyll","scripture","counsail"
"60","proclamation","yeres","prosperous"
"61","next","profytable","gratious"
"62","wyth","notable","peace"
"63","saied","times","reade"
"64","lord","loue","furth"
"65","flaunders","table","earth"
"66","counties","howe","set"
"67","dukes","generall","supreme"
"68","austria","anthony","lady"
"69","angliæ","urynes","tyroll"
"70","quinto","magna","suche"
"71","haspurge","decimus","saied"
"72","burgondie","cases","sermons"
"73","naples","natura","doctour"
"74","kinge","m.d.li","sacrament"
"75","philip","treasure","braband"
"76","aduise","declarynge","myllayn"
"77","synge","stilled","archedukes"
"78","prayer","shold","cycilie"
"79","ensuynge","doctoure","daie"
"80","begonne","conteyninge","faith"
"81","vsed","institutions","christ"
"82","tertio","begynning","tyme"
"83","faith","1558","churche"
"84","defendour","catholyke","head"
"85","testament","yonge","fyrste"
"86","new","spirituall","kinges"
"87","defendours","holy","souuereine"
"88","jerusalem","annexed","millaine"
"89","apostles","rule","vntill"
"90","ensuing","seuen","proroged"
"91","kept","fourme","elizabethe"
"92","honorable","1555","philippe"
"93","ladye","diuers","christi"
"94","forth","assyse","marie"
"95","right","uryne","thomas"
"96","addicions","presidentes","primo"
"97","prorogacion","edita","excellent"
"98","rules","parliamenti","concerning"
"99","nexte","plees","edwarde"
"100","read","richardi","defender"
