"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21"
"1","epistle","hildebrand","act","law","sheeles","sermon","shakespear","theatre-royal","letter","canibalss","mary-le-bow","arabian","communicant","copy-book","davies","sejanus","mineralogia","c.ii","almanack","imperio","caleb"
"2","impotency","maintaind","repairing","cases","spinnett","salters-hall","treaty","moliere","poem","believer","charity-schools","experiments","hallows","bickham","merriest","masquerader","laycock","taxed","sternhold","piæ","grays-inn"
"3","pope","piazza","county","chancery","sky","watts","treatys","comedy","repeal","osmin","incorporated","alexis","comfortable","sizes","chaloners","cordelia","courtship","half-penny","hopkins","potentissimæ","danvers"
"4","horaces","mass","gracious","tenants","arie","preached","fanaticks","acted","remarks","passeran","propagation","seized","profitable","italian-hand","salve","philaret","manifold","smallness","metre","gubernatio","craftsman"
"5","congress","gualteri","proclamation","reports","stromenti","christ","dell","list","paper","chronicle","sepulchre","possessed","communion","minums","sore","blundering","packe","vyners","psalms","ecclesiastica","ombre"
"6","ballad","leges","bridge","common","dedicate","guyse","france","servants","quakers","piece","parish-church","tree","receiving","joyning","chaloner","scene","legerdemain","1732-53","bissextile","serenissimæ","monastery"
"7","budgell","maxims","reign","statutes","excellenza","death","politics","musick","member","story","royalty","sophonisba","worthy","penmans","shoreham","loves","hocus","ub-bub-a-boo","leap-year","angliæ","leoni"
"8","house","jacob","effectual","adjudged","duca","request","musica","cibber","gentleman","albert","anniversary","blood","daniel","geo","aud","punch","pocus","irish-howl","anodyne","elizabethæ","boyd"
"9","signor","sprinkling","passed","landlords","queensberrij","ministers","betwixt","opera","humbly","stories","quarter-sessions","dec","instructions","langton","encourager","downfall","bundance","a-se","necklace","reginæ","once-adjoining"
"10","robins","pocket-manual","roads","precedents","kelleri","gravel-lane","tragedy","vanbrugh","jesuss","comical","educated","chemistry","plain","round-hand","straights","jest","amendments","price","ungodly","religio","cloysters"
"11","commons","leisure","majesty","peace","sigr","evans","plays","trick","cadenus","select","meeting","angling","holy","penmanship","checks","brothers","bread","chapel","nourishing","regni","dart"
"12","norfolk","copper-cutts","parliament","fun","fortunato","notcutt","honey-suckle","song","vanessa","calld","jury","preachd","terrf̆iliuss","capitals","restrains","masque","neglected","six-pence","ephemeris","terrf̆iliuss","accepted"
"13","politicks","iconoclasts","majestys","justices","lark","preachd","pultney","drury-lane","dissenters","true","sepulchres","sultaness","ethic","specimens","highway-men","exemplifyd","complements","advertised","tend","ethic","craftsmans"
"14","verses","image-breakers","leading","cent","harpsicord","doctrine","holland","performd","christmas","religion","ollyffe","clarkes","imperium","size","foot-pads","vows","inventions","ft","corrupting","imperium","leon"
"15","windsor","zealously","road","twells","cantate","reverend","chair","provokd","s-t","taken","promoting","prebendary","pelagi","pieces","shop-listers","ball","fishing","vyner","allowed","pelagi","battista"
"16","eustace","opposd","amending","quarter-sessions","spectators","ordination","composto","silvia","girard","modern","charity","burnet","lyrick","engravd","horse-stealers","revivd","assize","cobler","ballads","lyrick","alberti"
"17","earl","finally","session","commissioners","suits","grove","knighthood","majestys","publickly","count","children","bridget","pindars","comprized","enormous","warning","surgeons","noted","moreover","pindars","cosimo"
"18","orrery","crushd","mentioned","tenures","lessons","charity-school","arbuthnot","fielding","vindication","command","preached","chaplain","reach","masters","gibraltar","distinction","desired","excise","solace","reach","bartoli"
"19","happend","717","therein","selling","odes","scripture","roderigo","comedie","billings","twelve","lucis","pleasant","verge","ornamental","incendiaries","play","physic","wednesday","apart","verge","giacomo"
"20","pieces","867","continuing","marriages","con","sermons","countesss","beggars","dispute","inscribed","grand","thomas","lawrence-jewry","utmost","hampton","concluding","perform","genuine","perkins","lawrence-jewry","architetto"
"21","lucerne","usurers","making","laws","hymns","departed","aubin","gay","pamphlet","lovers","catechetical","motion","arraigning","extent","flights","comical","whole","dean","godly","arraigning","critique"
"22","abbot","extortion","enlarging","buying","composd","wright","french","husband","calld","truth","court-house","galland","doddington","copies","home","humours","least","came","vice","doddington","di"
"23","shades","freethinkers","granting","sewers","di","harris","poland","vanelia","answer","account","precincts","history","jealousy","revised","extempore","entertaining","rare","versifyd","gratis","jealousy","charters"
"24","deny","socinians","better","removals","musick","occasioned","spectator","insolvents","offerd","added","mistresses","fish","carolinæ","new","house-breakers","dedicated","martin","pass","astrological","carolinæ","rolli"
"25","high-german","enlargement","intituled","promotions","taken","abraham","emperor","115,000","advice","government","gospel","robin","archiatri","extant","ingenuity","calld","14th","decree","pair","archiatri","housholds"
"26","altham","gother","regis","bailiffs","divine","samuel","adventures","ouverture","consideration","liberty","society","companion","hieronymi","beauty","shipping","fair","testimony","luke","gleet","hieronymi","courayer"
"27","sectione","viscountess","assembled","bench","set","religion","chubb","amours","catherine","discourses","societies","get","vidæ","another","school-master","thursday","prejudice","went","book","vidæ","masons"
"28","prolegomena","beaufort","preventing","entries","collection","heard","devil","prefixd","temple","royal","friday","arbor","cremonensis","small","christendom","seven","safe","pence","sung","cremonensis","archbishops"
"29","paragraph","mills","georgii","titles","john","ford","walsinghams","burgesses","narrative","concerning","exhorting","consisting","albæ","hands","increase","acts","instruments","heroic","sign","albæ","palm"
"30","vices","moveable","acts","equity","terrf̆iliuss","hallet","comedies","double","memory","terrf̆iliuss","stricturæ","abyssinia","dialogi","companion","fancy","grand","britains","march","stairs","dialogi","louisa"
"31","battle","reflexions","thirteenth","courts","ethic","hurrion","guildhall","lincolns-inn","apology","ethic","reformation","burton","rei-publicæ","europe","sussex","ladies","operation","notwithstanding","rising","rei-publicæ","malpas"
"32","miscellany","room","mum","deaths","imperium","yn","distiller","lincolns-inn-fields","proposal","imperium","sermon","tradesman","ignitate","1731","proposal","january","discovered","n.b","comfort","ignitate","yeoman"
"33","windsor-castle","bibliotheca","cyder","writs","pelagi","helens","porpora","115,000l","imitator","pelagi","easter-week","bisse","additis","containing","humble","last","constitutions","thirteen","childrens","additis","dissolution"
"34","satire","tavern","river","pleas","lyrick","catechisms","bright","play","jesuit","lyrick","1728","chattels","indicibus","never","rendering","country","surgery","already","planets","indicibus","della"
"35","variorum","viri","duties","gaoler","pindars","newman","twas","released","barn","pindars","february","bishop","accuratis","eminent","trades","persons","experience","addition","drama","accuratis","paolo"
"36","sowing","feasts","within","law-books","reach","fancourt","dindustrie","civil","drawing-room","reach","concerned","spinckes","visct","collected","minority","whole","print","contains","teeth","visct","libels"
"37","burning","walter","granted","letting","verge","discourse","understrapper","score","pride","verge","denne","natives","radewitz","modern","guilty","present","edition","pamphlet","conferrd","radewitz","officers"
"38","expence","russia","explain","willis","lawrence-jewry","chandler","winters","settled","addressed","lawrence-jewry","pearce","chippenham","hydraulicks","letters","satyrs","history","mineral","robert","bradshaw","hydraulicks","phoenix"
"39","madam","saying","highways","hive","arraigning","worship","prodigal","journey","impartial","arraigning","markwick","gill","noblemens","best","turns","added","exemplified","suited","churches","noblemens","quintille"
"40","blasphemy","oppression","aid","births","doddington","lecture","locrine","voted","reasons","doddington","held","english","distributing","useful","whilst","terrf̆iliuss","magazine","hymn","regio","distributing","pensions"
"41","virginity","conti","whereas","occurrences","jealousy","christian","puritan","boroughs","wood","jealousy","merchandise","hospitals","corporate","curious","hartley","ethic","edmund","westminster","wing","corporate","r.p"
"42","austria","sobieski","amend","lands","carolinæ","paraphrase","barrel","predecessors","craftsman","carolinæ","archbishoprick","originals","archimedes","english","upwards","imperium","salt","swift","collected","archimedes","punchinellos"
"43","vile","diets","eighth","worth","archiatri","lillo","barrels","hessian","murder","archiatri","patiently","whatsoever","gallileo","john","security","pelagi","indies","animadversions","teatro","gallileo","shrines"
"44","ass","abbé","thousand","parentage","hieronymi","mole","sagacious","farce","publick","hieronymi","rejoice","dictionary","torricelli","added","residence","lyrick","pleasant","sermon","rappresentarsi","torricelli","reliques"
"45","calista","parthenay","called","register","vidæ","southwark","flea","knights","ireland","vidæ","northwood","lawfulness","hook","terrf̆iliuss","joseph","pindars","virtues","long","laying","hook","chauntries"
"46","clay","stacie","seventh","warrants","cremonensis","taylor","fryar","theatre","defence","cremonensis","truths","lincolnshire","marriotte","ethic","sincere","reach","belonging","preached","meteorological","marriotte","obiits"
"47","clover","trent","limited","jury","albæ","funeral","cargo","citizens","examination","albæ","bishop","plants","hawksbee","imperium","crimes","verge","teacher","uses","olympia","hawksbee","vestments"
"48","watson","h.e","britain","stocks","dialogi","desire","over-board","merlin","wrote","dialogi","juries","told","bockler","pelagi","trade","lawrence-jewry","meanest","sold","dōmata","bockler","prospects"
"49","walbrook","philosophiæ","perry","copyhold","rei-publicæ","god","joaks","comédie","walpole","rei-publicæ","gonson","diocese","caus","lyrick","poet","arraigning","thereto","extraordinary","youth","caus","church-wealth"
"50","lady","mathematicæ","malt","judicial","ignitate","died","annoque","harlot","approbation","ignitate","peace","root","flemmings","pindars","defence","doddington","glory","occasional","others","flemmings","estreys"
"51","stephen","newtonianæ","qualify","exchanges","additis","managers","artaserse","wilks","affairs","additis","july","expressions","basins","reach","entirely","jealousy","great","another","tate","basins","obituary"
"52","palladios","illustratæ","term","attorneys","indicibus","peirce","edlin","goodmans-fields","coronation","indicibus","10th","parishioner","vernacula","verge","growth","carolinæ","perfection","days","nel","vernacula","downward"
"53","stay-at-home","tomi","seventeenth","statute","accuratis","jeremiah","alvarez","comedians","submitted","accuratis","westminster","shaw","dependence","lawrence-jewry","kingdoms","archiatri","danger","small","chamberlen","dependence","italian"
"54","sportsmen","duo","twelfth","court","visct","considered","whitney","tragedy","pushing","visct","father","use","terræfiliuss","arraigning","past","hieronymi","uses","addressd","gadbury","terræfiliuss","nephew"
"55","comic","tradit","diligently","grand","radewitz","john","brooks","booth","journal","radewitz","thursday","explanation","irreligion","doddington","humours","vidæ","ages","craftsman","fair-sex","irreligion","game"
"56","bradley","mathesews","king","clerks","hydraulicks","norman","noblemans","banishd","accusation","hydraulicks","cities","gardener","embarking","jealousy","excise","cremonensis","examples","words","chamberlens","embarking","nova"
"57","weld","comprehendendam","regulating","rent","noblemens","barnwell","fannius","playd","graciously","noblemens","tower","neat","sudds","carolinæ","little","albæ","academy","verse","aspects","sudds","writings"
"58","lists","demonstrationem","payment","rank","distributing","foster","cromwell","temporal","sabbath","distributing","liberty","accommodated","weakest","archiatri","thousand","dialogi","capacity","1732","hebrew","weakest","christ-church"
"59","viz","philosophiae","twenty","chronological","corporate","malefactors","guardian","monsieur","dumpling","corporate","tower-hill","inditing","commonalty","hieronymi","since","rei-publicæ","extraordinary","times","southing","commonalty","quadrille"
"60","amorous","posterior","prohibiting","game","archimedes","daniel","pictures","happening","annum","archimedes","conform","greece","chirurgeons","vidæ","gent","ignitate","lovers","humbly","set","chirurgeons","altars"
"61","miss","definitiones","imployments","surveyors","gallileo","atkinson","blazing","airs","pretended","gallileo","vandenhoeck","choirs","athelwold","cremonensis","recommended","additis","additions","practical","imprimatur","athelwold","houshold"
"62","favourite","motus","tickets","valuing","torricelli","pinners-hall","las","lampe","considerations","torricelli","thankful","defeat","counting-room","albæ","miscellany","indicibus","forms","world","deg","counting-room","priors"
"63","fleet","generaliores","seven","monies","hook","leadbetter","tatars","adventure","ecclesiastical","hook","conjecture","leeke","shop-partner","dialogi","war","accuratis","select","rector","devreux-court","shop-partner","italiana"
"64","method","virium","holden","hayes","marriotte","notes","angelus","lords","lately","marriotte","thess","pall-mall","evincing","rei-publicæ","tho","visct","divers","observations","brady","evincing","architect"
"65","duck","centripetarum","saint","table","hawksbee","occasion","sideralis","abode","gibraltar","hawksbee","work-houses","concubine","rolt","ignitate","better","radewitz","effectual","curious","setting","rolt","survey"
"66","quality","attractionis","america","relating","bockler","christians","comedy","falshood","practices","bockler","whitson-week","albimarides","musa","additis","songs","hydraulicks","fourth","poem","parkers","musa","tully"
"67","meditation","gravitationis","humble","distresses","caus","recommended","chronicles","majesté","tom","caus","prayers","rivalship","fidibus","indicibus","hundred","noblemens","dean","present","page","fidibus","past"
"68","excises","corporum","oblige","bishopsgate","flemmings","reformation","harlots","kalendar","case","flemmings","foreign","mordantia","divos","accuratis","case","distributing","land","account","tunes","divos","wales"
"69","beau","systema","hertford","quibbles","basins","june","spain","troops","addressd","basins","april","q-","puerosq","visct","robert","corporate","sea","added","temple-bar","puerosq","come"
"70","sugar","georgio","hundred","fees","vernacula","neal","noted","b-","fully","vernacula","instruction","occurences","deorum","radewitz","world","archimedes","july","terrf̆iliuss","worlds","deorum","regular"
"71","honourable","petro","parish","happend","dependence","confession","widow","disgrace","swift","dependence","manners","shame","hor","hydraulicks","others","gallileo","thursday","ethic","fitting","hor","antiquities"
"72","imitation","domckio","apprehending","domestick","terræfiliuss","congregation","sweden","intire","thresher","terræfiliuss","broke",";̆","praprhased","noblemens","friend","torricelli","choice","imperium","robin","praprhased","grays"
"73","lambs","spirituality","determining","tables","irreligion","1734-5","goals","civiles","macclesfield","irreligion","glocester","botanist","harlequin-horace","distributing","every","hook","benefit","pelagi","evening","harlequin-horace","lodges"
"74","handed","tsars","claims","manors","embarking","earth","william","comedian","henley","embarking","sixteenth","harvides","volunteer-laureat","corporate","years","marriotte","physicians","lyrick","philomath","volunteer-laureat","lodge"
"75","panegyrick","edict","service","coroners","sudds","james","1722","spiritual","considerd","sudds","vicar","move","dormer","archimedes","useful","hawksbee","ireland","pindars","diary","dormer","indictments"
"76","wonder","derbent","magnæ","repairs","weakest","defense","manifestos","parliaments","duck","weakest","parts","norris","laodicean","gallileo","publishd","bockler","proceedings","reach","womans","laodicean","jewels"
"77","disappointed","slavonian","franciæ","pleadings","commonalty","treatys","war","pantomime","state","commonalty","missionaries","colleg","anakreontos","torricelli","containing","caus","treaty","verge","motions","anakreontos","noailles"
"78","stirling","russian","hiberniæ","exchequer","chirurgeons","chubb","tryal","villany","plea","chirurgeons","evangelist","tenements","teiou","hook","new","flemmings","1726","lawrence-jewry","morning","teiou","strangers"
"79","hops","caspian","speech","purchase","athelwold","exon","previous","stone-henge","apostolical","athelwold","gonsons","hereditaments","melē","marriotte","several","basins","large","arraigning","conferred","melē","inn"
"80","pension-bill","menshikoff","houses","decreed","counting-room","humiliation","philosopher","dandin","reasonings","counting-room","princes-street","hickes","anacreontis","hawksbee","terrf̆iliuss","vernacula","grand","doddington","songs","anacreontis","military"
