"","X1","X2","X3","X4","X5","X6","X7"
"1","almanacke","prognostication","god","proclamation","prognostication","preacher","word"
"2","prognostication","proclamation","preached","prognostication","proclamation","proclamation","death"
"3","new","almanacke","king","almanacke","almanacke","preached","gods"
"4","meridian","new","great","maiesties","new","death","preached"
"5","serue","meridian","word","meridian","meridian","holy","preacher"
"6","proclamation","great","sermon","maiestie","serue","life","iohn"
"7","queene","london","lord","translations","brittaine","king","true"
"8","brittaine","serue","gods","serue","within","master","minister"
"9","1618","bible","new","lord","testament","sermon","french"
"10","leape","diligently","maiesties","compared","translations","sir","christian"
"11","translations","originall","london","testament","parts","true","prognostication"
"12","commandement","leape","death","reuised","compared","maiesties","sermon"
"13","forth","translations","true","commandement","speciall","queene","thomas"
"14","bible","compared","christian","tongues","citty","prince","1612"
"15","generally","god","thomas","diligently","bissextile","last","crosse"
"16","queenes","directions","church","speciall","leape","man","god"
"17","letters","reuised","together","calculated","london","former","almanacke"
"18","compared","lord","preacher","blank","tongues","saint","sermons"
"19","seruing","1619","containing","leape","realme","diuinitie","serue"
"20","calculated","essex","last","statutes","leape-yeare","good","life"
"21","lord","calculated","english","whereas","white","originall","meridian"
"22","bissextile","whole","sermons","king","lord","word","relation"
"23","latitude","set","minister","realme","maiesties","children","composed"
"24","realme","containing","prince","generally","statutes","christian","together"
"25","king","bissextile","england","god","composed","testament","good"
"26","newes","holy","holy","bissextile","diligently","mans","whole"
"27","executed","latitude","life","latitude","calculated","nature","set"
"28","leape-yeare","next","kings","restraint","newly","sermons","english"
"29","within","rules","christ","pole","latitude","speciall","third"
"30","white","loue","diuinitie","neue","commandement","discourse","paris"
"31","london","generally","french","former","blank","diuinity","pleasant"
"32","statutes","britaine","good","leap","computation","reuised","comfort"
"33","edward","downe","according","raigne","sorts","knight","gentleman"
"34","south","leape-yeare","set","greeke","pole","diligently","man"
"35","sometimes","speciall","diuers","churches","leap","acted","generally"
"36","execution","place","vse","nundinis","bible","gods","1614"
"37","royall","sundry","proclamation","aswell","reuised","concerning","repentance"
"38","christs","king","present","bible","king","generall","exposition"
"39","francis","whereas","certaine","1620","whereas","compared","neere"
"40","1616","south","generall","great","pleasant","paules","diuine"
"41","1619","inne","right","quæ","student","letter","mans"
"42","colledge","former","prognostication","sauiour","england","scriptures","nature"
"43","pole","maiesties","maiestie","hieron","honorable","diuine","prince"
"44","diligently","gathered","booke","leape-yeare","generally","diuided","brittaine"
"45","kingdome","virginia","newly","collected","old","religion","diuinitie"
"46","leap","found","concerning","britaine","persons","called","briefe"
"47","particular","testament","almanacke","england","tables","paris","short"
"48","articles","especially","whole","worlds","women","right","betweene"
"49","testament","third","master","plantation","famous","meditations","saint"
"50","1615","noble","faith","mathematicks","dade","worthy","world"
"51","citty","company","parts","new","hauing","noble","oxford"
"52","iustice","shewing","doctor","originall","citie","highnesse","forth"
"53","vnited","pole","treatise","ladie","former","translations","wife"
"54","1613","according","man","1617","highnesse","commandement","pauls"
"55","lately","scotland","former","doctor","sauiour","george","1613"
"56","states","diuers","within","ireland","woodhouse","betweene","foure"
"57","bishops","1620","sir","student","bretnor","bible","description"
"58","maister","vnder","1613","queene","iustices","states","arts"
"59","characters","leap","1612","city","south","maiestie","rules"
"60","ladies","read","crosse","romish","1617","forme","plaine"
"61","emperour","hee","excellent","queenes","restraint","christians","loue"
"62","lawfull","queene","france","ships","receiuing","old","deliuered"
"63","true","highnesse","queene","iustices","neue","sonne","calculated"
"64","speciall","townes","euery","publike","almanack","declaration","copie"
"65","law","henry","honourable","lawfull","comedie","charles","christians"
"66","betwixt","city","times","priuilegio","seruing","saluation","acted"
"67","places","vses","kingdome","notes","officers","euery","questions"
"68","last","diseases","serue","1618","gent","seruants","generall"
"69","dade","seruing","time","almanack","1618","either","gent"
"70","honest","christ","godly","commentarie","beginning","worke","worthy"
"71","suffolke","sermons","third","lawes","dayes","newly","leape"
"72","name","westminster","briefe","ranger","merry","march","1615"
"73","holland","therein","meridian","gilden","kalender","treatise","august"
"74","regis","learned","relation","colchester","practised","henry","times"
"75","office","court","betweene","browne","behold","pastor","since"
"76","since","queenes","saint","referred","booke","palatine","age"
"77","1614","soueraigne","annexed","popish","1620","high","funerall"
"78","historie","fiue","added","virginea","rectified","women","paules"
"79","woodhouse","word","iames","assurance","acres","queenes","onely"
"80","bretnor","mighty","bookes","bene","nundinis","lady","godly"
"81","heauenly","lamentable","world","computation","iohnson","heauenly","women"
"82","restraint","cure","gentleman","1619","musicke","sinne","discourse"
"83","flesh","maiestie","citie","orders","voyces","heauen","famous"
"84","maiesty","worke","henry","visitation","maior","church","william"
"85","englished","necessary","knight","commanded","letters","faithfully","citty"
"86","liberties","towne","forth","sundrie","granted","house","reformed"
"87","honour","phisicke","1614","note","neuer","october","student"
"88","mightie","wales","lords","appointed","greeke","countie","paul"
"89","vertuous","practitioner","religion","priuie","sacred","rich","diuinity"
"90","fellow","england","court","credibly","directions","hieron","manner"
"91","wife","certaine","deliuered","hebrew","containing","colledge","learned"
"92","honorable","dade","seuerall","south","songs","time","bissextile"
"93","notes","supper","1619","brittaine","armes","virginia","dutch"
"94","state","dedicated","gent","grace","practitioner","oxford","scripture"
"95","neue","principall","worthy","tables","monarchie","royall","church"
"96","almanack","william","testament","old","garden","daughter","latitude"
"97","mathematicks","newly","vvith","burton","1619","white-hall","1611"
"98","afflicted","woodhouse","1615","principis","yeares","copie","states"
"99","olde","bretnor","mans","fidei","called","comfortable","strange"
"100","assises","reason","profitable","kalender","notes","blank","yeares"
