"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21"
"1","act","letter","containing","act","several","act","act","whole","act","several","containing","act","several","several","added","several","john","several","act","several","parliament"
"2","god","sermon","letter","letter","new","parliament","sermon","thomas","new","new","history","letter","new","account","account","new","letter","new","letter","new","act"
"3","almanack","lord","account","thomas","containing","lord","county","act","psalms","containing","french","epistle","containing","letter","john","containing","sermon","containing","sermon","containing","thomas"
"4","majesty","king","john","religion","added","court","lords","christian","session","john","parliament","humbly","added","great","letter","account","history","john","religion","added","life"
"5","thousand","parliament","death","society","account","sir","holy","use","sermon","letter","act","king","account","sermon","great","john","lord","letter","preached","account","religion"
"6","revelation","act","whole","house","letter","honourable","preachd","english","almanack","great","royal","craftsman","john","history","sermon","letter","church","great","french","john","god"
"7","book","william","manner","god","great","house","jesus","king","county","sermon","remarks","poem","letter","lord","history","great","london","history","parliament","letter","death"
"8","thomas","england","poems","reason","sermon","majesty","university","god","john","history","present","majestys","great","church","lord","sermon","english","lord","reverend","great","persons"
"9","reason","considered","history","christianity","history","ballad","church","peace","tables","lord","true","parliament","sermon","london","church","lord","present","church","right","sermon","viz"
"10","scripture","richard","poem","almanack","lord","lady","account","book","preachd","church","concerning","theatre","history","present","london","church","king","london","answer","history","law"
"11","request","considerd","lady","death","church","almanack","relation","church","1728","london","state","gracious","lord","king","english","london","right","english","defence","lord","method"
"12","sermon","likewise","treaty","great","london","commons","psalms","tables","testament","english","britain","acts","church","whole","present","english","parliament","king","bishop","church","christ"
"13","testament","table","acted","vi","english","english","laws","kings","repairing","present","majestys","liberty","london","right","king","king","life","whole","remarks","london","christian"
"14","reign","1729","list","old","present","majestys","book","particular","whole","king","curious","opera","english","parliament","whole","right","act","right","honourable","english","peace"
"15","majestys","use","added","treaty","king","chair","protestant","rector","table","whole","observations","repairing","present","life","right","parliament","concerning","parliament","christian","present","discourse"
"16","preached","remarkable","theatre-royal","true","whole","gentleman","sermons","ancient","sermons","right","nature","county","king","act","parliament","life","honourable","life","true","king","sermon"
"17","psalms","list","drury-lane","creation","right","britain","thomas","sermon","english","parliament","shewing","diary","whole","concerning","life","act","william","act","nature","whole","shewing"
"18","theatre-royal","reverend","sermon","theatre-royal","parliament","list","plain","nature","parish-church","life","letter","quakers","right","honourable","act","concerning","remarks","concerning","preachd","right","trade"
"19","treatys","making","almanack","remarks","life","ireland","poor","essay","treatys","act","collection","addressd","parliament","william","concerning","honourable","thomas","honourable","original","parliament","others"
"20","metre","pamphlet","particular","state","act","song","preached","letters","four","honourable","king","great","life","remarks","honourable","william","england","william","majestys","life","subjects"
"21","doctrine","samuel","tragedy","servants","concerning","musick","spiritual","copper","parts","william","whole","marriages","act","thomas","william","remarks","answer","remarks","history","act","house"
"22","county","earl","observations","town","honourable","great","treatise","almanack","practical","remarks","house","present","concerning","england","remarks","thomas","method","thomas","church","concerning","set"
"23","hopkins","discourses","true","majestys","william","bishop","reverend","1726","places","thomas","compleat","caleb","honourable","answer","thomas","england","reverend","england","laws","honourable","county"
"24","sternhold","france","comedy","christ","remarks","containing","acts","common","god","england","authors","impartial","william","method","england","answer","french","answer","particularly","william","divine"
"25","reverend","tables","gentlemen","friend","thomas","opera","considerd","bishop","rates","answer","every","danvers","remarks","use","answer","method","religion","method","concerning","remarks","principles"
"26","musick","memoirs","ballad","good","england","session","every","university","thursday","method","natural","dissenters","thomas","reverend","method","use","true","use","considered","thomas","practical"
"27","churches","theatre-royal","shewing","occasiond","answer","craftsman","service","introduction","bible","use","original","consideration","england","french","use","reverend","preachd","reverend","friend","england","reign"
"28","repairing","case","duke","called","method","comedy","duties","creation","statutes","reverend","modern","preventing","answer","religion","reverend","french","god","french","relating","answer","occasioned"
"29","tunes","foreign","meeting","britain","use","town","request","county","seven","french","poem","giving","method","true","french","religion","general","religion","making","method","considered"
"30","bissextile","character","servants","humbly","reverend","curious","prevent","college","roads","preachd","collected","theatre-royal","use","preachd","religion","true","original","true","essay","use","making"
"31","treaty","taken","divine","john","french","royal","gospel","relating","dictionary","together","kings","people","reverend","together","true","preachd","royal","preachd","rector","reverend","france"
"32","intituled","enquiry","preached","answer","religion","member","therein","france","hopkins","god","old","repeal","french","god","preachd","together","parts","together","request","french","memoirs"
"33","leap-year","charles","performd","chair","true","knights","earl","preachd","collection","general","commons","promotions","religion","general","together","god","christian","god","liberty","religion","foreign"
"34","vindicated","times","young","marriage","preachd","vicar","houses","liberty","betwixt","state","death","removals","true","state","god","general","poem","general","relation","true","lord"
"35","acted","liberty","merry","divine","together","poem","1726","necessary","preached","original","illustrated","proposal","preachd","original","general","state","majestys","state","discourse","preachd","taken"
"36","rising","cambridge","curious","sermon","god","westminster","july","rules","reign","parts","description","acted","together","royal","state","original","old","original","epistle","together","liberty"
"37","planets","1730","compleat","opera","general","diary","majestys","principles","notes","christian","world","called","god","parts","original","royal","curious","royal","cases","god","forth"
"38","gospel","town","chair","craftsman","state","university","collected","plates","eclipses","poem","epistle","paper","general","christian","royal","parts","sir","parts","county","general","general"
"39","life","forth","betwixt","bishop","original","reign","diary","law","robin","majestys","laws","proclamation","state","poem","parts","christian","george","christian","christianity","state","human"
"40","christ","directions","love","affairs","royal","bill","land","psalms","songs","old","law","leading","original","majestys","christian","poem","observations","majestys","present","original","m.a"
"41","redemption","reason","famous","preached","parts","repairing","parish-church","reign","june","curious","vindication","domestick","royal","old","poem","majestys","time","old","scripture","royal","whole"
"42","proclamation","writings","verses","better","christian","right","lives","william","proclamation","sir","company","happend","parts","sir","majestys","old","preached","sir","publick","parts","theatre"
"43","chapel","m.a","given","intitled","poem","proceedings","1733","minister","clerks","george","likewise","better","christian","george","old","curious","nature","george","law","christian","cases"
"44","thomson","theatre","tho","improvement","majestys","rector","forth","sorts","bissextile","observations","earl","parentage","poem","observations","curious","sir","publishd","time","great","poem","dissertation"
"45","ballads","cases","friend","letters","old","every","dissenters","table","salters-hall","time","france","salters-hall","majestys","time","sir","george","collection","nature","duties","majestys","christianity"
"46","bridge","preachd","enquiry","love","curious","transactions","another","demonstrated","july","preached","memoirs","bridge","old","preached","george","observations","house","shewing","court","old","love"
"47","abraham","christianity","others","scripture","sir","tragedy","gentleman","justices","musick","nature","theatre-royal","duck","curious","nature","observations","time","manner","publishd","vindication","curious","ladies"
"48","watts","hundred","people","ballad","george","noble","repairing","westminster","cathedral","shewing","case","register","sir","shewing","time","preached","book","collection","state","sir","scripture"
"49","lincolns-inn","love","diary","duties","observations","making","extracted","illustrated","raising","publishd","eminent","entertaining","george","publishd","preached","nature","bishop","house","lady","george","justice"
"50","defence","oxford","knowledge","drury-lane","time","earl","temporal","lord","kinds","collection","years","hay-market","observations","collection","nature","shewing","county","manner","christ","observations","duties"
"51","amending","john","occasiond","particulars","preached","chaplain","set","third","twenty","house","enquiry","reasons","time","house","shewing","publishd","majesty","book","vindicated","time","plain"
"52","drama","1732","body","discourse","nature","merry","office","cambridge","bridge","manner","defence","offerd","preached","manner","collection","collection","essay","bishop","father","preached","duke"
"53","societies","ladies","considerations","vindicated","shewing","pieces","m.a","world","ely","book","charles","amending","nature","book","house","house","death","county","view","nature","almanack"
"54","departed","1728","quality","betwixt","publishd","adventures","dialogue","method","road","bishop","several","peers","shewing","bishop","manner","manner","proper","relating","occasiond","shewing","poor"
"55","hymns","grand","nation","gracious","house","last","commissioners","popery","estates","county","cambridge","address","publishd","county","book","book","persons","britain","member","publishd","moral"
"56","acts","acts","affairs","france","manner","noted","oxford","intituled","1734","relating","william","reign","collection","relating","bishop","bishop","viz","court","impartial","collection","impartial"
"57","prefixd","celebrated","religion","jews","book","foreign","ministers","together","comfort","britain","writings","drama","house","britain","county","county","publick","majesty","vicar","house","jesus"
"58","samuel","scripture","state","given","bishop","verses","persons","learned","churches","court","human","street","manner","court","relating","relating","law","essay","poem","manner","called"
"59","sixth","notes","manners","man","county","theatre","december","practice","tunes","majesty","cases","sold","book","majesty","britain","britain","useful","death","doctrine","book","introduction"
"60","human","justice","viz","jesus","relating","humours","statutes","mentioned","moliere","essay","particular","rank","bishop","essay","court","court","best","proper","objections","bishop","doctrine"
"61","protestant","together","remarkable","world","britain","pictures","brief","cases","shakespear","death","christianity","effectual","county","death","majesty","majesty","country","persons","samuel","county","preached"
"62","chubb","ballad","characters","enquiry","court","mayor","better","christianity","collected","proper","hundred","mentioned","relating","proper","essay","essay","letters","viz","earl","relating","creation"
"63","1731","private","genuine","parts","majesty","celebrated","servants","professor","sternhold","persons","ladies","civil","britain","persons","death","death","years","publick","man","britain","objections"
"64","houses","done","royal","musick","essay","robin","scotland","christ","usum","viz","celebrated","sung","court","viz","proper","proper","last","law","gentlemen","court","progress"
"65","granting","henry","sir","principles","death","gold","places","oxford","justices","publick","large","song","majesty","publick","persons","viz","order","useful","life","majesty","proceedings"
"66","compared","duties","doctrine","easy","proper","cambridge","ireland","thousand","holy","law","drury-lane","moliere","essay","law","viz","publick","defence","best","sir","essay","twenty"
"67","people","drury-lane","family","poem","persons","copy","christ","antient","duties","useful","copper","proceedings","death","country","publick","law","particularly","country","stated","death","1733"
"68","roads","plain","france","church","viz","metre","notes","parts","choice","best","almanack","majesty","proper","years","law","useful","christ","letters","january","proper","parish"
"69","chiefly","copper","ode","duty","publick","former","excellency","explaind","morning","country","names","comedy","persons","last","best","best","particular","years","peace","persons","variety"
