"","X1","X2","X3"
"1","begynneth","diligentissime","ordinale"
"2","treatyse","recognitorum","manipulus"
"3","henrici","hymnorum","curatorum"
"4","termino","vsnm","essendi"
"5","boke","elucidationibus","ens"
"6","lorde","aucta","indicatiuo"
"7","god","expositio","plr"
"8","kynge","anni","feodi"
"9","anglie","totius","simplicis"
"10","ecclesie","sarum","littera"
"11","henry","intrationum","atturnatoria"
"12","incipit","excellentissimus","carta"
"13","vsum","perquam","sarum"
"14","lytell","necessarius","intrationum"
"15","sancte","legum","excellentissimus"
"16","called","hominibus","perquam"
"17","regis","continens","necessarius"
"18","holy","medullam","legum"
"19","edwardi","diuersarum","hominibus"
"20","yere","materiarum","continens"
"21","souerayne","executionum","medullam"
"22","diuina","vtilium","diuersarum"
"23","pasche","librum","materiarum"
"24","trinitatis","inscrutandis","executionum"
"25","francie","supradicta","vtilium"
"26","moost","facilitate","librum"
"27","magistri","inueniri","inscrutandis"
"28","liber","indicem","supradicta"
"29","permissione","alphabeticum","facilitate"
"30","domini","peruigilanti","inueniri"
"31","history","studio","indicem"
"32","excellent","confectum","alphabeticum"
"33","commento","ordinem","peruigilanti"
"34","fader","redactum","studio"
"35","statuta","cantuariensis","confectum"
"36","insignis","tocibus","ordinem"
"37","quarti","legatus","redactum"
"38","oure","meneuensis","cantuariensis"
"39","whiche","emptus","tocibus"
"40","usum","regno","legatus"
"41","foloweth","dominijs","meneuensis"
"42","saynt","sanctissimi","emptus"
"43","margarete","iulij","regno"
"44","moder","nominis","dominijs"
"45","countesse","pape","sanctissimi"
"46","libellus","secundi","iulij"
"47","uniuersis","commissarij","nominis"
"48","ryght","generales","pape"
"49","noble","mirroure","secundi"
"50","necnon","golde","commissarij"
"51","breuium","synfull","generales"
"52","inspecturis","co-missarius","mirroure"
"53","archiepiscopus","genalis","golde"
"54","sancti","opus","synfull"
"55","kalender","constitutiones","co-missarius"
"56","marie","abbreuiamentum","genalis"
"57","primo","statutorum","opus"
"58","folowynge","breue","constitutiones"
"59","regni","esopus","abbreuiamentum"
"60","oratio","optimo","statutorum"
"61","moste","morali","breue"
"62","vniuersis","epistola","esopus"
"63","named","barnardi","optimo"
"64","full","abbatis","morali"
"65","compyled","clareuallensis","epistola"
"66","doctor","utilissima","barnardi"
"67","pryncesse","moralissima","abbatis"
"68","derby","bona","clareuallensis"
"69","modus","gubernatõne","utilissima"
"70","baronis","familie","moralissima"
"71","littere","xp̃ianis","bona"
"72","thomas","ffestiualis","gubernatõne"
"73","henricum","iustices","familie"
"74","regem","peas","xp̃ianis"
"75","septimum","charge","ffestiualis"
"76","doctoris","processe","iustices"
"77","vi","cessions","peas"
"78","horae","warrantes","charge"
"79","gesta","supersedias","processe"
"80","romanorum","longeth","cessions"
"81","principem","ony","warrantes"
"82","hybernie","iustyce","supersedias"
"83","presentes","endytementes","longeth"
"84","sermo","haute","ony"
"85","fratris","petyt","iustyce"
"86","matris","felonyes","endytementes"
"87","michaelis","appeles","haute"
"88","prynce","statutes","petyt"
"89","pater","pacem","felonyes"
"90","commaundementes","nocumentis","appeles"
"91","dominus","dyuers","statutes"
"92","crysten","thynges","pacem"
"93","valde","appereth","nocumentis"
"94","literarum","benygne","dyuers"
"95","willemus","grace","thynges"
"96","primas","power","appereth"
"97","apostolice","vertue","benygne"
"98","sedis","july","grace"
"99","robertus","seconde","power"
"100","hec","lyeutenaunt","vertue"
