"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34"
"1","wesley","cuba","dibdin","bowless","rybot","clean","act","olive","barthelemon","babylons","witches","margettss","roachs","house","scales","cheap","revenue","prospectus","huntington","philoctetes","amateur","zanfara","bye-laws","depositions","paley","novel","panorama","indigestion","yearly","bigland","almanack","pindar","shakspere","brodum"
"2","cokes","hispaniola","appraisers","hydraulic","newsmans","nothing","certain","sion","2da","1753","macleods","observd","college","commons","meredith","onesimus","baronets","humes","s.s","lemnos","boxing","considering","brady","lodgings","geddes","literature","informed","debility","educated","monumental","bissextile","peter","steevens","indiscretions"
"3","extract","currents","minutest","atlantic","gel","neighbour","county","colourman","indian","publisher","augens","obtaind","french","report","protractor","cock-fighter","offices","towers","chapel","oxoniensis","townshend","blessedness","tate","wilmot","jamaica","politics","glance","digestive","promoting","genealogical","leap-year","paine","sam","hamley"
"4","kempis","amazones","half-year","windward","adultery","meditation","majesty","church-street","bacon","acquire","magicians","horary","history","bengal","proportional","maclean","correct","proposal","gospel","disertore","manly","legislation","version","manuels","sowerby","harrisons","hanworth","squirrell","cathedral","thefr","brady","greenwood","commentators","tuscan"
"5","benson","bermudas","nazarene","penmanship","executor","fight","within","gallipoli","satire","revolutions","superintendency","moon","charades","india","lightning","highwayman","calas","superb","providence","tarchi","talker","chelmsford","glass","drawing-room","hanwell","pierce","feltham","organs","sons","ench","olympia","jockey","geo","a-commission"
"6","city-road","caribbee","charlston","pilot","quarter-sessions","briefly","reign","neats-foot","six","dawn","pf","refraction","enigmas","hastings","dials","repository","universities","publishing","rev","adjudications","intelligent","thomson","psalms","disclosure","parsleys","meriton","rusteds","bathing","charity-schools","ralph","dōmata","auction","bells","comedians"
"7","pattern","dellawar","parvo","gulf","alicia","duty","canal","colfe","virtues","buckland","spritis","distance","sermons","committee","optical","amuse","law","kippis","dalrymple","ruptures","procured","eighth","david","washborns","picturesque","new","pabulum","wall","clergy","chowbent","tycho","trial","annotations","corps-with"
"8","methodists","ebbing","brokerage","pownall","schoole","wish","granting","divised","salisbury","woodcock","darkness","channel","fever","agriculture","gunters","story","complete","l.l.d","christ","deference","festival","eighteenth","tariff","belmore","neale","classicks","1479","gout","paul","unitarianism","merlinus","congress","classical","machinations"
"9","coke","leeway","highnesses","hackney-coach","conte","forth","making","1656","play","nostradamus","malcolm","parallax","writers","treaty","marquois","teachwell","public","continuation","monkwell-street","blakey","flourished","princess","usefulness","ancram","infantry","pigeons","deceived","dropsy","1721","collections","liberatus","club","johnson","petty-fogging"
"10","wesleys","heave","preservative","sailing","entrance","heart","intituled","deuce","cantos","1555","tremendous","azimuth","illustrated","warren","halstead","folk","nodder","andrew","titchfield-street","judicious","eminence","dramatic","polished","enniskillen","`","whole","sympathy","affected","trustees","davids","ouranios","treason","fugitive","terriers"
