"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12"
"1","act","act","act","lord","lord","lord","act","lord","parliament","act","preached","christ"
"2","parliament","parliament","god","god","god","god","ordered","christ","act","people","sermon","people"
"3","people","forthwith","lord","christ","parliament","christ","parliament","parliament","ordered","declaration","minister","called"
"4","lord","ordered","use","parliament","john","parliament","forthwith","england","gospel","truth","1660","quakers"
"5","truth","forth","sermon","john","shewing","john","called","together","forthwith","spirit","gent","truth"
"6","council","called","work","england","christian","england","king","london","christ","ordered","reverend","light"
"7","ordinance","people","forth","great","gods","great","scobell","church","lord","1656","london","god"
"8","priests","scobell","name","together","whole","together","declaration","people","forth","forthwith","sermons","spirit"
"9","commonwealth","army","spirit","london","manner","london","clerk","king","world","book","church","come"
"10","likewise","testimony","london","true","letter","true","highness","minister","council","lord","physick","minister"
"11","name","spirit","preached","church","others","people","law","new","clerk","end","meridian","world"
"12","forthwith","god","light","people","peace","king","council","english","scobell","commonwealth","excellent","word"
"13","scobell","light","meridian","king","county","minister","priests","gospel","highness","england","bissextile","true"
"14","1653","answer","forthwith","minister","order","new","quakers","sermon","quakers","christ","learned","cleared"
"15","testimony","clerk","calculated","new","faith","english","james","forth","called","judges","added","jesus"
"16","hen","september","contained","english","holy","several","light","william","pastor","names","usefull","scobell"
"17","spirit","truth","called","several","london","gospel","false","preached","given","clerk","calculated","priests"
"18","highness","true","order","gospel","richard","concerning","17th","called","false","living","john","preacher"
"19","god","sent","ordered","concerning","discourse","sermon","september","thomas","thousand","liberty","exact","forth"
"20","letter","cleric","according","sermon","sermons","forth","protector","answer","truth","scobell","pastor","false"
"21","law","lord","scotland","forth","old","william","thursday","present","tuesday","collection","almanack","vindication"
"22","found","declaration","plain","william","declaration","preached","warning","truth","officers","government","observations","power"
"23","clerk","man","book","preached","spirit","called","france","act","kent","quakers","m.a","manifest"
"24","declaration","fox","rules","called","saints","thomas","truth","word","army","council","collected","ministry"
"25","justice","lost","almanack","thomas","divine","answer","wednesday","book","god","heart","history","see"
"26","ordered","commons","words","answer","religion","truth","testimony","life","orders","places","preacher","richard"
"27","persons","17th","therein","present","light","act","received","good","fleet","points","severall","1654"
