"","X1","X2","X3","X4","X5","X6","X7"
"1","proclamation","acres","parthenia","hall","sermons","prognostication","cut-throate"
"2","king","yeares","maydenhead","venice","preached","almanacke","padstow"
"3","translations","millions","virginalls","visitation","life","meridian","afterwardes"
"4","testament","towards","gentilmen","sermon","preacher","leape","closse"
"5","diligently","true","ma:ties","iosuah","learned","serue","torrington"
"6","compared","fire-wood","musick","syluester","selues","statutes","1606"
"7","speciall","relation","hole","teares","boys","rectified","papist"
"8","bible","timber","dorethie","hieron","sermon","generally","shamefull"
"9","tongues","prince","euans","church","exposition","lord","steeuen"
"10","reuised","dutch","byrd","decads","master","latitude","church-yard"
"11","commandement","ground","orlando","paul","godly","neue","tragical"
"12","maiesties","iests","gibbons","panaretus","pauls","seruing","fites"
"13","blank","malcontent","ingrauen","ilands","godlie","calculated","fitz"
"14","restraint","derry","priuilegio","bookes","vniuersity","bissextile","call"
"15","whereas","burning","maisters","consent","died","pole","babylonians"
"16","former","women","masters","iuly","lay","leap","no-body"
"17","officers","fraunce","louers","point","indeed","brittaine","some-body"
"18","greeke","conceites","bull","ladies","deed","computation","elydure"
"19","realme","pleasant","illustrious","wherin","hieron","phisicke","fortunately"
"20","originall","maintaine","chappell","right","word","practitioner","popes"
"21","scotiæ","flyer","william","lute","resolue","reigate","downefall"
"22","angl","high","euer","royall","crosse","almanack","parricide"
"23","orders","merry","dedicated","wicked","christians","south","cornewall"
"24","graine","virginea","musicke","reasons","diuinitie","dade","woodhouse"
"25","parliament","conuerted","composed","samuel","dod","1614","symonds"
"26","eating","key","famous","grimeston","ecclesia","new","m.dc.vi"
"27","almoner","entertainement","iohn","preached","edmund","woodhouse","bloudie"
"28","franciæ","briefely","jewell","essayes","schoole","1615","desperate"
"29","execution","discipline","featley","deliuerance","samuel","keene","garnet"
"30","ireland","horse","avthoritie","i.h","perused","magna","queens"
"31","next","mighty","chvrch","stript","bachelar","charta","clarke"
"32","conteyning","aforesaid","greene","whipt","happinesse","eleuation","crowned"
"33","flesh","taking","yard","satirical","cleauer","colchester","inclination"
"34","⁰","spaine","fran","indice","doctour","yarmouth","deuon"
