"","X1","X2","X3"
"1","begynneth","dyaloge","begynneth"
"2","vvhitintoni","regni","michaelis"
"3","roberti","good","henrici"
"4","verborum","law","god"
"5","treatyse","regis","whiche"
"6","named","purgatory","lorde"
"7","body","termino","pasche"
"8","noble","treateth","roberti"
"9","quarti","laten","treatyse"
"10","kyng","translatyd","edwardi"
"11","fraunce","uryne","treateth"
"12","ioannis","lerne","dyaloge"
"13","liber","hys","maner"
"14","nominum","vicesimo","sexti"
"15","saynt","purgatorye","euery"
"16","libri","famous","regis"
"17","presentes","honorable","vvhitintoni"
"18","signifye","new","holy"
"19","vryn","michaelis","moost"
"20","lytell","proclamation","verborum"
"21","interprete","lerned","called"
"22","englande","englishe","theyr"
"23","angliæ","englisshe","regni"
"24","sancte","heresies","named"
"25","called","aduise","body"
"26","dictionum","highnes","noble"
"27","interliniari","diuysed","vi"
"28","calumniatorem","shal","statutes"
"29","humiliabit","decimo","thomas"
"30","xylographic","quarto","curiam"
"31","come","urynes","modus"
"32","hye","legum","compyled"
"33","galeni","mannys","fyrst"
"34","literarum","immortalyte","man"
"35","nuperrime","seconde","quarti"
"36","inspecturis","dyalogys","sayd"
"37","uniuersis","deuyded","newly"
"38","henry","philosophye","henry"
"39","wherof","reason","yere"
"40","surgery","naturall","tenendi"
"41","maysters","dysputynge","fraunce"
"42","gyueth","turke","ioannis"
"43","sekenesses","gyngemyn","liber"
"44","worke","comyngo","nominum"
"45","syllabarum","dysputacyon","famous"
"46","mediarum","priuilegio","corrected"
"47","oxoniensi","whiche","people"
"48","florentissima","boke","latyn"
"49","supinis","dyuers","libellus"
"50","præteritis","primo","dyuers"
"51","vt","breuium","saynt"
"52","prima","sheweth","libri"
"53","rule","great","presentes"
"54","distichon","doctour","opus"
"55","vsum","sermon","bokes"
"56","erasmo","hillarii","certayne"
"57","linacro","e.iiii","proclamation"
"58","commaundement","indulto","parlyament"
"59","alexander","moche","soule"
"60","loue","luther","good"
"61","pergameni","mayster","law"
"62","honour","die","christen"
"63","lutheri","whether","signifye"
"64","frater","almayne","vryn"
"65","verses","thys","lytell"
"66","soueraygne","tullius","interprete"
"67","grammatices","supplycacyon","englande"
"68","generibus","septimi","angliæ"
"69","litteras","moste","sancte"
"70","ecclesie","expressed","lately"
"71","caumpeden","tonges","thynges"
"72","ccc.lxv","vulgar","grace"
"73","noumber","scripture","helthe"
"74","contayned","hauinge","vertuous"
"75","worldly","prohibitinge","pope"
"76","natural","erronious","agaynst"
"77","questions","dampning","iohan"
"78","answeris","children","honorable"
"79","aungell","maister","places"
"80","profycyes","tenthe","xiiii"
"81","noe","leo","foloweth"
"82","diuynyte","bulle","rede"
"83","hurt","ordinance","syr"
"84","dyd","reteynyng","primo"
"85","trinite","kepyng","sir"
"86","venym","hereticke","magistri"
"87","stronge","martyn","breuium"
"88","dronke","holdynge","thyrde"
"89","syght","heretickes","sheweth"
"90","confoundyd","concernynge","thre"
"91","sydracke","sonday","purgatory"
"92","boccus","quinquagesom","new"
"93","franam","commandment","dictionum"
"94","vyctor","paulis","interliniari"
"95","deuocyon","beggars","calumniatorem"
"96","holynes","counsaile","humiliabit"
"97","mā","kyngis","xylographic"
"98","doctoure","mense","come"
"99","contemplacyon","secundo","hye"
"100","myghtes","tertii","galeni"
