"","X1","X2","X3","X4","X5","X6"
"1","boke","englande","foloweth","boke","reigne","god"
"2","man","wyth","quene","kynges","henrici","yere"
"3","whiche","reigne","highnes","maner","irelande","lorde"
"4","termino","hys","continued","godly","parliament","moste"
"5","henrici","gathered","maiestie","hys","maiestie","churche"
"6","doctor","irelande","mariæ","gathered","daie","englande"
"7","herbes","yere","souereigne","yere","termino","reigne"
"8","howe","kynges","maiesties","called","westminster","thomas"
"9","maner","fraunce","churches","whiche","holden","grace"
"10","regis","westminster","fraunce","vi","england","maner"
"11","christian","holden","ireland","henry","highnes","godly"
"12","betwene","lorde","kynges","newly","continued","hys"
"13","father","grace","reigne","henrici","quene","euery"
"14","newly","continued","quenes","wyth","fraunce","actes"
"15","knowe","parliament","proclamacion","scripture","yere","man"
"16","wherin","foloweth","dissolution","moste","proclamacion","gathered"
"17","necessarye","god","letters","daie","kyng","england"
"18","theyr","euery","aduise","termino","moste","daye"
"19","god","actes","furthe","christen","furth","irelande"
"20","begynneth","supreme","counsaill","man","kinges","necessary"
"21","godlye","daye","psalmes","howe","ireland","london"
"22","godly","herbes","edward","psalmes","suche","holy"
"23","kynge","betwene","persones","herbes","regis","maiestie"
"24","good","common","vi","noble","primo","iohn"
"25","agaynst","certayne","actes","holy","session","fraunce"
"26","thys","necessarye","sexti","wherin","london","called"
"27","quene","ireland","daie","dauid","grace","whiche"
"28","regni","session","furth","corrected","actes","vi"
"29","blessed","subiectes","kept","kynge","englande","henry"
"30","quenes","proclamacion","proclamation","treatise","honorable","westminster"
"31","true","vsed","set","proclamacion","declared","holden"
"32","mariæ","kynge","moneth","sermon","regni","newly"
"33","fayth","drawen","dominions","christ","quenes","henrici"
"34","michaelis","churches","rites","set","present","kynge"
"35","treatyse","forth","ceremonies","famous","mariæ","newe"
"36","octaui","kyng","curates","byble","maiesties","christ"
"37","englysshe","prayer","gratious","drawen","churche","kyng"
"38","defender","englyshe","head","kinges","michaelis","tyme"
"39","profytable","agaynst","saied","sexti","edward","englyshe"
"40","almanacke","kept","cure","englishe","fayth","continued"
"41","london","acte","kinge","christian","god","notable"
"42","holy","concernyng","parlamente","metre","sexti","honorable"
"43","wyth","godly","sette","thys","octaui","realme"
"44","enacted","edwarde","supreme","lordes","secundo","oure"
"45","ladye","testament","earth","vse","anthony","parliament"
"46","christians","oure","saye","knowe","appoynted","scripture"
"47","worlde","daie","somerset","reader","defender","foloweth"
"48","fyrste","faith","princes","concernyng","defence","daie"
"49","mary","declared","naples","begynneth","princes","good"
"50","compyled","redde","marye","table","proclamation","maiesties"
"51","excellent","christen","protector","declared","realme","termino"
"52","christen","mariæ","prosperous","true","supreme","christen"
"53","places","marche","homilies","maister","acte","theyr"
"54","called","euerye","administracion","master","concernyng","whole"
"55","fyrst","curates","englande","frenche","ladye","howe"
"56","dissolution","psalter","grace","wherunto","begon","english"
"57","uryne","scriptures","irelande","shal","certain","statutes"
"58","soueraigne","soueraygne","england","defendour","doctour","highnes"
"59","annexed","olde","dauid","greate","sermons","doctor"
"60","bokes","new","begon","bothe","mary","supreme"
"61","mooste","maye","mary","psalter","duke","herbes"
"62","holye","head","edwarde","certayne","dissolution","betwene"
"63","reuerende","edward","duke","michaelis","doctrine","father"
"64","primo","statutes","flaunders","dyuers","aduise","noble"
"65","reade","highnes","counties","scriptures","furthe","furth"
"66","added","churche","dukes","olde","counsaill","great"
"67","master","astronomye","austria","new","noble","places"
"68","urynes","begonne","vycars","people","faith","quene"
"69","iohan","tyroll","ensuing","time","die","present"
"70","synge","braband","royall","souereigne","gracious","common"
"71","masse","myllayn","realmes","edward","drad","wherin"
"72","letter","archedukes","kepe","doctor","nouember","moost"
"73","beynge","cycilie","churche","treatyse","tertio","body"
"74","die","metropolitane","nouember","octaui","dominions","sacrament"
"75","mayster","primate","seconde","englysshe","rites","fayth"
"76","reader","canterbury","westminster","christe","king","ireland"
"77","reygne","spirituall","counsail","lesse","earth","suche"
"78","body","profite","haspurge","englysh","philippi","dauid"
"79","sacrament","kepynge","burgondie","imprinted","counsail","session"
"80","scripture","pronostication","defendours","instruction","commons","corrected"
"81","lately","prynted","jerusalem","learne","laste","treatise"
"82","philippi","neuer","francoys","anthony","prophet","subiectes"
"83","weale","mete","accomptes","appoynted","october","proclamacion"
"84","askham","w.c","defendor","sacramentes","marche","vsed"
"85","sonne","stilled","redde","furth","defendour","sermon"
"86","verye","shold","byble","profytable","curates","famous"
"87","wyllyam","sedes","sermons","almanacke","statutes","profitable"
"88","clerke","floures","honorable","supper","daye","drawen"
"89","loue","propreties","philip","whych","pasche","churches"
"90","john","holsom","spayne","somerset","hen","compyled"
"91","dyuers","urynall","copy","present","spayne","kinges"
"92","soueraygne","therin","forme","thomas","therof","prayer"
"93","lady","presentmentes","dayes","sheweth","excellente","sexti"
"94","sermon","processes","astronomye","archebyshop","nexte","excellent"
"95","vertue","entreis","begonne","woorde","robert","regis"
"96","moone","fourmes","tyroll","practise","soueraygne","christian"
"97","herball","lete","braband","temporall","maye","agaynst"
"98","knowen","baron","myllayn","nouembris","compiled","metre"
"99","generall","together","archedukes","inchoati","persones","thys"
"100","hole","agayne","cycilie","diuersas","lady","primo"
