"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21"
"1","letter","county","several","act","act","sermon","several","act","several","whole","preachd","sermon","sermon","together","added","several","several","act","religion","sermon","act"
"2","john","act","new","psalms","persons","lord","new","possessed","new","act","sermon","lord","act","whole","letter","new","sermon","poem","county","right","parliament"
"3","life","account","john","sermons","church","added","account","seized","john","parliament","god","church","church","king","use","john","lord","letter","publick","lord","english"
"4","poem","benefit","account","tunes","preachd","great","containing","almanack","account","history","church","history","parliament","england","whole","containing","added","parliament","original","preachd","containing"
"5","account","1722","containing","sermon","answer","english","sermon","estate","containing","french","act","preachd","honourable","reverend","lately","sermon","english","repairing","particular","reverend","great"
"6","remarks","relating","sermon","book","city","church","lord","duties","added","new","preached","john","right","life","society","lord","church","journal","remarks","letter","lord"
"7","friend","viz","lord","new","person","london","added","inventory","great","royal","christ","reverend","preachd","french","vi","added","history","relation","royal","god","commons"
"8","people","kings","added","tables","use","history","great","personal","english","containing","sermons","life","life","thomas","father","great","letter","majestys","relating","act","house"
"9","memoirs","england","great","making","christian","letter","english","thomas","church","observations","rector","french","reverend","true","remarkable","english","right","acted","book","publishd","history"
"10","book","law","english","repairing","god","right","church","churches","london","old","book","thomas","true","william","set","church","preachd","lords","answer","publick","law"
"11","society","time","church","duties","parliament","preachd","london","chattels","history","britain","1720","god","sir","publishd","every","london","together","king","essay","house","england"
"12","occasiond","letters","london","preachd","county","together","history","god","letter","remarks","practical","present","law","god","1720","history","use","great","house","england","description"
"13","age","peace","history","metre","sermon","use","letter","goods","together","collected","proper","concerning","letter","present","young","letter","whole","britain","best","majesty","company"
"14","ministers","remarkable","letter","practical","psalms","whole","right","hereditaments","use","manner","divine","time","preached","sir","practical","right","king","liberty","christian","old","french"
"15","vindicated","robert","right","preached","remarkable","king","preachd","tenements","whole","others","chaplain","persons","answer","parts","benefit","preachd","act","majesty","order","concerning","possessed"
"16","divine","person","preachd","county","1720","england","together","house","king","edition","county","bishop","commons","time","subjects","together","reverend","speech","preached","honourable","true"
"17","death","modern","together","hopkins","benefit","act","use","1720","england","years","reverend","religion","order","persons","gentlemen","king","life","comedy","observations","person","seized"
"18","short","abstract","use","sternhold","january","reverend","whole","considered","act","company","foreign","county","relating","method","taken","england","french","gracious","death","sermons","south-sea"
"19","journal","fellow","whole","testament","viz","life","king","report","reverend","kings","parts","original","rector","bishop","divine","act","thomas","births","letters","london","almanack"
"20","lately","laws","king","table","poem","french","england","june","french","exact","abstract","london","french","religion","defence","reverend","honourable","deaths","majesty","commons","britain"
"21","new","debts","england","john","christ","thomas","act","christian","thomas","collection","duty","general","discourse","county","description","life","william","addressd","old","edition","debts"
"22","full","gentlemen","act","parts","others","honourable","reverend","sermons","publishd","original","holy","answer","county","original","relation","french","publishd","proclamation","state","laws","estates"
"23","behaviour","reign","reverend","several","considerd","true","life","county","present","state","practice","essay","bishop","particular","1722","thomas","god","ballad","george","county","westminster"
"24","musick","possessed","life","daniel","south-sea","publishd","french","estates","concerning","letter","goods","best","request","remarks","private","honourable","present","craftsman","sermon","remarks","making"
"25","ballad","seized","french","almanack","friend","god","thomas","intituled","parliament","particular","possessed","december","1720","shewing","good","true","concerning","road","britain","lords","honourable"
"26","observations","right","thomas","fitted","john","present","honourable","christ","sir","shewing","directions","secret","nature","royal","occasiond","william","parliament","secret","majestys","psalms","royal"
"27","member","college","honourable","parish-church","years","concerning","true","singular","parts","majestys","1726","children","added","general","natural","god","sir","promotions","viz","essay","inventory"
"28","merry","almanack","true","hymns","man","parliament","william","majesty","time","concerning","tables","words","majestys","book","testament","present","parts","theatre-royal","collected","father","observations"
"29","pamphlet","lands","william","songs","abstract","sir","publishd","testament","persons","added","joseph","proceedings","gentlemen","answer","samuel","concerning","persons","removals","poem","parliament","lady"
"30","humbly","persons","publishd","companion","request","time","god","abstract","method","benefit","common","work","essay","essay","gentleman","parliament","method","register","law","1720","bishop"
"31","gentleman","better","god","churches","goods","persons","present","trust","bishop","description","reign","christian","defence","best","thomas","sir","bishop","called","city","preached","diary"
"32","calld","estate","present","request","rector","method","concerning","britain","collection","clergy","useful","held","westminster","christian","acted","parts","collection","tragedy","curious","benefit","lands"
"33","di","rector","concerning","passed","possessed","religion","parliament","person","religion","occasiond","general","grand","publick","order","france","time","religion","county","historical","1723","chattels"
"34","famous","particular","parliament","directions","joseph","county","sir","hopkins","county","acted","historical","according","original","preached","case","persons","county","passed","rector","subjects","exact"
"35","thomas","scotland","sir","laying","faith","publick","parts","directors","publick","france","illustrated","various","christian","observations","cases","method","publick","narrative","westminster","letters","whatsoever"
"36","robin","children","parts","comfort","oxford","original","time","sternhold","original","case","1721","october","king","death","considerd","bishop","original","jury","last","defence","court"
"37","vindication","britain","time","version","discourse","particular","persons","passed","particular","cases","parish","account","several","letters","south-sea","collection","particular","majesties","rules","january","trust"
"38","liberty","thomas","persons","acts","directors","remarks","method","repairing","remarks","south-sea","faith","physicians","cases","majesty","easy","religion","remarks","anodyne","discourse","reign","hereditaments"
"39","arabian","therein","method","masters","seized","general","bishop","lord","shewing","duke","cases","edward","william","old","march","county","royal","necklace","person","1722","tenements"
"40","youth","ancient","bishop","proclamation","intituled","relating","religion","presented","royal","march","twenty","doctrine","history","state","ireland","publick","general","sign","richard","occasiond","theatre-royal"
"41","ballads","general","collection","brady","list","book","county","trustees","general","curious","seized","scheme","holy","britain","modern","original","relating","memory","christ","gentleman","whole"
"42","physicians","world","religion","1728","almanack","answer","publick","wearing","relating","friend","henry","letter","duke","majestys","man","remarks","book","effectual","particularly","true","majesty"
"43","mathematicks","inventory","county","usum","jesus","essay","original","therein","book","ireland","psalms","preached","general","viz","abstract","shewing","answer","lover","june","william","scotland"
"44","happy","thousand","publick","whole","vicar","house","particular","sermon","answer","modern","almanack","cure","death","collected","plain","royal","essay","pair","others","acted","acted"
"45","cure","personal","original","ordinary","death","best","remarks","session","essay","earl","jesus","dissertation","man","proper","duty","general","house","ceremony","sermons","time","cambridge"
"46","genuine","society","particular","bible","minister","christian","shewing","seven","house","abstract","vicar","near","abstract","poem","publishd","relating","best","charge","commons","majestys","curious"
"47","appendix","tho","remarks","english","old","order","royal","book","best","plain","used","tunes","society","manner","god","answer","christian","drury-lane","edition","france","personal"
"48","professor","courts","shewing","granted","scripture","preached","general","leap-year","christian","debts","collected","inventory","debts","law","used","essay","order","relief","people","love","fellow"
"49","chubb","publishd","royal","robin","better","observations","relating","whatsoever","order","humbly","june","thousand","father","city","1725","house","preached","earl","years","1727","likewise"
"50","proposal","june","general","apart","churches","death","book","david","preached","kingdom","churches","grace","preface","treatise","poems","christian","observations","deceased","court","considerd","persons"
"51","recommended","acts","relating","moreover","moral","letters","answer","tho","observations","journal","estate","personal","possessed","curious","debts","order","death","bridge","laws","south-sea","useful"
"52","proving","reason","book","god","estate","majesty","essay","occasioned","death","goods","hundred","ministers","faith","historical","eminent","preached","majesty","granting","necessary","times","directors"
"53","never","transactions","answer","anodyne","estates","state","house","mentioned","letters","preface","cathedral","chief","remarks","rector","kingdom","observations","old","reign","request","duke","courts"
"54","health","diary","essay","ungodly","world","george","best","commons","majesty","possessed","estates","subject","directors","westminster","journal","death","state","occasion","chaplain","friend","sir"
"55","prefixd","times","house","solace","children","britain","christian","gracious","old","places","years","recommended","seized","last","goods","letters","george","leading","lord","man","mayor"
"56","craftsman","march","best","allowed","according","nature","order","forth","state","plague","duties","april","intituled","rules","forth","majesty","britain","charity","company","earl","right"
"57","history","chattels","christian","devotions","religion","viz","preached","holy","britain","tables","together","giving","civil","discourse","1724","old","nature","gratis","added","abstract","knights"
