"","X1","X2","X3"
"1","henrici","regni","dyuers"
"2","parlyament","god","matrimony"
"3","conquestum","termino","hour"
"4","edwardi","anglie","conteyne"
"5","magistri","begynneth","wyl"
"6","yere","roberti","yf"
"7","laureati","holy","straunge"
"8","lichfeldiensis","henry","interlude"
"9","whittintoni","henrici","hospitalis"
"10","present","parlyament","spiritus"
"11","oxoniensi","conquestum","apostolici"
"12","florentissima","edwardi","sacri"
"13","certayne","magistri","doctor"
"14","folowynge","yere","decretorum"
"15","lorde","laureati","mulart"
"16","soueraygne","lichfeldiensis","philippus"
"17","noble","whittintoni","parte"
"18","seynt","grammatices","matter"
"19","churche","present","mayster"
"20","statutes","oxoniensi","mery"
"21","holden","florentissima","whiche"
"22","statuta","certayne","booke"
"23","howe","soueraygne","sheweth"
"24","maner","noble","playnely"
"25","prothouatis","seynt","medytacyons"
"26","reygne","statutes","sacrementes"
"27","hillarii","holden","commaundementes"
"28","achademia","statuta","symple"
"29","nominibus","howe","doctrynall"
"30","libellus","maner","scottysshe"
"31","presentes","prothouatis","ballade"
"32","ordynaunces","reygne","scotlande"
"33","enacted","hillarii","lately"
"34","royalme","achademia","batayle"
"35","fraunce","nominibus","encountre"
"36","grace","libellus","trewe"
"37","ciuitate","presentes","hareforde"
"38","ordinis","ordynaunces","cathedrall"
"39","heteroclitis","enacted","porche"
"40","kynges","royalme","ther"
"41","theyr","fraunce","welles"
"42","boke","grace","deaken"
"43","englande","ciuitate","arche"
"44","people","ordinis","vergil"
"45","frater","heteroclitis","polydore"
"46","regis","kynges","instaunce"
"47","michaelis","theyr","emprented"
"48","tenir","boke","parishens"
"49","viij","marie","oftentymes"
"50","ordeyned","spirituall","declare"
"51","assembled","thomas","bounde"
"52","temporall","michaelis","curates"
"53","lordes","tenir","thynged"
"54","assent","viij","impedimente"
"55","profyte","ordeyned","commendations"
"56","westmester","assembled","bethleem"
"57","irlande","temporall","caualari"
"58","conquest","lordes","master"
"59","christifidelibus","assent","beynge"
"60","quadragesimo","profyte","skeuigton"
"61","tertii","westmester","wyllyam"
"62","lyfe","irlande","identifying"
"63","nominum","conquest","1518"
"64","lucubrationes","christifidelibus","dec"
"65","editio","quadragesimo","benefits"
"66","daye","tertii","social"
"67","cristen","lyfe","progymnasmata"
"68","fourme","nominum","linacri"
"69","commons","lucubrationes","length"
"70","honoure","editio","quarters"
"71","moste","daye","paste"
"72","domini","magister","wyll"
"73","singulis","knyght","conuenyently"
"74","uniuersis","fourme","depend"
"75","iesu","commons","experyens"
"76","letters","honoure","messengers"
"77","whitintoni","moste","sad"
"78","verborum","domini","muche"
"79","opusculum","singulis","leue"
"80","graunted","uniuersis","lyst"
"81","indulgence","iesu","halfe"
"82","saynt","letters","space"
"83","quantitate","whitintoni","playd"
"84","soule","verborum","hole"
"85","called","opusculum","causis"
"86","moost","graunted","effects"
"87","souerayne","indulgence","landys"
"88","london","saynt","phylosophy"
"89","regni","quantitate","poynt"
"90","m.d.xx","soule","proper"
"91","peruenerint","called","declarynge"
"92","auctoryte","moost","element"
"93","kyng","souerayne","nature"
"94","sexti","london","iuterlude"
"95","septimo","beate","new"
"96","rome","m.d.xx","life"
"97","dei","peruenerint","deceasyd"
"98","syr","auctoryte","laureate"
"99","englysshe","kyng","poete"
"100","vitam","sexti","skelton"
