"","X1","X2","X3","X4","X5","X6"
"1","daie","quenes","henrici","quene","begynneth","sena"
"2","proclamacion","treatise","anthony","mariæ","herbes","italien"
"3","maiestie","1555","octaui","dissolution","astronomye","psalter"
"4","reigne","annus","termino","naples","whiche","letany"
"5","highnes","paules","die","ladye","englysshe","lycence"
"6","edward","aulter","honour","parliament","sheweth","ochine"
"7","kynges","tertii","askham","austria","laten","deuoute"
"8","churches","decimus","therof","dukes","doctor","psalmes"
"9","counsaill","termino","pasche","counties","thys","barnardine"
"10","yere","michaelis","christian","flaunders","copy","deuout"
"11","rites","reade","defence","mary","moone","uery"
"12","aduise","regis","hys","fayth","vertue","praiers"
"13","souereigne","home","m.d.li","gratious","dayes","certayne"
"14","ceremonies","heretikes","prophet","philippi","drawen","added"
"15","administracion","vniuersall","commons","jerusalem","necessarye","frutefull"
"16","prosperous","entitled","regis","defendours","obserued","wher"
"17","protector","huggarde","hym","burgondie","mayst","taken"
"18","sexti","fruictefull","lesse","haspurge","plaintes","gracious"
"19","vi","assaultes","boke","primo","salues","prayers"
"20","counsail","debated","man","soueraygne","assyse","christians"
"21","cure","indifferent","scoloker","continued","compost","godlye"
"22","furthe","eye","february","foloweth","eschequier","sermons"
"23","saied","approue","faithful","defender","courtes","byble"
"24","somerset","grammer","domi","fraunce","modus","necessarye"
"25","irelande","xviij","parlyament","kinge","tenendi","true"
"26","churche","marriage","fidei","ireland","vnum","englishe"
"27","realmes","wicamensis","statuta","ensuing","hundredum","forth"
"28","royall","vnlearned","edita","cycilie","curiam","booke"
"29","declared","antonius","inchoati","archedukes","recordo","wyth"
"30","appoynted","happen","nouembris","myllayn","theyr","set"
"31","furth","dwelle","temporall","braband","boke","kynges"
"32","dominions","frederike","archebyshop","tyroll","maner","boke"
"33","duke","sarum","henry","begonne","lerne","addictions"
"34","englande","plaine","eyght","october","accomptes","prepared"
"35","defendor","camelles","hen","next","ordynaunce","diuinity"
"36","persones","incipit","god","holden","offycers","almoste"
"37","proclamation","secundus","godly","westminster","clerkes","deade"
"38","supreme","tempore","almanacke","princes","fees","afterward"
"39","homilies","spare","newely","ensuynge","euery","recouered"
"40","set","exactelye","gods","spayne","profytable","writing"
"41","curates","meete","regni","philip","wyth","alyue"
"42","marche","particulers","betwene","soueraigne","paruus","mighte"
"43","honorable","request","wherin","london","libellus","hau"
"44","commonly","richardi","famous","grace","formam","howbeit"
"45","act","regni","short","actes","prout","doubt"
"46","maiesty","doctour","courte","lady","patet","himselfe"
"47","vncle","nowe","gardiner","begon","kalendario","aliue"
"48","gouernor","presidentes","commentarye","enacted","contento","gualteri"
"49","souuereine","trinitatis","mycha","daye","vertues","haddoni"
"50","yearth","learne","gilby","queene","maters","regii"
"51","persone","excellent","healthe","beynge","lytell","professoris"
"52","yr","myles","popysh","queenes","antidotharius","ivre"
"53","certain","foorthe","tricesimo","marye","playsters","ciuili"
"54","hed","vnitie","octavi","secundo","oyntementes","cantabrigienses"
"55","parlamente","desire","bonum","seconde","powders","exhortatio"
"56","psalmes","instruccion","publicum","maiestatis","bawmes","literas"
"57","maiesties","englished","concernentia","regiæ","oyles","traslacion"
"58","moste","containyng","tento","england","wounde","m.d.xlvi"
"59","defendour","heart","ianuarii","kept","drynkes","docter"
"60","cariyng","perused","prorogationes","quenes","behouefull","achilles"
"61","parlament","greatly","londinum","xij","surgyan","gasser"
"62","edouardi","deane","vsque","raigne","redy","dominators"
"63","maie","conteyninge","ibidem","sanctæ","nede","mars"
"64","meditacions","wee","errors","execution","named","luna"
"65","nostre","primus","bloud","grauesende","dysposycyon","reporters"
"66","translacion","blessed","weale","edmunde","mannes","fales"
"67","beginnyng","whether","holy","bysshoppe","knowe","d.ioannis"
"68","edvvardi","addicions","preached","place","uryne","renussione"
"69","edwarde","english","come","sente","kynge","pœtæ"
"70","sacramentes","sacrament","sermon","begun","howe","pœmotentia"
"71","dauid","maner","englysh","dioces","rule","conveying"
"72","suche","henrici","treatyse","nouember","dyuers","horses"
"73","redde","fourme","compyled","moneth","worlde","realm"
"74","subiectes","marye","reader","god","scripture","logique"
"75","prorogacion","discourse","hughe","acte","man","vuilson"
"76","drad","diuinitee","folowyng","fyne","christen","conteygnyng"
"77","forme","ladie","greke","valuation","nature","compendiousely"
"78","kinges","highnesse","bookes","januar","sycke","counseill"
"79","session","moue","woman","officers","continens","sweate"
"80","deuisers","foorth","together","archdukes","fine","sweatyng"
"81","hereunto","rychard","profite","millaine","faythful","sicknesse"
"82","edvvard","west","spirituall","brabant","baron","caius"
"83","geneua","see","noble","tyrol","lete","personne"
"84","cathechisme","prynce","confession","decembe","fourmes","requisite"
"85","nouueau","furth","ryghte","fyfth","entreis","soubdein"
"86","nouuelle","1553","grounded","ierusalem","processes","comyng"
"87","alliance","excellente","goodly","effecte","presentmentes","fearful"
"88","seigneur","people","mans","vntrue","propreties","assaultyng"
"89","reueu","tyme","conteynyng","rumors","floures","the-same"
"90","grec","register","lordes","angl","sedes","proclamacions"
"91","bee","declaring","table","reall","shold","beeying"
"92","vicars","seruaunt","godlye","luton","stilled","repeal"
"93","thee","catholyke","dialogue","watermen","w.c","treasons"
"94","expressed","truth","mayster","likewise","neuer","felonies"
"95","cest","historie","iohan","landyng","kepynge","remißione"
"96","dire","marie","master","fifty","euer","ponæ"
"97","sermons","auctoritie","maister","bridge","urynes","ponitentia"
"98","laste","doctoure","worthy","windesoure","reygne","spectris"
"99","continued","richard","apostles","promised","godly","apparitionibus"
"100","foloweth","hyghnes","doctrine","therevnto","sterre","samuele"
