"","X1","X2","X3","X4","X5","X6","X7","X8"
"1","proclamation","prognostication","curranto","assembled","roundhead","hague","glimpse","noli"
"2","majesties","preached","numb","ordinance","properties","over-board","syon","tangere"
"3","king","meridian","god","commons","sherbourne","sailor","beautie","carnis"
"4","1641","sermon","minister","parliament","preivdice","disclaiming","saints","clamantis"
"5","translations","almanack","ordinary","lords","endes","qveens","pursues","aquilam"
"6","petition","bissextile","reverend","forthwith","soundheads","ushers","gagging","sacrilegam"
"7","diligently","calculated","sermon","cler","integralls","pension","fettering","perdam"
"8","majestie","preacher","preached","ordered","excrementalls","unruly","yrons","merlinus"
"9","compared","almanacke","preacher","die","untwisting","palsgrave","dependancie","supernaturall"
"10","houses","god","church","elsynge","knott","denying","lavv-giver","sights"
"11","rebels","prynne","sermons","parl","producing","annuall","chidley","iupiter"
"12","hull","minister","century","com","peculiarities","saved","purchased","tovching"
"13","message","serve","gods","brown","scotch-marke","ship","marryat","merlin"
"14","earle","1640","norimberg","parliamentorum","thirteen-pence-half","miraculously","myter","altare"
"15","hotham","pole","word","declaration","barber-surgeons","holland","vvrenns","junior"
"16","maiesties","christ","b.d","ordinances","fashioned","custody","syllogismes","w.l"
"17","sir","arts","christian","lunæ","perriwigg","disposed","moane","anglicus"
"18","tongues","doctor","christ","martis","paritie","roberts","tridemiter","conjunction"
"19","ireland","inne","growth","browne","incompatible","fifty","collateration","mars"
"20","sent","gods","treatise","excise","extention","residing","peccandi","sacræ"
"21","answer","divinity","cent","veneris","purchases","security","mdcccxv","apparitions"
"22","bible","rector","time","persons","benediction","queens","bethell","interpreted"
"23","testament","generally","goodvvin","sabbathi","convertion","mother","syons","prediction"
"24","high","fast","case","army","capvchin","cast","mis-led","expected"
"25","true","latitude","colledge","1645","t.i","queene","heades","imminent"
"26","revised","sermons","christs","raising","gosling","store","white-lyon","vox"
"27","declaration","treatise","visitation","1643","engineer","letter","mallet","revived"
"28","kings","lincolnes","faithfully","league","rudland","sent","prisioner","lilly"
"29","resolution","word","frankford","mercurii","shee","consent","kiffin","1644"
