"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10"
"1","king","god","newes","king","king","proclamation","proclamation","king","church","proclamation"
"2","proclamation","great","duke","proclamation","proclamation","lord","almanacke","god","proclamation","newes"
"3","lord","iohn","count","newes","duke","prognostication","prognostication","new","sermon","numb"
"4","calculated","lord","diuers","last","newes","god","meridian","great","preached","count"
"5","ireland","sermon","iohn","count","count","almanacke","bissextile","iohn","sermons","almanacke"
"6","translations","london","preacher","continuation","diuers","meridian","serue","lord","gods","prognostication"
"7","france","church","word","prince","numb","new","leape","preached","oxford","meridian"
"8","1621","last","numb","emperour","proceedings","serue","pole","true","word","serue"
"9","maiesties","newes","prognostication","particulars","particulars","calculated","calculated","sermon","treatise","king"
"10","kings","proclamation","almanacke","forces","forces","maiesties","latitude","london","kingdome","forces"
"11","1622","together","particulars","duke","mansfield","bissextile","lord","church","faith","mansfield"
"12","originall","word","gabor","gabor","prognostication","leape","commandement","last","saint","preparations"
"13","charles","english","gods","diuers","france","pole","compared","newes","diuinity","bethlem"
"14","low-countries","diuers","relation","numb","states","famous","god","proclamation","god","calculated"
"15","continuation","duke","christian","concerning","emperour","composed","new","together","learned","bissextile"
"16","happened","present","proceedings","maiesties","gabor","reuised","realme","word","bishop","emperour"
"17","former","england","mansfield","affaires","spaine","generally","king","english","maiesties","palatinate"
"18","forces","containing","added","preparations","preparations","degrees","maiesties","diuers","speciall","gabor"
"19","reasons","france","minister","old","bethlem","latitude","holy","duke","christians","diuers"
"20","prognostication","maiesties","bethlem","number","lately","pleasant","1630","present","pastor","bohemia"
"21","october","gods","continuation","former","nevves","meditations","translations","england","colledge","rome"
"22","new","preacher","famous","souldiers","parts","verse","diligently","containing","pauls","leape"
"23","compared","seuerall","meridian","lately","spanish","booke","1625","france","william","concerning"
"24","within","count","together","mansfield","warlike","iohn","referred","maiesties","arts","prince"
"25","ships","parts","nevves","low-countries","leape","translations","reuised","gods","holy","continuation"
"26","christendome","concerning","last","speciall","new","directions","longitude","preacher","doctor","parts"
"27","testament","prince","whole","diligently","happened","diligently","whereas","seuerall","diuinitie","relating"
"28","warlike","lately","true","bethlem","prince","britaine","tongues","count","london","pole"
"29","declaration","french","emperour","proceedings","betwixt","1628","originall","parts","prayer","emperours"
"30","realme","christian","forces","testament","others","newly","testament","concerning","1623","weekely"
"31","denmarke","minister","master","tilly","almanacke","godly","1627","prince","preacher","low"
"32","giuen","generall","death","hollanders","calculated","seruing","articke","good","kings","mansfields"
"33","diligently","kings","life","mansfields","continuation","scotland","horizon","lately","authors","brunswicke"
"34","parliament","numb","taking","beene","meridian","diuine","grace","relation","1629","orange"
"35","rules","proceedings","countries","armies","containing","creation","leap-yeare","french","king","denmarke"
"36","sent","right","betwixt","ships","great","sauiour","restraint","sermons","minister","armies"
