"","X1","X2","X3","X4","X5","X6","X7","X8"
"1","professor","doo","englands","prognostication","statutes","queene","bread","gores"
"2","sermons","gallies","parnassus","almanacke","vn","proclamation","pence","terrestrial"
"3","worde","question","choysest","leape","cases","reigne","quarter","designed"
"4","rogers","taking","merchant","bale","ouesque","maiesties","kept","molyneux"
"5","praiers","discoverie","poets","pleasant","choses","officers","customes","engr"
"6","tongue","errovrs","comparisons","estates","symbolæography","realme","wheate","hondius"
"7","plaine","pvbished","pallaces","meridian","paterne","liberties","psalmes","globe"
"8","preached","vvorship","groues","dade","præsidents","iustices","needful","threefolde"
"9","smith","lamentably","springs","countries","notarie","queenes","rather","innocencie"
"10","prouerbs","bashavv","various","duke","scriuener","reginæ","hopkins","sinfulnesse"
"11","commentarie","entred","flowers","frende","collect","peace","market","evening"
"12","briefly","confines","moderne","past","cest","eating","bakers","landgraue"
"13","partim","withi","mountaines","seruing","instruments","westminster","brewers","catalogus"
"14","di","straits","bewties","dutch","titles","counties","inholders","arborum"
"15","religion","gibraltar","descriptions","strange","inner","defender","vintners","fruticum"
"16","vertuous","sicilia","irish","countrey","auters","conceiued","butchers","plantarum"
"17","preacher","spoiled","extreame","serue","cy","killing","retailing","indigenarum"
"18","el","florence","shylocke","robert","reuieu","lent","assise","exoticarum"
"19","henrie","messina","iewe","kalender","termed","exempt","tunes","horto"
"20","familiar","gulphe","cutting","lorde","nouelment","lieutenants","falling","gerardi"
"21","vvherein","fleming","obtayning","foole","corrigee","elizabethæ","enlarged","chirurgi"
"22","countesse","plainnes","portia","letters","compose","execution","carr","nascentium"
"23","edition","prentiship","choyse","wonderfull","fitzherbert","lords","voyces","colophon"
"24","minister","nuda","chests","vvith","rebelles","elizabeth","hebrue","expliciunt"
"25","quæ","venice","riuers","notable","violences","dissolution","ordinances","bucolica"
"26","holie","seauen","hate","health","couenants","weale","whole","fratris"
"27","discouerie","farevvel","personages","satyres","contracts","enacted","auncient","baptistê"
"28","dutie","marshal","shakespeare","generally","obligations","corporate","musicke","mantuani"
"29","whereunto","harry","pound","army","feffements","next","orders","badius"
"30","bookes","seamer","hope","greene","graunts","translations","booke","ascensius"
"31","children","auntient","castles","straunge","wills","gracious","testaments","couenant"
"32","word","dyets","crueltie","worldes","mass","prescribed","agreeing","smallest"
"33","briefe","dry","iust","error","ley","publique","counsaile","bevvtiful"
"34","mans","dinner","pleasaunt","courtier","image","whereas","bee","manoa"
"35","workes","suerall","poeticall","quaint","littleton","ireland","cantus","call"
"36","plainly","hearbes","venice","dispute","pur","restraint","turkish","dorado"
"37","power","whitmeats","chamberlaine","veluet","west","orders","altering","emeria"
"38","dauid","spice","seas","breeches","table","greeke","weights","arromaia"
"39","instruction","sauce","sayd","trades","appertaining","maiestie","abrahams","amapaia"
"40","treatise","vniuersall","flesh","1600","queux","testament","making","ralegh"
"41","principall","buttes","discourses","last","force","highnesse","sing","guard"
"42","psalter","c.c.c","acted","plainely","holden","continued","obserued","sannerries"
"43","foundation","proceedinges","beene","admirall","coroners","holden","newly","pt"
"44","receiue","seuenbergh","seruants","answere","purallee","annotations","allowed","personnes"
"45","reuelation","exhibited","towards","phisicke","lib","speciall","price","chri"
"46","layd","vvest","whereunto","garden","temple","languages","assises","worthye"
"47","building","vale","william","loues","title","newe","epistle","manuscript"
"48","grounds","venetian","excellent","loue","regis","persons","songs","reserued"
"49","encounters","divels","historie","discourses","sidney","bible","vice","northfolke"
"50","pestilence","cachephochysme","annexed","vpstart","troueres","commandement","madrigals","i.s"
"51","n.d","pantaloun","times","parma","gratious","ebrew","others","statly"
"52","doctrines","zanie","vvith","iudgement","edwardi","places","vvhole","guistard"
"53","speeches","pupill","profitable","cittie","tertii","rates","sternhold","sismond"
"54","imitation","grounded","diuers","marchants","anni","terme","apart","northren"
"55","george","brytans","lord","whose","quart","xxiiij","tend","blessing"
"56","honorable","protestants","threefolde","gabriel","notables","ninth","nourishing","thrifte"
"57","scripture","harkening","innocencie","watson","contenus","febr","corrupting","alcilia"
"58","either","iuuenall","sinfulnesse","betvveen","ycel","flesh","measures","philoparthens"
"59","questions","borget","evening","tragicall","auxy","put","commaunded","tancred"
"60","englished","cyprian","landgraue","example","forfaiture","importance","tho","gismund"
"61","dialogue","reproch","catalogus","creation","escheators","soueraigne","collected","reuiued"
"62","knowne","infamy","arborum","month","tresreuerend","statutes","realme","polished"
"63","resurrection","cometh","fruticum","august","chiualer","priuie","houses","decorum"
"64","petruccio","apothegues","plantarum","coppie","iades","executed","withall","r.w"
"65","vbaldino","c.g","indigenarum","lesse","banke","almightie","euerie","tetrastylon"
"66","fiorentino","profitably","exoticarum","worlde","ore","followeth","thomas","papisticum"
"67","comprised","lavviers","horto","coppy","nouel","conteined","states","pillers"
"68","chirurgerie","lawiers","gerardi","earle","statuts","parliament","gesta","raylings"
"69","opera","rome","chirurgi","fortune","conspiracies","vntill","abandoning","forgeries"
"70","earth","holy","nascentium","plaide","almighty","conferred","mahumet","vntruthes"
"71","libri","answere","colophon","prince","miraculously","concordance","damon","blasphemies"
"72","dictionarie","name","expliciunt","1598","conserued","townes","musitions","contradictions"
"73","su","checke","bucolica","lord","pretendeth","commanded","ordinarily","absurdities"
"74","popish","seueral","fratris","honour","monarch","vlote","soung","distinctions"
"75","conscience","ordinance","baptistê","h.r","loffice","punished","sett","papistes"
"76","sinners","sommerset","mantuani","wittie","sayling","vvestminster","sawyne","supplement"
"77","additions","doctour","badius","branch","horizontall","taxations","turnbull","appertinance"
"78","conference","mahomet","ascensius","gabriell","dauis","suburbes","corpus","dissuading"
"79","verse","britannia","couenant","going","lordre","michaelmas","sterneholde","light-minded"
"80","comfortable","preiudiciall","smallest","pierce","sections","vagabonds","willes","trusting"
"81","christian","discentes","bevvtiful","astrologie","collection","prouinciæ","balades","sandie"
"82","death","successions","manoa","penned","become","appeare","situation","exhort"
"83","meditations","herault","call","theyr","puissant","maior","geographie","stedfastlie"
"84","short","english-men","dorado","gardening","iustices","readie","perswasion","rockie"
"85","exposition","fruites","emeria","seedes","beginning","hare","disswasion","paulli"
"86","page","tabacco","arromaia","iubile","iustice","sutcliffe","rysing","manutii"
"87","lute","heluetia","amapaia","kinges","conditions","thing","victuallers","præfationes"
"88","seuen","fighting","ralegh","quip","expositions","begun","breads","appellantur"
"89","elements","voyce","guard","cloth-breeches","forrest","corne","satutes","terentius"
"90","interpretation","christians","sannerries","rules","fine","seas","lies","christianus"
"91","ionas","father","pt","worthy","effect","hard","twixt","comoediæ"
"92","pembrokes","fayth","personnes","true","laied","goods","melchisedech","terentiano"
"93","maronis","fellowe","chri","sir","crompton","grace","shillings","tobaeus"
"94","è","petition","worthye","computation","anglicanæ","declaratie","raising","iuditha"
"95","conscripta","iohns","manuscript","gray","tenures","postes","victualers","accesit"
"96","iniquitie","prosecuted","reserued","greenes","addes","vvages","weightes","pseudostratiotes"
"97","antichristian","else","northfolke","discourse","puisne","ha","ioh","fabulo"
"98","carmina","forward","i.s","french","temps","boke","cant","iocosa"
"99","perez","print","statly","especially","signe","sacramentes","burley","ludicra"
"100","iustiçia","commended","guistard","gathered","commencement","rites","cha","cornelio"
