"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29"
"1","hanover","tradesman","free-artificers","rubbish","tapestry-workers","carey","btn","eexecuted","thirty-six","detention","pilot","act","attempte","law","almanack","hudsons","di","elsewhere","epigrammata","groaning","deacon","chronicle","roderick","lettered","doddridge","untempered","rocque","circle","wesley"
"2","letter","foundlings","bungay","melancholly","cross-roads","dramatick","discarded","c.c.c","farm-houses","yielding","head-lands","county","aunciente","cases","bissextile","bay","teatro","quarterly","scholiis","lowe","rebel","dathans","random","silver-lace","christ","esdras","avenues","musick","wines"
"3","ode","apprentice","north-repps","oclock","communicants","works","vulgarly","notwithstanding","measurements","candidly","logarithms","repairing","play-wrighte","courts","leap-year","distractions","s.m.b","caution","cicero","tree","townley","koningsegg","cookery","debates","watts","morter","depth","easy","fellow"
"4","ballad","middling","mancroft","sound","micrographia","henry","distressed","crime","gardens","prejudice","sea-coasts","road","maister","reports","diary","brady","aubigny","tender","fakenham","new-forest","fletcher","dathan","h.m","embroidery","righteousness","daniels","nineteen","handel","sometime"
"5","interests","m-rs","maddormarket","instant","designing","lespion","courtier","clemency","estimates","opposed","weight","majesty","williaume","judges","ephemeris","tate","lenox","soever","mcdccxlvii","limington","donald","w-k","house-keeping","gilt","sermon","brett","miles","preachd","teagueland"
"6","merryland","tipping","ryegate","dreadful","penmanship","voyageur","honesty","receiving","measurement","barnard","hudsons-bay","passed","shakespere","rent","rising","cornaro","manufacturers","water-baptism","leeke","portentous","morgan","brigadier","buy-in","secrecy","gospel","apocalyspe","paths","devotions","dissenting"
"7","present","servant-maid","baliol","earthquake","riding","toutes","temporal","get","customary","jealousy","amazones","reign","faulsely","tenants","planets","north-west","merchant-service","meetings","versione","p.q","berwick","jew","poultry-ware","under-treasurer","death","dependence","bye-ways","brine","college"
"8","conduct","sluttishness","jail","happened","hand","sortes","humble","prevented","cambridgeshire","gibraltar","delineating","session","certaine","precedents","sternhold","neutrality","musica","friends","epistles","solos","`","duel","butchers-meat","guineas","ministers","seduced","pales","covent-garden","bexley"
"9","hanoverian","fellow-servants","clemency","fifth","perspective","sujets","island","pardon","buildings","ensuing","mountaine","leading","wittes","adjudged","astrological","canary","diseased","tributaries","callimachi","dummer","scaffold","land-war","common-place","1660","preached","slight","hedges","hymn-book","lincoln-college"
"10","affairs","victuals","journeymen","twelve","champion","surnommé","spiritual","forgery","halfpenny","national","vade","effectual","wotteth","pleas","hopkins","kouli","president","83d","hymni","prima","richards","inevitable","successfully","protests","gods","daubed","ferries","oratorio","conyers"
"11","reasoner","phrensy","advocates","hitherto","somersetshire","chrétien","power","sept","stow","vail","wind","enlarging","freede","bench","psalms","vote","governors","estaugh","theognidis","hermaphrodite","engagd","battle","lark","restraining","samuel","daub","heaths","sermon","cambridge"
