"","X1","X2","X3","X4","X5"
"1","workes","maiestie","learned","termino","end"
"2","veron","quene","englishe","henrici","psalmen"
"3","dialoge","quenes","doen","regis","het"
"4","iustification","proclamation","greate","regni","tghesangk"
"5","googe","foloweth","william","edwardi","hondert"
"6","poet","certayne","doctour","michaelis","mitgaders"
"7","marcellus","elizabeth","ihon","quarti","ghesangk"
"8","frvtefvl","queene","excellente","pasche","zacharie"
"9","prouidence","enacted","bulleyn","octaui","simeons"
"10","vain","subiectes","confession","tertii","thien"
"11","epicures","spayne","examination","lorde","gheboden"
"12","greatest","elizabethe","compiled","begynneth","artikels"
"13","barnabe","realme","bothe","sexti","tghebed"
"14","frutefull","geuen","maister","daie","heeren"
"15","doctrin","soueraigne","regimente","almanacke","ouerghesett"
"16","predestination","vnderstandyng","containyng","imprinted","nederlanschen"
"17","wise","dissolution","woundes","hys","dichte"
"18","treatise","raigne","rhetorike","honour","door"
"19","hooper","beyng","grounded","yere","ian"
"20","gloceter","fraunce","whereof","boke","wtenhoue"
"21","worceter","counties","daily","drad","woord"
"22","againste","lady","citee","prorogacion","christi"
"23","cursed","good","bulwarke","profitable","wone"
"24","accordinge","parliament","mankinde","booke","ryckelick"
"25","alowed","commaundement","hope","henry","allerley"
"26","word","ben","goodlie","yeres","wysheyt"
"27","anabaptistes","begon","cruelly","octavi","leert"
"28","free","articles","whetstone","trinitatis","vermaent"
"29","verse","churches","touchynge","hillarii","malcanderen"
"30","mother","persons","breuiat","anni","mit"
"31","truth","base","brute","annus","lossanghen"
"32","foorthe","rates","practysed","songes","gheestelicke"
"33","holye","westmynster","guyse","earle","liedekins"
"34","apology","reginæ","hercules","surrey","ghenaede"
"35","wyll","moneth","furens","called","singhende"
"36","appoynted","peace","vt","kynge","heere"
"37","martyr","grace","præstantioribus","whole","uwen"
"38","wyse","execution","naturæ","names","herten"
"39","iohn","acte","virtutibus","magna","marie"
"40","enterlude","apparell","ioanne","richardi","gheloofs"
"41","edwarde","proroged","authorised","haward","dauids"
"42","zealous","flaunders","caluine","added","zealous"
"43","pallingenius","philippi","g.g","sonettes","pallingenius"
"44","stellatus","mariæ","idolatries","honorable","stellatus"
"45","twelue","holden","comforting","session","twelue"
"46","disclosing","regiæ","george","die","disclosing"
"47","crymes","maiestatis","appeare","gospels","crymes"
"48","corrupt","publique","practise","diem","corrupt"
"49","plainlye","january","parte","plees","plainlye"
"50","declaring","next","questions","decimus","declaring"
"51","perfit","sundrye","conquerour","lord","perfit"
"52","pathway","quinto","declarynge","right","pathway"
"53","eternal","fayth","according","thinges","eternal"
"54","besides","eyght","wyllyam","xiiii","besides"
"55","digressions","queenes","forthe","whiche","digressions"
"56","barnabæ","kinge","metre","man","barnabæ"
"57","bokes","monies","iesus","new","bokes"
"58","palingenius","agreed","interlude","prognostication","palingenius"
"59","zodyake","curates","iames","borne","zodyake"
"60","pronounced","reformation","doctrine","welth","pronounced"
"61","poyssy","wages","christ","pointes","poyssy"
"62","open","october","pervsed","henrie","open"
"63","assemblye","austria","vs","vsque","assemblye"
"64","ryal","dukes","authorized","natura","ryal"
"65","september","burgondie","clarke","breuium","september"
"66","pauls","haspurge","caluyne","imprimendum","pauls"
"67","ministerye","vsed","salutis","carta","ministerye"
"68","dyligentelye","great","willyam","moone","dyligentelye"
"69","paniell","vntill","comforte","moste","paniell"
"70","huntynge","former","conteined","wyth","huntynge"
"71","purgatorye","begonne","conteining","addicions","purgatorye"
"72","dialogewyse","aswell","witte","wel","dialogewyse"
"73","senonoys","ladye","woorkes","mans","senonoys"
"74","setfoorth","continued","composed","vvith","setfoorth"
"75","deuyne","lawes","duke","church","deuyne"
"76","far","aggeus","recreation","augmented","far"
"77","lead","gentlemen","dee","earth","lead"
"78","canne","louyng","summe","treasure","canne"
"79","thersytes","amongst","teaching","knowe","thersytes"
"80","boesters","presently","wythers","reignes","boesters"
"81","thersites","euyll","thei","red","thersites"
"82","boster","agreablye","chirurgerie","herein","boster"
"83","mulciber","moneys","meditations","sowe","mulciber"
"84","mater","aucthorised","originall","carpenters","mater"
"85","miles","countie","warres","1556","miles"
"86","telemachus","obseruation","commoditie","use","telemachus"
"87","ensamples","shalbe","frenche","hyll","ensamples"
"88","hanape","hygh","french","souerayne","hanape"
"89","patriarch","graces","set","aprill","patriarch"
"90","loke","entercourse","famous","xxxiiii","loke"
"91","bonners","taxations","defence","till","bonners"
"92","cleargye","countries","englished","name","cleargye"
"93","dyocese","partly","playne","edita","dyocese"
"94","excerable","abuses","estates","parliamenti","excerable"
"95","antychriste","homelyes","arte","cases","antychriste"
"96","reueled","jerusalem","since","conquestum","reueled"
"97","bale","defendours","honest","corone","bale"
"98","diuine","millaine","furth","examinata","diuine"
"99","swynyshe","theyr","chronicles","accesserunt","swynyshe"
"100","gruntinge","partes","vertues","quinti","gruntinge"
