"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29"
"1","new","england","containing","act","new","act","act","new","john","act","john","england","new","several","act","new","new","act","john","letter","act","new","sermon","new","new","new","new","history","new"
"2","containing","life","several","certain","containing","sermon","present","john","act","preached","act","life","containing","account","certain","containing","containing","sermon","sermon","sermon","parliament","containing","letter","french","containing","containing","containing","english","containing"
"3","several","royal","john","session","several","preached","history","nature","sermon","sermon","sermon","william","several","act","granting","several","several","letter","letter","preached","majesty","several","preached","parliament","john","several","several","london","several"
"4","john","right","account","granting","john","present","general","illustrated","letter","majesty","letter","church","john","sermon","session","account","john","preached","great","life","history","john","present","act","account","act","john","general","john"
"5","account","king","act","duties","account","parliament","parliament","britain","preached","god","great","royal","account","letter","duties","act","account","english","preached","lists","seven","account","lord","britain","act","sermon","account","parliament","account"
"6","act","majesty","sermon","parliament","act","king","containing","christian","lord","1756","preached","right","act","great","di","sermon","act","general","added","letters","duties","act","english","together","sermon","great","act","whole","act"
"7","sermon","majestys","letter","majestys","sermon","majesty","laws","god","english","majestys","added","king","sermon","preached","passed","letter","sermon","parliament","present","containing","session","sermon","london","original","letter","preached","sermon","england","sermon"
"8","letter","letters","great","reign","great","majestys","college","act","parliament","john","present","majesty","letter","added","effectual","great","letter","old","lord","added","private","letter","parliament","british","great","added","letter","use","letter"
"9","great","thomas","preached","intituled","preached","great","occasioned","every","life","duties","history","majestys","great","present","reign","preached","great","almanack","english","history","granting","great","whole","certain","preached","present","great","royal","great"
"10","preached","observations","added","better","added","time","plain","useful","william","1757","lord","french","preached","history","intituled","added","preached","appointed","london","rev","directions","preached","life","public","added","history","preached","king","preached"
"11","added","court","present","majesty","present","observations","law","proper","church","county","london","letters","added","lord","better","present","added","view","william","new","westminster","added","use","city","present","lord","added","majesty","added"
"12","present","together","history","thousand","history","added","almanack","book","right","appointed","general","thomas","history","english","majesty","history","history","complete","use","nature","corrected","present","church","houses","history","london","present","majestys","present"
"13","history","collection","lord","granted","lord","collection","appointed","original","account","february","parliament","observations","lord","london","preventing","lord","lord","directions","church","corrected","words","history","right","use","lord","general","history","french","history"
"14","lord","city","english","hundred","english","public","complete","edition","king","granting","right","together","london","general","granted","english","london","man","royal","william","lists","lord","king","thomas","english","parliament","lord","thomas","lord"
"15","english","parts","london","seven","london","city","directions","easy","majesty","therein","containing","public","general","parliament","limited","london","general","practice","right","poem","theatre-royal","english","majesty","containing","london","whole","english","observations","english"
"16","london","honourable","general","therein","general","lord","called","persons","majestys","session","majestys","city","parliament","whole","horses","general","parliament","1758","majesty","occasioned","drury-lane","london","majestys","observations","general","life","london","court","london"
"17","general","society","parliament","twenty","parliament","society","man","essay","french","christian","french","parts","whole","england","collection","parliament","whole","corrected","majestys","register","knowledge","general","letters","country","parliament","william","general","together","general"
"18","parliament","state","whole","mentioned","whole","george","practice","rev","letters","thomas","letters","new","england","life","theatre-royal","england","life","hundred","letters","essay","order","parliament","time","acts","whole","use","parliament","collection","parliament"
"19","whole","george","england","payment","england","nature","1758","best","thomas","sermons","court","honourable","life","william","encouragement","life","william","last","thomas","variety","register","whole","thomas","almanack","england","church","whole","public","whole"
"20","england","reverend","life","flour","life","likewise","corrected","concerning","court","reverend","collection","society","use","church","designs","william","use","prefixed","court","method","law","england","court","complete","life","royal","england","city","england"
"21","life","nature","william","malt","william","calculated","hundred","four","together","december","public","state","church","royal","therein","use","church","common","together","edition","gentlemen","life","together","history","william","right","life","parts","life"
"22","william","illustrated","use","acts","use","particulars","last","various","service","reign","city","george","royal","right","payment","church","royal","william","collection","considered","faith","william","public","last","use","king","william","honourable","william"
"23","use","britain","church","within","church","five","common","christ","taken","prayer","honourable","reverend","right","king","political","royal","right","samuel","public","sir","cases","use","parts","prefixed","church","majesty","use","society","use"
"24","church","remarks","royal","almanack","royal","government","holy","lists","chaplain","faith","state","method","majesty","majesty","westminster","right","king","reflections","city","death","house","church","honourable","order","royal","majestys","church","state","church"
"25","royal","god","right","limited","right","religious","order","shewing","divine","friday","reverend","illustrated","majestys","majestys","acts","king","majesty","different","parts","james","thousand","royal","society","ireland","right","letters","royal","george","royal"
