"","X1","X2","X3","X4","X5","X6","X7"
"1","king","realme","realme","realme","king","true","maiesties"
"2","england","queene","proclamation","maiesties","true","english","thomas"
"3","proclamation","proclamation","orders","queene","god","french","high"
"4","france","almanacke","liberties","king","england","set","earle"
"5","ireland","lute","reigne","maiestie","iohn","discourse","king"
"6","scotland","statutes","officers","faith","london","newly","god"
"7","next","prognostication","prognostication","concerning","set","christian","great"
"8","children","1605","statutes","direction","maiesties","necessarie","iames"
"9","historie","liberties","aswell","places","french","honorable","briefe"
"10","plague","reigne","1597","parliament","certaine","added","excellent"
"11","famous","whereas","parliament","lute","great","booke","proclamation"
"12","world","following","lords","lords","thomas","forth","ireland"
"13","order","foole","forasmuch","newly","booke","preacher","forth"
"14","defender","within","almightie","whereof","preached","man","spaine"
"15","faith","maiestie","publique","kings","containing","maister","france"
"16","treatise","leape","weale","religion","maiestie","william","robert"
"17","shewed","meridian","rather","liberties","christian","godly","third"
"18","queene","followeth","next","grace","right","dutch","grace"
"19","reigne","king","meridian","kingdome","church","shewing","honourable"
"20","continued","london","whereas","vntill","kings","seruants","copie"
"21","iames","pleasure","ancient","downe","time","sundrie","famous"
"22","foole","composed","citie","added","last","manner","lord"
"23","officers","soueraigne","reginæ","soule","together","loue","scotland"
"24","maister","maiesties","regis","statutes","new","vvith","honorable"
"25","elizabeth","defender","enacted","seuen","queene","containing","england"
"26","past","holden","holden","orders","sermon","1598","faithfully"
"27","1601","england","diuers","scotland","christ","short","places"
"28","oxford","seruing","iustices","church","seuerall","plaine","lute"
"29","admirall","next","wee","towards","sermons","diuinitie","prince"
"30","saint","elizabeth","leape","holy","discourse","acted","paules"
"31","preached","death","begun","others","man","times","right"
"32","diuided","cittie","scriptures","minister","treatise","sermons","almanacke"
"33","augmented","teares","die","reigne","newly","thomas","prognostication"
"34","noble","orders","holie","continued","according","henry","august"
"35","questions","publique","priests","whereas","honorable","crosse","vvritten"
"36","certaine","weale","common","officers","gentleman","composed","rome"
"37","february","iuly","bale","gracious","diuinitie","soule","doctrine"
"38","kingdomes","fiue","franc","old","high","treatise","arte"
"39","portugall","westminster","di","within","sundry","together","description"
"40","neuer","executed","pleasure","lawes","forth","historie","1602"
"41","soueraigne","officers","kingdome","december","concerning","sermon","holland"
"42","last","enacted","febr","names","good","spanish","soueraigne"
"43","bene","kalender","counties","crosse","death","italian","defender"
"44","graue","voyces","angl","father","bookes","sent","relation"
"45","westminster","forasmuch","faith","discourses","earle","minister","faithfull"
"46","testament","execution","priuie","forme","euery","learned","maiestie"
"47","reginæ","songs","enemies","power","vse","euery","knight"
"48","earle","iames","followeth","warres","life","life","citie"
"49","shewing","towne","almanacke","peace","word","preached","aswell"
"50","former","iustices","1598","proclamation","realme","countries","scriptures"
"51","pleasure","watson","giuen","conuerted","present","foure","state"
"52","forasmuch","elizabethæ","hybern","followeth","pleasant","right","seruing"
"53","flesh","base","hard","soueraigne","iames","word","song"
"54","dauids","wee","drayton","testament","gathered","end","easie"
"55","learned","fift","conferred","reginæ","briefe","table","according"
"56","french","necessary","gracious","iohn","citie","towne","gentleman"
"57","realme","seauen","old","bene","dutch","last","plaine"
"58","vvritten","satyres","faithfull","vnder","lately","george","orders"
"59","done","put","generally","people","generall","whole","themselues"
"60","rome","cure","cases","report","proclamation","pleasant","1605"
"61","health","fleete","phillips","captaine","necessarie","lute","royall"
"62","wherevnto","speciall","corne","regis","ireland","gathered","true"
"63","accidents","1604","flesh","psalmes","added","paules","together"
"64","instruments","aswell","apologie","nevv","collected","children","esquire"
"65","sermon","diuers","execution","scotiæ","spaine","1599","whereas"
"66","vs","queenes","sermons","musicke","learned","almanacke","gentlemen"
"67","vntill","thomas","defence","set","henry","foorth","queene"
"68","publique","persons","garden","iames","places","third","concerning"
"69","weale","parliament","seruing","reasons","france","annexed","subiects"
"70","losse","royall","townes","france","prince","prognostication","vvith"
"71","prescribed","febr","moderne","publique","george","comfort","death"
"72","funerall","counties","perused","weale","whole","called","bookes"
"73","popish","angl","scotiæ","die","lords","saint","foole"
"74","presented","infection","xliij","poeticall","preacher","vvherein","officers"
"75","englished","viole","dissolution","catholike","sir","fourth","gracious"
"76","truly","ayres","vvestminster","defender","maister","allowed","ships"
"77","subiects","order","goods","holden","tongue","gods","partes"
"78","acted","continued","vnderstand","enacted","robert","rome","past"
"79","holden","highnesse","secular","reformed","third","read","oxford"
"80","relation","bee","parsons","vntil","1603","holland","bible"
"81","towards","hybern","rogers","commanded","religion","death","names"
"82","enacted","yeeres","generall","gouernment","since","bookes","letters"
"83","truely","voices","answere","obserued","called","knight","christ"
"84","reformed","saide","elizabethæ","law","saint","mans","next"
"85","garden","peace","within","shippes","letter","iohn","1604"
"86","vntil","testament","matters","praier","grace","dialogue","father"
"87","lately","humours","christians","armes","honourable","scripture","seauen"
"88","especially","maior","queene","voyces","copie","song","townes"
"89","begun","forces","prescribed","begun","taken","whereunto","peter"
"90","betweene","october","smith","meditations","godly","perfect","leape"
"91","tongue","gracious","titles","dialogue","famous","treatises","churches"
"92","high","edward","morning","iustices","description","royall","rather"
"93","iustices","prescribed","city","elizabethæ","soueraigne","prince","sermons"
"94","watson","grace","highnesse","primo","gods","shewed","persons"
"95","elizabethæ","cases","bee","vertuous","parts","strange","diuided"
"96","army","lent","lieutenants","base","order","others","noble"
"97","coppie","sing","exempt","indies","shewing","briefe","warre"
"98","benefit","morley","suburbs","wee","spanish","hereunto","coppy"
"99","poeme","flesh","eating","fift","sundrie","fiue","meridian"
"100","happened","honour","killing","elizabeth","downe","seene","notes"
