"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17"
"1","act","church","sermon","act","sermon","act","act","history","right","sermon","sermon","church","sermon","account","act","sermon","sermon"
"2","letter","majesty","preachd","majesties","preachd","letter","majesties","william","great","preachd","preachd","several","preachd","letter","preachd","preachd","preachd"
"3","majesties","sermon","letter","chaplain","church","parliament","almanack","publishd","majesty","church","church","account","england","history","sermon","church","church"
"4","proclamation","preachd","church","ordinary","account","poem","1706","concerning","king","several","several","john","letter","english","majesties","several","account"
"5","bp","present","right","almanack","john","majesties","queen","reverend","english","account","account","england","several","life","chaplain","account","john"
"6","gospel","act","reverend","command","lord","almanack","hundred","bishop","containing","lord","john","letter","containing","remarks","special","john","lord"
"7","minister","right","queen","special","england","cases","called","queen","honourable","england","lord","new","john","set","almanack","lord","letter"
"8","parliament","honourable","act","service","letter","rights","thousand","thomas","god","right","england","king","god","whole","psalms","england","new"
"9","ministry","chaplain","bishop","lord","new","answer","proclamation","chaplain","act","added","letter","english","act","gospel","1715","letter","right"
"10","people","majestys","majesty","rector","right","dissenters","better","majestys","parliament","containing","new","added","lord","done","1714","right","great"
"11","friend","reverend","christian","thousand","great","presented","gracious","britain","history","london","right","containing","william","reflections","rector","great","majesty"
"12","lately","england","rector","treatise","majesty","law","hopkins","general","william","honourable","great","london","publishd","preface","god","majesty","king"
"13","preventing","king","honourable","right","king","court","robin","rector","publishd","god","majesty","god","concerning","thomas","request","king","english"
"14","britain","english","duke","duties","english","table","leap-year","use","concerning","act","king","act","reverend","college","william","english","added"
"15","scotland","state","answer","hundred","added","others","poem","together","life","parliament","english","parliament","bishop","secret","ordinary","added","present"
"16","intituled","duke","request","sunday","containing","view","people","parts","reverend","history","added","history","french","since","anniversary","containing","london"
"17","gracious","new","life","poor","present","britain","metre","publick","bishop","william","containing","william","majestys","true","prayers","present","honourable"
"18","impeachment","publishd","majestys","proclamation","honourable","union","sternhold","peace","french","true","present","publishd","whole","added","thousand","london","god"
"19","france","request","preached","parish-church","god","friend","seven","house","queen","friend","london","true","answer","containing","table","honourable","act"
"20","secret","bishop","divine","chappel","act","better","prayer","religion","chaplain","january","honourable","concerning","right","ministry","westminster","god","parliament"
"21","king","original","chaplain","charity-schools","parliament","humble","execution","sir","majestys","according","god","life","general","death","charity-schools","act","history"
"22","reasons","earl","house","manner","history","pretender","1708","remarks","answer","occasiond","act","reverend","use","exact","metre","parliament","william"
"23","occasiond","royal","november","assizes","william","psalms","special","shewing","sermon","poor","parliament","bishop","king","vindication","proclamation","history","publishd"
"24","diary","letter","account","fellow","publishd","ministry","comfort","request","britain","richard","history","french","duke","state","gospel","william","true"
"25","member","queen","sunday","continuing","true","people","edmund","original","rector","college","william","thomas","together","kings","better","publishd","concerning"
"26","henry","grace","henry","certain","concerning","metre","bissextile","earl","death","happy","publishd","chaplain","english","reasons","hundred","true","life"
"27","anne","1706","march","diseases","life","occasiond","quarters","discourse","state","vindication","true","majestys","account","country","use","concerning","reverend"
"28","sacheverell","march","parliament","bills","reverend","service","prophets","relating","use","gospel","concerning","whole","parts","ancient","proper","life","bishop"
"29","thousand","last","clergy","parts","bishop","proclamation","meridian","france","duke","forth","life","answer","george","friend","jesus","reverend","french"
