"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12"
"1","finchingfield","sailor","jvly","noli","versus","borialis","meldrun","sermon","preached","majesties","assembled","roundhead"
"2","stephen","disclaiming","chancellor","tangere","commentariis","tinker","willoughbie","scotland","christ","1641","commons","sherbourne"
"3","marshall","unruly","thence","pond","epithetorum","holes","antrime","assembly","god","king","ordinance","hillaries"
"4","finching-field","qveens","newcastle","carnis","studiosis","mettle","castlehaven","featley","prognostication","message","parliament","fogger"
"5","lavvyer","hague","hand","clamantis","kilkenny","joviall","marq","edinburgh","sermon","majestie","lords","spruce"
"6","b.d","over-board","faithfull","aquilam","synod","apostate","richmond","church","meridian","army","forthwith","dames"
"7","arbitrements","pension","1646","sacrilegam","lexicon","jovial","neuues","lusitaniæ","bissextile","declaration","ordered","durty"
"8","abbey-church","ushers","speech","perdam","continens","bruised","beuerley","katabaptistai","almanack","proceedings","die","turnebal-streete-trull"
"9","unadvisednesse","palsgrave","propositions","iupiter","charenton","well-meaning","forcible","supremo","minister","excellency","cler","tower-staires"
"10","vvorks","denying","peace","altare","stones","mend","conway","preached","calculated","parliamenti","elsynge","westminster-ferry"
"11","ienkins","annuall","scotland","sights","quæ","maladies","paget","dippers","truth","taken","parl","midsommer"
"12","sprung","ship","according","moveable","plaisto","newters","yorke","dipt","word","ireland","parliamentorum","soundheads"
"13","submissions","miraculously","king","tovching","west-ham","hammer","iuly","divinity","preacher","mabbot","com","integralls"
"14","hanbury","holland","order","merlinus","silke-weaver","compelled","beseiging","kataptystoi","gods","captain","brown","excrementalls"
"15","zecharies","disposed","sent","supernaturall","bricbats","scots","farevvell","sousa","psalmes","proclamation","ordinances","untwisting"
"16","basket","custody","lord","sacræ","oyster-shels","torne","seizing","macedo","church","prince","martis","knott"
"17","buttery","roberts","concerning","w.l","windowes","reasonable","hull","masse","sternhold","sir","lunæ","peculiarities"
"18","inspiration","saved","assyrian","merlin","stayers","stop","relieving","kirke","saints","fairfax","veneris","scotch-marke"
"19","barton","fifty","persian","interpreted","hyword","prescribed","towne","henderson","sermons","kings","sabbathi","thirteen-pence-half"
