"","X1","X2","X3","X4","X5","X6","X7","X8"
"1","gentilis","termino","di","byrd","roome","prognostication","losse","siluer"
"2","alberici","queene","nicolo","regiments","necessary","almanacke","commedie","perfect"
"3","scipii","regis","noue","musicke","fryer","meridian","conflict","phillip"
"4","thoma","edwardi","duke","r.p","theyr","leape","dolefull","french"
"5","watsono","proclamation","psalmes","conuersation","nolano","eleuation","worldlinge","fortune"
"6","liber","regni","auec","cantus","englishmen","generally","philologus","honour"
"7","professoris","michaelis","hand","voices","worthy","specially","forsooke","examples"
"8","rerij","henrici","mendozza","knighthood","number","creation","nathaniell","ailgna"
"9","legalium","quarti","cattell","composed","found","pole","woodes","death"
"10","comitiorum","reigne","leonard","songs","wonderfull","referred","show","king"
"11","oxoniensium","statutes","wright","souldiers","ballad","saied","doleful","stubbes"
"12","actio","bible","duc","deedes","presented","astrologie","ruthfull","townes"
"13","bevanno","greeke","sopra","entreateth","suffolke","incarnation","spoyle","abuses"
"14","docturæ","sexti","a.p","tvvo","aunswered","riche","dearham","gent"
"15","dignitatem","reginæ","billets","exercise","great","serue","norfolke","spanish"
"16","suscipiente","libri","faggots","watson","nowe","assemblies","sion","league"
"17","luranie","parliament","french","bunny","contayning","conteinyng","redeemed","slaine"
"18","celeste","session","pietro","appertaining","preacher","worldes","vniuersallye","russell"
"19","saluste","elizabeth","king","loueth","gospell","buckminster","lxxxvij","flowers"
"20","seigneur","continued","della","styvvard","a.m","frende","princelye","prose"
"21","urania","holden","faicte","imbattailing","pleasant","yere","reueren","nauarre"
"22","musa","tertij","aretino","imbattailling","seene","tunbridge","regius","vvherein"
"23","coelestis","translations","facciata","exploite","sir","kalender","saxonie","golde"
"24","ashelei","weale","nella","musica","space","englande","1536","dom"
"25","gallica","realme","sieur","transalpina","secret","canterburie","slade","warre"
"26","salustij","collection","nouembre","madrigales","scholler","barnabe","bodye","cittie"
"27","bartasij","gratious","delle","verginella","temple","phisicke","confessions","countreyes"
"28","delibata","hillarii","friendly","ariosto","sometime","hiz","societie","limming"
"29","condicionum","paschæ","twentieth","yonge","happy","gifforde","unitie","lay"
"30","sophoclis","pasche","sing","rosicleer","loue","colloquies","arthure","sound"
"31","antigone","enacted","remedies","musick","giordano","congregations","armory","adioyned"
"32","vvatsono","rogers","con","battailes","bruno","turenne","assertion","paper"
"33","adduntur","testament","discours","madrigalls","signor","enuy","frendly","excellencie"
"34","pompæ","primo","france","deed","pasquill","beyng","archery","lestat"
"35","deriuatæ","certeine","parme","accompanied","caualiero","seruyng","r.r","summarie"
"36","totidem","elizabethæ","huguenots","parts","saints","indifferently","robinson","daye"
"37","themata","westminster","francese","booke","situation","gabriell","vrbanus","roy"
"38","sententijs","soueraigne","bernardino","pacification","country","articke","zelle","crowne"
"39","refertissima","grace","lo","bring","mother","secretes","weldon","dog"
"40","ius","quæ","bulle","resolve","crowley","practitioner","desperation","marre-martin"
"41","pertinent","academia","machiauelli","worthie","valiaunt","george","executions","roane"
"42","torquati","followeth","thorius","training","thousande","lorde","lamentable","syses"
"43","tassi","annotations","tito","heere","pastorall","sermon","furtherance","syse"
"44","solymeidos","rami","liuio","vulgar","eldorna","lucar","round","mettals"
"45","primus","defender","aggas","wandering","flatterer","happen","laudable","wicked"
"46","latinis","almightie","gautiers","carthenie","meruailous","peters","pastor","description"
"47","expressus","die","discouse","goodyear","iest","partes","threefold","sayd"
"48","disputationum","maiesties","caue","south-hampton","robin","lord","actors","method"
"49","decas","faith","diuino","fruits","andrewes","tables","contayninge","duke"
"50","interpretibus","authore","select","nothing","merry","christians","norwich","imperfections"
"51","psalmos","vntill","calleth","hurtfull","precious","dedicated","knightly","colours"
"52","epicæ","ceremonies","contemplation","edm","hys","bunny","citizen","normandie"
"53","paraphrases","junio","noting","voiage","mercy","stockwood","worldly","reason"
"54","nereus","capitum","sergeant","perused","dooth","sortes","preaching","rare"
"55","natali","libros","humilitie","tending","chapiter","seruing","inditement","executed"
"56","illustriss","ebrew","fertill","armes","beene","ancient","hartley","discourse"
"57","sydnæi","importance","reuolution","read","reporte","haruey","sutton","true"
"58","colvthi","vvestminster","mont-pencier","knight","principles","hope","fire","containing"
"59","thebani","dissolution","councel","scripture","allowed","grammar","iulie","france"
"60","lycopolitani","special","collen","young","vvritten","counterfet","goods","kings"
"61","helenæ","priuie","woodmongers","resolution","worde","loque","termed","anatomie"
"62","raptus","testamenti","hopkins","shewing","neere","west","tuesday","daie"
"63","paraphraste","languages","apart","chappell","long","voyages","solace","fearefull"
"64","prima","counsell","balades","numbers","notable","answeare","suffred","happened"
"65","i.c","conferred","tend","chosen","howe","cyprian","six","maye"
"66","ivre","titles","nourishing","duos","combat","calculated","ierusalem","right"
"67","belli","dei","corrupting","sunne","conceites","light","comedie","george"
"68","muse","verborum","el","knightes","martins","astronomie","greate","scottish"
"69","bartas","ireland","choses","horse","diseases","fyrst","ioy","triumphant"
"70","roberti","scholiis","army","pathwaie","newes","churche","fauour","layed"
"71","interprete","hæc","letter","arming","godly","reasons","consolation","detestable"
"72","studioso","græco","sixtus","mustering","betweene","christopher","conuenient","speedie"
"73","tragoediæ","petri","six","caleeuers","vdall","dialogue","gospel","wherof"
"74","lectionum","secundo","desire","encampe","comfortable","word","traitours","friendship"
"75","antisixtus","richardi","l.m","paces","vs","shewing","fifth","elsewhere"
"76","caesaris","charta","e.a","battels","frauncis","become","prophet","described"
"77","stellae","prorogation","tomkys","500","paules","deuided","treason","declared"
"78","nob","statute","approued","10000","prepared","wise","lyfe","martin"
"79","columbeidos","lady","declaration","schoolelike","traytours","minister","gods","past"
"80","philippi","iustices","states","becom","heerein","omitted","priuate","write"
"81","londinensi","ecclesiæ","copie","selves","singuler","winchester","christes","daies"
"82","commentatio","noua","ragionamenti","logike","woorthy","similitudes","auncient","honor"
"83","i.v","magna","cognominato","pleasure","staffe","m.t","feare","dialogue-wise"
"84","singulis","commandement","flagello","become","meredith","emendatione","psalme","militarie"
"85","gentili","dominæ","prencipi","daungerous","sermons","dionysii","latter","people"
"86","iuris","scholæ","veritiero","reading","concerning","lambini","trueth","1583"
"87","dauidis","cantabrigiensi","divino","delightfull","london","leaden","dauid","proportion"
"88","iulii","thing","divisa","authors","ouerthrow","corned","houses","abridged"
"89","priores","queenes","giornate","martiall","sent","treatie","reporte","drawing"
"90","filiæ","execution","contenenza","verie","good","bertrande","miserable","tracing"
"91","poetæ","treasons","porra","greater","medicines","dolphinee","conscience","vinets"
"92","latinus","holie","seguente","brother","vertuous","seek","partes","limmed"
"93","actis","within","officio","merchant","euery","partners","october","temper"
"94","epistolarum","conteining","biron","lowest","1586","prudent","beeing","limme"
"95","numeris","put","iusques","proportions","rare","ryther","either","vvhole"
"96","scipio","acte","temps","bowes","manner","commyng","disposed","edict"
"97","rom","large","serenissimo","battells","desires","gentilman","deuided","bernardin"
"98","regij","nasonis","husbandry","delectable","lesse","rorie","countie","steele"
"99","quædam","deo","dinghilterra","set","tenne","accompted","example","woundes"
"100","dialogi","tremellio","cittadino","christians","courses","chester","church","poincts"
