"","X1","X2","X3","X4","X5","X6"
"1","henry","henrici","basille","henry","henry","boke"
"2","god","yere","theodore","boke","henrici","englande"
"3","kynge","henry","brief","englande","englande","reygne"
"4","reygne","termino","byble","session","kynge","moste"
"5","kynges","holden","aduent","honour","reygne","termino"
"6","yere","parlyament","curates","eyght","termino","statutes"
"7","holden","daye","prestes","thomas","statutes","christen"
"8","englande","michaelis","singuler","basille","holden","parlyament"
"9","parlyament","reygne","gospelles","hen","drad","realme"
"10","realme","moste","namely","new","prorogation","man"
"11","man","kyng","forth","added","doctrine","set"
"12","euery","octaui","new","begynneth","court","euery"
"13","actes","grace","learned","sexti","supreme","actes"
"14","englyshe","westminster","pleasaunt","weale","englysshe","englyshe"
"15","churche","session","epistles","acte","england","churche"
"16","kyng","hen","imprimendum","irelande","namely","wherin"
"17","daye","lorde","commoditie","true","profytable","newe"
"18","noble","acte","great","fraunce","kynges","tyll"
"19","boke","irelande","newly","latyn","parlyament","daye"
"20","octaui","proclamation","vse","gathered","realme","dyuers"
"21","called","continued","drawen","whiche","defender","holy"
"22","westminster","parliament","priuilegio","imprimendum","scripture","good"
"23","reigne","statutes","testament","kynge","vi","michaelis"
"24","session","kynge","letters","proclamation","mooste","forth"
"25","honour","apryll","gathered","continued","regni","noble"
"26","eyght","concernynge","ioanne","theodore","kinges","octaui"
"27","basille","drad","wyth","maiestie","maye","called"
"28","begynneth","prorogation","parte","great","lawes","corrected"
"29","acte","doctrine","tauerner","tyme","foloweth","grace"
"30","irelande","honour","autore","maiesties","drawen","priuilegio"
"31","true","eyght","antiquario","compyled","aduent","westminster"
"32","fraunce","noble","lelando","parliament","breuium","reigne"
"33","latyn","defender","content","testament","syr","theyr"
"34","proclamation","sexti","ioyfull","sayd","put","present"
"35","continued","breuium","fathers","knowe","rycharde","session"
"36","theodore","put","bee","letters","london","honour"
"37","maiestie","fraunce","richard","excellent","curates","eyght"
"38","great","regis","trinitie","newely","prestes","thomas"
"39","parliament","courte","postil","reygne","singuler","basille"
"40","testament","hygh","moost","apryll","gospelles","hen"
"41","lorde","tricesimo","scrypture","soueraygne","epistles","new"
"42","autore","primo","christians","olde","courte","added"
"43","antiquario","pasche","set","byble","hygh","begynneth"
"44","lelando","maiesties","englyshe","common","tricesimo","sexti"
"45","lande","sayde","erasmus","englysh","chrysten","ryght"
"46","uryne","maiesty","godly","concernynge","frenche","weale"
"47","annexed","vnder","sonday","prynce","souerayne","acte"
"48","quarti","=","newe","brief","bysshop","irelande"
"49","edwardi","kepe","good","moste","oure","true"
"50","fine","actes","1539","drad","primo","fraunce"
"51","execution","reigne","ful","prorogation","pasche","latyn"
"52","carta","present","bisshop","doctrine","places","regis"
"53","domini","christen","nicolas","court","yeres","gathered"
"54","statuta","urynes","apoynted","hyghnes","certayne","whiche"
"55","clerkes","returna","cantorbury","supreme","subiectes","imprimendum"
"56","clergie","offycers","workes","englysshe","tauerner","proclamation"
"57","curiam","next","greatest","england","prayers","continued"
"58","tenendi","february","largest","namely","lorde","theodore"
"59","modus","sermon","testamente","profytable","yere","maiestie"
"60","causes","begon","moone","yere","actes","great"
"61","prorogations","erudition","postyll","defender","sayde","tyme"
"62","begun","contynued","recognized","englishe","maiesty","maiesties"
"63","deuysed","tertio","wynter","scripture","vnder","parliament"
"64","taken","fyrste","lowe","lately","notable","testament"
"65","king","kynges","euer","vi","lord","knowe"
"66","concord","tyll","englysh","mooste","rome","newely"
"67","talen","englande","christen","moost","fayth","yere"
"68","linguarum","mayres","holy","regni","table","apryll"
"69","moche","kepte","saye","kinges","booke","soueraygne"
"70","psalme","fees","reuerende","maye","erasmus","olde"
"71","betwene","obserued","gospels","lawes","=","byble"
"72","mayster","enacted","diuerse","foloweth","augmented","common"
"73","cytie","assembled","latyn","drawen","learned","englysh"
"74","suche","commons","bysshop","aduent","sonday","concernynge"
"75","compendious","highnes","lately","breuium","kepe","prynce"
"76","ben","royall","saue","syr","churche","brief"
"77","begynnynge","xxxiiii","yt","people","urynes","drad"
"78","epistle","auctoritie","prepared","lordes","returna","prorogation"
"79","famous","xxiiii","christmas","peace","offycers","doctrine"
"80","come","faythe","newes","put","next","court"
"81","hereafter","faith","pollecye","rycharde","february","hyghnes"
"82","emperour","octavi","maister","pleasaunt","begon","supreme"
"83","within","establysshed","therinto","london","erudition","englysshe"
"84","iniunctions","iune","tenour","curates","contynued","england"
"85","content","helde","rochester","prestes","tertio","namely"
"86","roterodame","treatyse","perused","singuler","fyrste","profytable"
"87","declaration","court","ouersene","gospelles","folowynge","defender"
"88","see","profytable","behalfe","epistles","commaundement","englishe"
"89","sheweth","dyuers","geuen","courte","reuerende","scripture"
"90","treasure","ioanne","former","hygh","gracious","lately"
"91","crede","hye","frequented","tricesimo","imprynted","vi"
"92","gracyous","lete","henrye","chrysten","copy","mooste"
"93","ioyfull","baron","commaundemente","frenche","xiiii","moost"
"94","apryll","temporall","auctorysed","souerayne","bothe","regni"
"95","soueraygne","westmynster","appoynted","bysshop","dyuerse","kinges"
"96","olde","furthe","sondayes","oure","gospels","maye"
"97","byble","eyghte","practise","primo","persons","lawes"
"98","common","soueraigne","copye","pasche","commoditie","foloweth"
"99","necessary","fyrst","house","places","diuerse","drawen"
"100","newe","high","certificat","yeres","parte","aduent"
