"","X1","X2","X3","X4","X5","X6","X7"
"1","voyces","bale","siege","almanacke","flowers","proclamation","statutes"
"2","rather","sermons","foole","prognostication","parnassus","realme","cases"
"3","lute","professor","fift","leape","choysest","queene","ouesque"
"4","bread","preacher","wherevnto","meridian","merchant","officers","choses"
"5","viole","answered","iames","seruing","poets","whereas","vn"
"6","sing","preached","death","watson","pallaces","king","ley"
"7","viols","di","acted","creation","groues","weale","titles"
"8","newly","faithfull","plaide","kalender","springs","publique","conteinus"
"9","quarter","declining","past","theyr","various","next","ycel"
"10","voices","word","error","dade","englands","reigne","cest"
"11","allowed","enemies","elizaes","mdcii","bewties","enacted","queux"
"12","rogers","greenham","gowries","ponde","comparisons","followeth","law"
"13","songs","dictionarie","tuesday","phisicke","shylocke","forasmuch","garden"
"14","psalmes","defence","ostend","generally","iewe","angl","collection"
"15","pence","exposition","lamentation","mdciiii","obtayning","counties","iudgements"
"16","morley","church","samuel","calculated","portia","febr","signe"
"17","sung","briefe","diuided","beyond","choyse","defender","chaucer"
"18","burials","verè","shepheards","buckminster","chests","hybern","henrici"
"19","carr","encounters","seruants","pathway","lodowicke","gracious","force"
"20","meeter","petri","children","worldes","t.l","wee","magna"
"21","apart","hades","scattered","legend","descriptions","liberties","charta"
"22","tend","souldiers","epitaph","loughborough","moderne","lords","nouelment"
"23","corrupting","smith","sent","frende","mountaines","maiesties","lieux"
"24","freedome","truly","straunge","frend","extreame","parliament","notables"
"25","needful","prouerbs","portugall","m.d.xcviii","cutting","dissolution","contenus"
"26","retailing","principles","bene","beholde","sinner","xliij","reuieu"
"27","musicke","comprised","maiestie","busines","pound","franc","cy"
"28","parts","n.d","pleasant","leap","riuers","ireland","lieur"
"29","ayres","rome","names","sicknes","hate","pleasure","tresreuerend"
"30","lutenist","vertuous","lately","1598","hope","elizabethæ","roigne"
"31","composed","verses","comedie","citty","irish","reginæ","orchard"
"32","canzonets","man","lute","iohnson","castles","conceiued","knowledges"
"33","leero","minister","last","rectified","conuersion","killing","grafting"
"34","parishes","holy","leprosie","needfull","granado","eating","gardening"
"35","thomas","dauids","degree","supputated","crueltie","suburbs","graffe"
"36","chappell","writers","head-vaine","gabriel","personages","exempt","season"
"37","euening","english","morissco","lord","venice","lieutenants","replant"
"38","seene","duties","daunced","amorous","shakespeare","scotiæ","iustice"
"39","bee","george","tubbe","coppy","pleasaunt","continued","priest"
"40","madrigals","spanish","lloyd","gray","seas","holden","waies"
"41","songes","pamphlet","perfit","fortunes","iust","corporate","resolue"
"42","madrigalles","reuelation","siuill","tragicall","chamberlaine","vvestminster","blundeuile"
"43","sternhold","proued","nevves","satyres","sayd","prescribed","students"
"44","nourishing","romane","garment","honorable","poeticall","begun","institutions"
"45","augustines","publike","life","gentlewomen","phisicke","grace","seedes"
